                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99366  0.00039*********
   0.98292  0.00145*********
   0.97045  0.00292 -6.38593
   0.95642  0.00456  0.63206
   0.94122  0.00623  0.00451
   0.92526  0.00791  0.04941
   0.90887  0.00963  0.03641
   0.89232  0.01142  0.02086
   0.87576  0.01329 -0.04050
   0.85919  0.01523 -0.00213
   0.84258  0.01726 -0.02946
   0.82593  0.01936 -0.07159
   0.80927  0.02153 -0.06888
   0.79259  0.02376 -0.13674
   0.77589  0.02606 -0.13419
   0.75918  0.02843 -0.20649
   0.74244  0.03085  0.02379
   0.72566  0.03333 -0.40275
   0.70885  0.03585 -0.25718
   0.69201  0.03842 -0.19425
   0.67514  0.04102 -0.13830
   0.65825  0.04366 -0.52656
   0.64134  0.04632 -0.29884
   0.62438  0.04902 -0.21302
   0.60739  0.05172 -0.54363
   0.59037  0.05443 -0.38616
   0.57336  0.05714 -0.47603
   0.55638  0.05982 -0.44434
   0.53946  0.06249 -0.77125
   0.52260  0.06511 -0.45864
   0.50581  0.06769 -0.49122
   0.48909  0.07021 -1.19347
   0.47243  0.07266 -0.49105
   0.45583  0.07504 -1.10145
   0.43929  0.07734 -0.65871
   0.42283  0.07954 -0.79578
   0.40646  0.08163 -1.05315
   0.39019  0.08360 -0.87795
   0.37403  0.08543 -1.32066
   0.35799  0.08710 -1.49494
   0.34208  0.08861 -0.66347
   0.32629  0.08993 -1.53888
   0.31066  0.09105 -1.68449
   0.29523  0.09194 -2.01898
   0.28006  0.09258 -1.32846
   0.26516  0.09294 -1.23964
   0.25050  0.09299 -2.34680
   0.23602  0.09272 -2.01420
   0.22168  0.09211 -2.78433
   0.20747  0.09117 -1.22520
   0.19339  0.08988 -2.49083
   0.17945  0.08824 -2.05984
   0.16569  0.08625 -2.50366
   0.15212  0.08391 -2.61629
   0.13879  0.08122 -1.52637
   0.12571  0.07818 -3.33320
   0.11296  0.07481 -2.46728
   0.10062  0.07113 -2.75577
   0.08879  0.06717 -3.19894
   0.07761  0.06300 -2.01260
   0.06718  0.05866 -4.07703
   0.05762  0.05425 -1.70839
   0.04900  0.04985 -3.19265
   0.04137  0.04555 -2.97978
   0.03472  0.04142 -2.64509
   0.02897  0.03750 -3.59528
   0.02405  0.03382 -4.65095
   0.01984  0.03036 -1.78577
   0.01625  0.02713 -4.82167
   0.01318  0.02409 -2.98862
   0.01054  0.02123 -3.22628
   0.00830  0.01852 -5.68024
   0.00638  0.01596 -1.25187
   0.00475  0.01353 -6.30189
   0.00339  0.01121 -5.78537
   0.00228  0.00900 -0.38514
   0.00141  0.00687-10.47500
   0.00074  0.00483 -1.75592
   0.00028  0.00286 -2.02961
   0.00003  0.00097 -6.16928
   0.00004 -0.00086 -1.76845
   0.00033 -0.00270 -5.28745
   0.00122 -0.00440 -0.51598
   0.00266 -0.00583 -3.52171
   0.00442 -0.00712 -0.57453
   0.00643 -0.00833  0.98684
   0.00871 -0.00951 -0.43455
   0.01127 -0.01070  0.44989
   0.01417 -0.01189  0.97098
   0.01745 -0.01311  0.95140
   0.02121 -0.01437  0.96106
   0.02556 -0.01567  0.98860
   0.03062 -0.01702  0.91751
   0.03658 -0.01846  0.96231
   0.04364 -0.01999  0.71198
   0.05201 -0.02162  0.99727
   0.06188 -0.02333  0.77652
   0.07332 -0.02511  0.78139
   0.08625 -0.02690  0.73842
   0.10044 -0.02868  0.84527
   0.11558 -0.03041  0.78099
   0.13136 -0.03209  0.42309
   0.14755 -0.03371  0.81470
   0.16400 -0.03527  0.40679
   0.18058 -0.03677  0.77881
   0.19723 -0.03819  0.41119
   0.21394 -0.03956  0.48669
   0.23067 -0.04086  0.54008
   0.24741 -0.04209  0.57782
   0.26416 -0.04326  0.33248
   0.28090 -0.04436  0.46771
   0.29764 -0.04538  0.28023
   0.31438 -0.04634  0.34614
   0.33113 -0.04723  0.49774
   0.34789 -0.04804  0.28418
   0.36465 -0.04879  0.18814
   0.38141 -0.04947  0.36530
   0.39818 -0.05008  0.60755
   0.41494 -0.05062 -0.27836
   0.43171 -0.05109  0.31344
   0.44848 -0.05148  0.45685
   0.46523 -0.05181  0.22122
   0.48199 -0.05207  0.26584
   0.49874 -0.05225  0.10497
   0.51548 -0.05236  0.21168
   0.53222 -0.05239  0.28311
   0.54896 -0.05235  0.15420
   0.56567 -0.05224  0.13687
   0.58237 -0.05205  0.24319
   0.59904 -0.05177 -0.01987
   0.61568 -0.05142  0.30139
   0.63229 -0.05097 -0.04112
   0.64887 -0.05044  0.18270
   0.66541 -0.04981  0.10042
   0.68188 -0.04908  0.07572
   0.69829 -0.04825  0.10460
   0.71464 -0.04730  0.14260
   0.73090 -0.04624 -0.01558
   0.74707 -0.04505  0.09278
   0.76309 -0.04374  0.05266
   0.77890 -0.04227 -0.04565
   0.79440 -0.04065  0.04419
   0.80952 -0.03884  0.01121
   0.82433 -0.03678 -0.00299
   0.83894 -0.03443  0.09715
   0.85353 -0.03177  0.02975
   0.86826 -0.02877  0.10311
   0.88325 -0.02545  0.14692
   0.89842 -0.02192  0.19692
   0.91346 -0.01834  0.26088
   0.92805 -0.01490  0.27219
   0.94167 -0.01167  0.34416
   0.95362 -0.00876  0.43939
   0.96387 -0.00644  0.27572
   0.97289 -0.00478  0.99933
   0.98098 -0.00322 -0.95408
   0.98816 -0.00120*********
   0.99487  0.00037*********
   1.00000  0.00000*********
