                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99433  0.00054-87.86384
   0.98449  0.00185 -1.70289
   0.97276  0.00364  0.74867
   0.95942  0.00564  0.45795
   0.94486  0.00765  0.42814
   0.92937  0.00967  0.37632
   0.91322  0.01171  0.35152
   0.89678  0.01380  0.30517
   0.88035  0.01594  0.27793
   0.86395  0.01813  0.24547
   0.84753  0.02038  0.25799
   0.83109  0.02269  0.15867
   0.81463  0.02506  0.19289
   0.79817  0.02747  0.16161
   0.78170  0.02994  0.11587
   0.76522  0.03246  0.07493
   0.74872  0.03503  0.09859
   0.73219  0.03764  0.01683
   0.71562  0.04029  0.04035
   0.69903  0.04298 -0.00652
   0.68240  0.04570  0.01473
   0.66573  0.04844 -0.08957
   0.64903  0.05121 -0.14351
   0.63230  0.05398 -0.10039
   0.61556  0.05677 -0.20864
   0.59883  0.05954 -0.13774
   0.58213  0.06231 -0.19549
   0.56548  0.06505 -0.30834
   0.54888  0.06775 -0.29336
   0.53235  0.07042 -0.27805
   0.51587  0.07304 -0.52946
   0.49946  0.07559 -0.27615
   0.48309  0.07808 -0.46763
   0.46679  0.08050 -0.50744
   0.45056  0.08283 -0.75149
   0.43441  0.08506 -0.58810
   0.41834  0.08719 -0.48478
   0.40237  0.08919 -0.81233
   0.38651  0.09105 -0.72197
   0.37074  0.09277 -0.84245
   0.35508  0.09432 -0.93744
   0.33954  0.09570 -0.91612
   0.32414  0.09688 -1.25403
   0.30893  0.09785 -1.13540
   0.29396  0.09858 -0.88821
   0.27928  0.09905 -1.70306
   0.26485  0.09922 -1.26858
   0.25062  0.09910 -1.40015
   0.23655  0.09865 -1.63915
   0.22260  0.09787 -1.35208
   0.20876  0.09676 -1.63983
   0.19503  0.09531 -1.45306
   0.18141  0.09353 -1.83720
   0.16795  0.09140 -1.71691
   0.15465  0.08894 -1.73338
   0.14155  0.08613 -1.79183
   0.12868  0.08299 -1.83803
   0.11609  0.07952 -2.00668
   0.10385  0.07573 -1.92209
   0.09202  0.07165 -1.89862
   0.08070  0.06730 -1.78872
   0.06998  0.06273 -1.80692
   0.05997  0.05800 -1.98048
   0.05081  0.05320 -2.04170
   0.04258  0.04843 -1.72581
   0.03533  0.04378 -2.09796
   0.02907  0.03934 -2.02134
   0.02373  0.03515 -1.47984
   0.01922  0.03124 -1.98234
   0.01542  0.02761 -2.17996
   0.01224  0.02424 -1.47774
   0.00958  0.02112 -2.90869
   0.00737  0.01822 -0.70251
   0.00553  0.01552 -1.82594
   0.00402  0.01300 -1.94540
   0.00279  0.01062 -0.98243
   0.00181  0.00836 -2.11544
   0.00104  0.00622 -0.90055
   0.00049  0.00418 -0.35321
   0.00015  0.00225 -2.00581
   0.00002  0.00042  0.02600
   0.00010 -0.00137 -0.29668
   0.00048 -0.00316 -1.45564
   0.00137 -0.00481  0.35112
   0.00281 -0.00619  0.86120
   0.00458 -0.00741  0.69918
   0.00663 -0.00858  0.99479
   0.00896 -0.00972  0.98929
   0.01164 -0.01087  0.99680
   0.01473 -0.01205  0.99739
   0.01833 -0.01326  0.80025
   0.02258 -0.01451  0.93562
   0.02766 -0.01582  0.78708
   0.03376 -0.01721  0.83159
   0.04116 -0.01871  0.76898
   0.05011 -0.02030  0.77867
   0.06074 -0.02196  0.50870
   0.07304 -0.02363  0.66196
   0.08677 -0.02528  0.61258
   0.10160 -0.02688  0.43604
   0.11716 -0.02842  0.51431
   0.13316 -0.02990  0.46297
   0.14940 -0.03132  0.36064
   0.16578 -0.03268  0.42703
   0.18223 -0.03398  0.36032
   0.19874 -0.03522  0.35968
   0.21528 -0.03641  0.25001
   0.23183 -0.03755  0.34165
   0.24839 -0.03863  0.25659
   0.26493 -0.03965  0.20469
   0.28146 -0.04062  0.36925
   0.29797 -0.04152  0.15175
   0.31449 -0.04235  0.12307
   0.33101 -0.04313  0.16421
   0.34754 -0.04384  0.22930
   0.36408 -0.04449 -0.05886
   0.38063 -0.04509  0.19709
   0.39718 -0.04562  0.11497
   0.41374 -0.04609  0.13818
   0.43028 -0.04650  0.08063
   0.44683 -0.04685 -0.02274
   0.46337 -0.04714 -0.01324
   0.47991 -0.04737  0.09370
   0.49644 -0.04753 -0.02898
   0.51297 -0.04763  0.11417
   0.52948 -0.04766 -0.13802
   0.54598 -0.04763  0.03527
   0.56247 -0.04753 -0.09516
   0.57895 -0.04736  0.00943
   0.59540 -0.04712 -0.09090
   0.61184 -0.04680 -0.12486
   0.62824 -0.04641 -0.07058
   0.64461 -0.04594 -0.12693
   0.66095 -0.04539 -0.07564
   0.67725 -0.04475 -0.24360
   0.69349 -0.04402 -0.11246
   0.70964 -0.04319 -0.15739
   0.72571 -0.04225 -0.20309
   0.74169 -0.04121 -0.23459
   0.75757 -0.04004 -0.23535
   0.77327 -0.03873 -0.23083
   0.78866 -0.03729 -0.26539
   0.80366 -0.03568 -0.30792
   0.81830 -0.03385 -0.30434
   0.83274 -0.03176 -0.29677
   0.84714 -0.02938 -0.27486
   0.86174 -0.02668 -0.28736
   0.87673 -0.02366 -0.21543
   0.89207 -0.02039 -0.19446
   0.90746 -0.01704 -0.15696
   0.92274 -0.01373 -0.13227
   0.93770 -0.01054 -0.13577
   0.95115 -0.00766 -0.11556
   0.96245 -0.00541 -0.07495
   0.97224 -0.00382 -0.32457
   0.98096 -0.00242 -0.30131
   0.98847 -0.00081 -7.02561
   0.99518  0.00027*********
   1.00000  0.00000*********
