                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99417  0.00277 -8.21101
   0.98363  0.00693  0.45507
   0.97039  0.01180  0.32210
   0.95579  0.01709  0.24407
   0.94087  0.02251  0.20038
   0.92579  0.02813  0.15204
   0.91044  0.03405  0.09090
   0.89481  0.04022  0.03335
   0.87915  0.04646 -0.02761
   0.86379  0.05270 -0.07033
   0.84874  0.05898 -0.13414
   0.83389  0.06540 -0.18081
   0.81922  0.07199 -0.27950
   0.80499  0.07868 -0.42238
   0.79155  0.08524 -0.56307
   0.77898  0.09134 -0.81761
   0.76707  0.09681 -1.04079
   0.75551  0.10161 -1.21009
   0.74395  0.10572 -1.44852
   0.73205  0.10923 -1.38711
   0.71955  0.11228 -1.50008
   0.70622  0.11496 -1.41997
   0.69196  0.11734 -1.45306
   0.67684  0.11945 -1.34453
   0.66113  0.12130 -1.33475
   0.64509  0.12288 -1.35038
   0.62892  0.12423 -1.27177
   0.61270  0.12540 -1.37726
   0.59644  0.12639 -1.26983
   0.58016  0.12720 -1.39749
   0.56386  0.12784 -1.30992
   0.54755  0.12829 -1.38747
   0.53123  0.12855 -1.34204
   0.51491  0.12864 -1.42572
   0.49857  0.12854 -1.41490
   0.48223  0.12827 -1.36050
   0.46586  0.12782 -1.49320
   0.44949  0.12719 -1.41601
   0.43311  0.12639 -1.51523
   0.41673  0.12543 -1.54538
   0.40036  0.12429 -1.48865
   0.38402  0.12298 -1.44747
   0.36770  0.12151 -1.64214
   0.35144  0.11986 -1.63902
   0.33523  0.11804 -1.47114
   0.31907  0.11603 -1.65861
   0.30297  0.11384 -1.69287
   0.28690  0.11146 -1.51755
   0.27086  0.10888 -1.74896
   0.25487  0.10611 -1.78542
   0.23897  0.10316 -1.65898
   0.22320  0.10001 -1.84992
   0.20757  0.09666 -1.73265
   0.19205  0.09310 -1.89512
   0.17657  0.08929 -1.83421
   0.16112  0.08523 -2.00372
   0.14584  0.08095 -1.91981
   0.13093  0.07650 -1.93299
   0.11646  0.07189 -2.24269
   0.10228  0.06706 -2.14274
   0.08804  0.06184 -2.26189
   0.07406  0.05629 -2.48591
   0.06161  0.05094 -2.49332
   0.05132  0.04612 -2.67426
   0.04258  0.04163 -3.06216
   0.03465  0.03711 -3.36552
   0.02709  0.03223 -3.17018
   0.02066  0.02752 -3.70405
   0.01579  0.02361 -3.39595
   0.01211  0.02042 -2.90932
   0.00925  0.01771 -6.20266
   0.00698  0.01534 -3.60850
   0.00514  0.01319 -4.48931
   0.00364  0.01120 -5.65810
   0.00243  0.00934 -5.37226
   0.00148  0.00757 -7.45449
   0.00076  0.00588 -4.04118
   0.00026  0.00425-10.29038
  -0.00002  0.00265 -3.26058
  -0.00009  0.00109 -7.95055
   0.00007 -0.00046 -6.93359
   0.00048 -0.00200 -2.57871
   0.00112 -0.00356 -3.79816
   0.00200 -0.00514 -1.48999
   0.00314 -0.00676 -0.89185
   0.00456 -0.00844 -1.61110
   0.00631 -0.01020 -0.20707
   0.00845 -0.01206  0.35118
   0.01108 -0.01408  0.64811
   0.01438 -0.01631  0.55652
   0.01856 -0.01880  0.84368
   0.02392 -0.02155  0.99035
   0.03063 -0.02442  0.99014
   0.03839 -0.02712  0.99887
   0.04713 -0.02975  0.97511
   0.05748 -0.03250  0.94606
   0.07026 -0.03556  0.88140
   0.08530 -0.03892  0.83352
   0.10094 -0.04217  0.80744
   0.11638 -0.04517  0.76232
   0.13191 -0.04799  0.72295
   0.14773 -0.05066  0.61135
   0.16380 -0.05316  0.70203
   0.18001 -0.05548  0.56137
   0.19628 -0.05763  0.57361
   0.21259 -0.05962  0.53037
   0.22895 -0.06146  0.38495
   0.24537 -0.06315  0.55020
   0.26184 -0.06470  0.43221
   0.27837 -0.06611  0.38369
   0.29494 -0.06738  0.41212
   0.31154 -0.06852  0.35536
   0.32814 -0.06953  0.29916
   0.34472 -0.07041  0.32983
   0.36129 -0.07115  0.25853
   0.37783 -0.07174  0.24672
   0.39438 -0.07220  0.29954
   0.41091 -0.07249  0.19947
   0.42741 -0.07264  0.20311
   0.44384 -0.07262  0.19868
   0.46015 -0.07243  0.14657
   0.47634 -0.07207  0.15750
   0.49248 -0.07153  0.12354
   0.50868 -0.07079  0.15219
   0.52506 -0.06984  0.06466
   0.54161 -0.06867  0.11103
   0.55808 -0.06731  0.06019
   0.57403 -0.06581  0.05681
   0.58906 -0.06412  0.01720
   0.60308 -0.06214 -0.05253
   0.61626 -0.05979 -0.01305
   0.62884 -0.05696 -0.07397
   0.64110 -0.05357  0.10980
   0.65336 -0.04968  0.07632
   0.66586 -0.04538  0.23561
   0.67884 -0.04084  0.27557
   0.69243 -0.03623  0.34247
   0.70667 -0.03182  0.36479
   0.72145 -0.02764  0.38640
   0.73665 -0.02368  0.41502
   0.75222 -0.01989  0.40668
   0.76819 -0.01621  0.42064
   0.78452 -0.01263  0.42697
   0.80093 -0.00917  0.44295
   0.81694 -0.00593  0.46129
   0.83229 -0.00301  0.48061
   0.84715 -0.00049  0.49772
   0.86207  0.00167  0.50070
   0.87765  0.00354  0.49862
   0.89377  0.00520  0.50044
   0.90913  0.00661  0.52219
   0.92299  0.00755  0.53619
   0.93607  0.00787  0.54399
   0.94945  0.00756  0.51704
   0.96312  0.00685  0.45963
   0.97532  0.00594  0.66823
   0.98554  0.00450 -1.88161
   0.99440  0.00225  0.17803
   1.00000  0.00000*********
