                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99526  0.00201 -3.63106
   0.98575  0.00561-52.73228
   0.97370  0.00986  0.06939
   0.96115  0.01387 -0.13185
   0.94800  0.01771 -0.18289
   0.93456  0.02141 -0.20541
   0.92089  0.02503 -0.23355
   0.90710  0.02858 -0.25932
   0.89321  0.03211 -0.26960
   0.87926  0.03561 -0.30858
   0.86529  0.03911 -0.33439
   0.85130  0.04259 -0.37716
   0.83729  0.04608 -0.37772
   0.82329  0.04956 -0.44984
   0.80930  0.05303 -0.48951
   0.79535  0.05648 -0.50584
   0.78144  0.05988 -0.58893
   0.76757  0.06321 -0.62769
   0.75370  0.06646 -0.70545
   0.73986  0.06963 -0.68072
   0.72606  0.07268 -0.78289
   0.71229  0.07560 -0.88429
   0.69851  0.07837 -0.82459
   0.68470  0.08101 -0.95258
   0.67089  0.08350 -0.96601
   0.65708  0.08583 -1.07881
   0.64325  0.08800 -0.95107
   0.62938  0.09000 -1.12467
   0.61548  0.09186 -1.10232
   0.60156  0.09356 -1.14385
   0.58762  0.09511 -1.26533
   0.57363  0.09651 -1.14900
   0.55962  0.09777 -1.17440
   0.54557  0.09890 -1.25583
   0.53150  0.09991 -1.30360
   0.51740  0.10080 -1.26056
   0.50328  0.10157 -1.32845
   0.48916  0.10222 -1.40753
   0.47506  0.10276 -1.40577
   0.46099  0.10316 -1.46502
   0.44692  0.10343 -1.29327
   0.43285  0.10356 -1.44205
   0.41877  0.10355 -1.58325
   0.40472  0.10341 -1.42741
   0.39067  0.10312 -1.50563
   0.37662  0.10268 -1.87430
   0.36257  0.10210 -1.48621
   0.34852  0.10139 -1.62589
   0.33447  0.10053 -1.74413
   0.32043  0.09954 -1.69930
   0.30639  0.09841 -1.56094
   0.29240  0.09714 -1.96569
   0.27846  0.09573 -1.82289
   0.26456  0.09415 -1.75823
   0.25067  0.09241 -1.86823
   0.23683  0.09050 -2.15856
   0.22306  0.08842 -1.71604
   0.20933  0.08616 -2.02381
   0.19565  0.08370 -2.12189
   0.18203  0.08104 -2.06826
   0.16848  0.07819 -2.14299
   0.15498  0.07512 -2.41485
   0.14153  0.07183 -1.94191
   0.12821  0.06835 -2.34737
   0.11503  0.06463 -2.60123
   0.10194  0.06065 -2.55985
   0.08907  0.05643 -2.65548
   0.07644  0.05193 -2.85026
   0.06404  0.04711 -2.65836
   0.05220  0.04204 -3.11203
   0.04081  0.03654 -3.71552
   0.03018  0.03076 -3.77898
   0.02091  0.02484 -3.98492
   0.01319  0.01912 -4.48634
   0.00797  0.01451 -6.70183
   0.00478  0.01101 -6.07284
   0.00274  0.00814 -7.09086
   0.00134  0.00569-10.03582
   0.00037  0.00365 -5.93555
  -0.00013  0.00197-21.83261
  -0.00014  0.00049 -5.55076
   0.00048 -0.00089-11.91425
   0.00176 -0.00224 -8.70235
   0.00368 -0.00353 -1.49306
   0.00640 -0.00487  0.23921
   0.01039 -0.00640  0.14629
   0.01660 -0.00825  0.70905
   0.02590 -0.01048  0.98779
   0.03760 -0.01274  0.99089
   0.05048 -0.01471  0.98298
   0.06402 -0.01647  0.94407
   0.07769 -0.01797  0.89025
   0.09174 -0.01933  0.92118
   0.10571 -0.02057  0.77065
   0.11974 -0.02164  0.87781
   0.13397 -0.02264  0.70558
   0.14810 -0.02355  0.76386
   0.16223 -0.02434  0.76582
   0.17652 -0.02507  0.59803
   0.19079 -0.02575  0.65804
   0.20499 -0.02634  0.66241
   0.21923 -0.02686  0.55237
   0.23351 -0.02732  0.67770
   0.24775 -0.02771  0.46130
   0.26196 -0.02801  0.65129
   0.27622 -0.02824  0.54348
   0.29050 -0.02841  0.51683
   0.30474 -0.02852  0.48100
   0.31898 -0.02854  0.52521
   0.33327 -0.02850  0.50710
   0.34759 -0.02840  0.36392
   0.36189 -0.02826  0.61270
   0.37615 -0.02805  0.40258
   0.39044 -0.02778  0.30602
   0.40477 -0.02747  0.60575
   0.41910 -0.02711  0.37397
   0.43338 -0.02670  0.44309
   0.44764 -0.02623  0.40057
   0.46190 -0.02570  0.31930
   0.47617 -0.02510  0.46969
   0.49040 -0.02444  0.37586
   0.50459 -0.02370  0.33956
   0.51879 -0.02288  0.41068
   0.53300 -0.02197  0.34014
   0.54720 -0.02099  0.35611
   0.56138 -0.01993  0.36436
   0.57554 -0.01878  0.39042
   0.58971 -0.01754  0.34764
   0.60390 -0.01623  0.34784
   0.61809 -0.01485  0.37693
   0.63227 -0.01340  0.35393
   0.64642 -0.01188  0.34698
   0.66054 -0.01027  0.40302
   0.67464 -0.00858  0.33967
   0.68873 -0.00680  0.40233
   0.70283 -0.00493  0.38057
   0.71694 -0.00298  0.41355
   0.73111 -0.00097  0.42383
   0.74533  0.00109  0.42071
   0.75957  0.00315  0.46843
   0.77374  0.00517  0.44640
   0.78779  0.00709  0.49754
   0.80171  0.00887  0.49160
   0.81557  0.01047  0.51629
   0.82942  0.01189  0.52777
   0.84324  0.01310  0.53073
   0.85699  0.01408  0.54057
   0.87073  0.01482  0.55140
   0.88443  0.01530  0.56135
   0.89801  0.01548  0.57360
   0.91150  0.01534  0.56563
   0.92489  0.01486  0.57693
   0.93800  0.01398  0.58228
   0.95083  0.01264  0.56062
   0.96335  0.01078  0.67405
   0.97512  0.00837 -0.18306
   0.98658  0.00539-56.92247
   0.99533  0.00245  0.97442
   1.00000  0.00000*********
