                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99488  0.00278-23.07064
   0.98532  0.00665  0.48142
   0.97367  0.01092 -0.09949
   0.96087  0.01522 -0.07313
   0.94722  0.01954 -0.13080
   0.93308  0.02379 -0.15177
   0.91864  0.02805 -0.19208
   0.90423  0.03219 -0.21964
   0.88972  0.03636 -0.24419
   0.87519  0.04055 -0.28847
   0.86057  0.04469 -0.32485
   0.84584  0.04886 -0.36083
   0.83110  0.05303 -0.41503
   0.81634  0.05718 -0.45446
   0.80154  0.06131 -0.51330
   0.78674  0.06542 -0.55841
   0.77200  0.06947 -0.60431
   0.75734  0.07344 -0.71052
   0.74277  0.07730 -0.71834
   0.72833  0.08100 -0.83350
   0.71397  0.08452 -0.84922
   0.69963  0.08784 -1.02549
   0.68530  0.09097 -0.97136
   0.67098  0.09389 -1.04309
   0.65666  0.09658 -1.13505
   0.64230  0.09906 -1.20505
   0.62785  0.10134 -1.14766
   0.61332  0.10343 -1.19607
   0.59874  0.10533 -1.30567
   0.58412  0.10704 -1.28382
   0.56946  0.10858 -1.30274
   0.55475  0.10995 -1.38984
   0.54000  0.11114 -1.37304
   0.52523  0.11218 -1.38887
   0.51045  0.11304 -1.47011
   0.49567  0.11375 -1.40673
   0.48088  0.11428 -1.47399
   0.46604  0.11466 -1.53186
   0.45119  0.11488 -1.55822
   0.43635  0.11494 -1.53255
   0.42154  0.11485 -1.57072
   0.40675  0.11459 -1.66232
   0.39190  0.11417 -1.54808
   0.37696  0.11359 -1.72536
   0.36205  0.11290 -1.77101
   0.34736  0.11206 -1.61141
   0.33285  0.11101 -1.92655
   0.31828  0.10974 -1.82148
   0.30355  0.10827 -1.68769
   0.28878  0.10664 -1.91872
   0.27407  0.10486 -1.71302
   0.25944  0.10291 -1.94206
   0.24487  0.10080 -2.14107
   0.23038  0.09850 -1.94034
   0.21590  0.09601 -1.88439
   0.20139  0.09333 -2.31785
   0.18703  0.09049 -2.00247
   0.17306  0.08749 -2.23570
   0.15923  0.08420 -2.19419
   0.14521  0.08057 -2.38354
   0.13125  0.07676 -2.35660
   0.11765  0.07275 -2.45348
   0.10422  0.06846 -2.52719
   0.09098  0.06390 -2.61685
   0.07814  0.05910 -2.74748
   0.06577  0.05403 -2.95766
   0.05397  0.04870 -3.12968
   0.04298  0.04320 -3.36615
   0.03322  0.03771 -3.77214
   0.02500  0.03241 -4.02729
   0.01837  0.02751 -3.85316
   0.01324  0.02321 -5.39058
   0.00939  0.01952 -4.64689
   0.00655  0.01637 -6.35960
   0.00448  0.01364 -4.43570
   0.00297  0.01118 -8.56933
   0.00182  0.00891 -4.01817
   0.00089  0.00679 -7.19961
   0.00017  0.00485 -8.27559
  -0.00026  0.00310 -5.39451
  -0.00034  0.00149-12.57507
   0.00001 -0.00002 -9.35250
   0.00088 -0.00148 -5.16254
   0.00214 -0.00295 -1.78883
   0.00374 -0.00441 -2.39245
   0.00576 -0.00583 -0.38805
   0.00831 -0.00723 -0.10324
   0.01158 -0.00873  0.49744
   0.01576 -0.01037  0.71223
   0.02120 -0.01219  0.88459
   0.02838 -0.01421  0.98581
   0.03771 -0.01638  0.99693
   0.04913 -0.01860  0.97005
   0.06215 -0.02076  0.95035
   0.07601 -0.02277  0.92960
   0.09037 -0.02461  0.85497
   0.10501 -0.02630  0.85505
   0.11976 -0.02784  0.76952
   0.13458 -0.02924  0.77491
   0.14952 -0.03052  0.79826
   0.16455 -0.03169  0.58485
   0.17961 -0.03277  0.71730
   0.19468 -0.03376  0.59760
   0.20975 -0.03466  0.66974
   0.22482 -0.03546  0.55867
   0.23994 -0.03617  0.57735
   0.25508 -0.03680  0.55846
   0.27020 -0.03735  0.52621
   0.28529 -0.03781  0.55039
   0.30039 -0.03817  0.39653
   0.31553 -0.03844  0.53746
   0.33065 -0.03863  0.43931
   0.34574 -0.03873  0.46293
   0.36085 -0.03873  0.41562
   0.37596 -0.03864  0.36600
   0.39105 -0.03845  0.46584
   0.40610 -0.03817  0.38010
   0.42115 -0.03778  0.33314
   0.43621 -0.03729  0.41348
   0.45124 -0.03669  0.37464
   0.46620 -0.03598  0.32819
   0.48113 -0.03514  0.31308
   0.49607 -0.03417  0.35687
   0.51100 -0.03308  0.33537
   0.52589 -0.03187  0.34846
   0.54073 -0.03051  0.29797
   0.55557 -0.02902  0.31690
   0.57041 -0.02739  0.33348
   0.58520 -0.02562  0.29792
   0.59995 -0.02371  0.34560
   0.61471 -0.02165  0.35649
   0.62953 -0.01945  0.34996
   0.64437 -0.01712  0.32326
   0.65922 -0.01469  0.40052
   0.67415 -0.01214  0.38385
   0.68922 -0.00951  0.43108
   0.70435 -0.00687  0.40403
   0.71940 -0.00429  0.45052
   0.73428 -0.00180  0.47439
   0.74899  0.00053  0.46917
   0.76361  0.00269  0.49958
   0.77822  0.00466  0.49541
   0.79280  0.00645  0.51028
   0.80734  0.00803  0.52247
   0.82190  0.00939  0.52506
   0.83647  0.01056  0.52858
   0.85098  0.01150  0.53997
   0.86541  0.01220  0.54069
   0.87982  0.01265  0.54530
   0.89414  0.01284  0.54974
   0.90834  0.01274  0.54803
   0.92238  0.01234  0.55552
   0.93615  0.01161  0.55512
   0.94948  0.01050  0.55765
   0.96235  0.00897  0.53818
   0.97430  0.00703  0.57595
   0.98548  0.00465  0.40556
   0.99474  0.00221-13.48673
   1.00000  0.00000*********
