                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.57389
   0.99530  0.00177  0.30788
   0.98747  0.00460  0.16671
   0.97847  0.00769  0.05579
   0.96795  0.01106 -0.04799
   0.95562  0.01471 -0.12780
   0.94157  0.01848 -0.19301
   0.92735  0.02193 -0.23417
   0.91311  0.02513 -0.26261
   0.89848  0.02826 -0.28554
   0.88396  0.03128 -0.32438
   0.86966  0.03419 -0.35794
   0.85543  0.03698 -0.40369
   0.84116  0.03968 -0.44045
   0.82678  0.04229 -0.47937
   0.81224  0.04479 -0.51807
   0.79753  0.04717 -0.55197
   0.78269  0.04941 -0.58231
   0.76775  0.05151 -0.60469
   0.75276  0.05348 -0.63320
   0.73776  0.05531 -0.65162
   0.72275  0.05703 -0.67687
   0.70777  0.05863 -0.69724
   0.69281  0.06013 -0.71899
   0.67787  0.06153 -0.74403
   0.66295  0.06282 -0.77719
   0.64803  0.06399 -0.79806
   0.63312  0.06503 -0.82652
   0.61820  0.06594 -0.84673
   0.60328  0.06671 -0.87296
   0.58833  0.06733 -0.88405
   0.57337  0.06780 -0.89645
   0.55838  0.06814 -0.90164
   0.54337  0.06837 -0.90804
   0.52833  0.06849 -0.91749
   0.51328  0.06853 -0.92198
   0.49821  0.06849 -0.93177
   0.48314  0.06839 -0.94542
   0.46807  0.06822 -0.96216
   0.45301  0.06799 -0.97993
   0.43797  0.06768 -1.00089
   0.42293  0.06729 -1.01923
   0.40790  0.06682 -1.03895
   0.39288  0.06627 -1.06259
   0.37785  0.06562 -1.08322
   0.36283  0.06488 -1.10518
   0.34780  0.06405 -1.12624
   0.33277  0.06313 -1.15087
   0.31775  0.06211 -1.17305
   0.30275  0.06100 -1.20118
   0.28778  0.05978 -1.22459
   0.27286  0.05848 -1.25211
   0.25799  0.05707 -1.28261
   0.24317  0.05557 -1.31396
   0.22836  0.05397 -1.34711
   0.21355  0.05227 -1.38754
   0.19870  0.05046 -1.42845
   0.18375  0.04852 -1.48201
   0.16880  0.04646 -1.53821
   0.15386  0.04428 -1.60755
   0.13915  0.04198 -1.68845
   0.12487  0.03960 -1.78173
   0.11084  0.03707 -1.88492
   0.09658  0.03427 -2.00254
   0.08230  0.03121 -2.13056
   0.06821  0.02794 -2.28899
   0.05611  0.02497 -2.49469
   0.04455  0.02202 -2.96097
   0.03646  0.01970 -3.41723
   0.02749  0.01665 -3.80465
   0.01807  0.01289 -4.52648
   0.01317  0.01067 -5.30203
   0.00979  0.00898 -6.17832
   0.00721  0.00756 -7.23435
   0.00518  0.00632 -8.58209
   0.00357  0.00520-10.34200
   0.00229  0.00418-12.69878
   0.00131  0.00323-15.98891
   0.00060  0.00234-20.53322
   0.00014  0.00151-26.16713
  -0.00006  0.00072-30.87092
   0.00001 -0.00003-28.62199
   0.00035 -0.00074-18.97793
   0.00098 -0.00143-10.86581
   0.00189 -0.00210 -5.93126
   0.00311 -0.00275 -3.04751
   0.00467 -0.00340 -1.38222
   0.00665 -0.00405 -0.36992
   0.00917 -0.00471  0.24692
   0.01248 -0.00541  0.62938
   0.01720 -0.00618  0.86513
   0.02601 -0.00718  0.98868
   0.03602 -0.00779  0.99594
   0.04454 -0.00793  0.97615
   0.05641 -0.00808  0.94235
   0.06861 -0.00840  0.90273
   0.08299 -0.00868  0.85899
   0.09744 -0.00882  0.82332
   0.11211 -0.00896  0.78900
   0.12652 -0.00912  0.75677
   0.14113 -0.00926  0.72576
   0.15610 -0.00932  0.69800
   0.17118 -0.00929  0.67498
   0.18621 -0.00920  0.65472
   0.20130 -0.00907  0.63712
   0.21639 -0.00894  0.61928
   0.23145 -0.00881  0.60312
   0.24650 -0.00868  0.58688
   0.26156 -0.00855  0.57331
   0.27665 -0.00842  0.55906
   0.29176 -0.00829  0.54620
   0.30689 -0.00816  0.53156
   0.32201 -0.00803  0.52253
   0.33713 -0.00790  0.50918
   0.35224 -0.00777  0.49997
   0.36736 -0.00764  0.48926
   0.38249 -0.00751  0.47814
   0.39762 -0.00738  0.47007
   0.41275 -0.00725  0.45947
   0.42788 -0.00712  0.45227
   0.44301 -0.00699  0.44285
   0.45814 -0.00686  0.43468
   0.47327 -0.00673  0.42754
   0.48841 -0.00660  0.41679
   0.50354 -0.00647  0.41370
   0.51868 -0.00634  0.40304
   0.53381 -0.00621  0.39757
   0.54893 -0.00608  0.39205
   0.56406 -0.00595  0.38141
   0.57919 -0.00582  0.37619
   0.59432 -0.00569  0.37326
   0.60945 -0.00556  0.36275
   0.62457 -0.00543  0.35985
   0.63968 -0.00529  0.35069
   0.65477 -0.00516  0.34915
   0.66986 -0.00503  0.33991
   0.68496 -0.00490  0.33790
   0.70007 -0.00478  0.33005
   0.71519 -0.00466  0.32458
   0.73025 -0.00454  0.31877
   0.74527 -0.00441  0.31322
   0.76025 -0.00429  0.30978
   0.77523 -0.00416  0.30184
   0.79025 -0.00402  0.29886
   0.80534 -0.00387  0.29346
   0.82031 -0.00371  0.29309
   0.83507 -0.00355  0.28923
   0.84966 -0.00340  0.28542
   0.86416 -0.00327  0.28465
   0.87868 -0.00316  0.27905
   0.89338 -0.00308  0.27480
   0.90835 -0.00304  0.26191
   0.92294 -0.00300  0.24987
   0.93732 -0.00287  0.23855
   0.95204 -0.00258  0.24083
   0.96548 -0.00211  0.24711
   0.97690 -0.00156  0.28083
   0.98661 -0.00097  0.32008
   0.99499 -0.00039  0.38680
   1.00000  0.00000  0.57389
