                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00174  0.17184
   0.99440  0.00197  0.08903
   0.98285  0.00246  0.05087
   0.96947  0.00302  0.02026
   0.95544  0.00360 -0.00229
   0.94132  0.00417 -0.02227
   0.92717  0.00475 -0.03941
   0.91301  0.00531 -0.05491
   0.89885  0.00587 -0.06833
   0.88469  0.00642 -0.08279
   0.87053  0.00696 -0.09603
   0.85637  0.00750 -0.10833
   0.84220  0.00803 -0.12052
   0.82804  0.00856 -0.13097
   0.81387  0.00908 -0.14303
   0.79971  0.00960 -0.15450
   0.78554  0.01012 -0.16668
   0.77137  0.01063 -0.17725
   0.75720  0.01114 -0.18777
   0.74304  0.01164 -0.19913
   0.72887  0.01213 -0.21162
   0.71470  0.01263 -0.22206
   0.70054  0.01311 -0.23362
   0.68638  0.01359 -0.24430
   0.67221  0.01407 -0.25610
   0.65805  0.01454 -0.26732
   0.64388  0.01500 -0.27988
   0.62972  0.01546 -0.29129
   0.61555  0.01591 -0.30357
   0.60139  0.01636 -0.31526
   0.58723  0.01680 -0.32820
   0.57306  0.01723 -0.34042
   0.55890  0.01766 -0.35518
   0.54473  0.01808 -0.36650
   0.53057  0.01850 -0.38139
   0.51640  0.01890 -0.39599
   0.50224  0.01931 -0.41022
   0.48807  0.01970 -0.42463
   0.47391  0.02009 -0.44203
   0.45975  0.02047 -0.45772
   0.44559  0.02085 -0.47522
   0.43143  0.02122 -0.49282
   0.41727  0.02158 -0.51203
   0.40311  0.02193 -0.53152
   0.38896  0.02227 -0.55399
   0.37481  0.02260 -0.57510
   0.36067  0.02292 -0.59901
   0.34653  0.02322 -0.62323
   0.33239  0.02351 -0.65060
   0.31827  0.02379 -0.67873
   0.30415  0.02404 -0.70860
   0.29003  0.02427 -0.74131
   0.27593  0.02448 -0.77564
   0.26184  0.02465 -0.81335
   0.24777  0.02480 -0.85405
   0.23370  0.02492 -0.89876
   0.21967  0.02499 -0.94696
   0.20564  0.02501 -1.00016
   0.19165  0.02498 -1.05919
   0.17769  0.02489 -1.12358
   0.16376  0.02473 -1.19629
   0.14987  0.02449 -1.27843
   0.13602  0.02417 -1.37155
   0.12223  0.02373 -1.48240
   0.10854  0.02318 -1.61167
   0.09495  0.02249 -1.76914
   0.08153  0.02162 -1.96119
   0.06833  0.02054 -2.20081
   0.05545  0.01922 -2.51422
   0.04315  0.01761 -2.94704
   0.03196  0.01574 -3.54467
   0.02264  0.01371 -4.35735
   0.01566  0.01174 -5.42260
   0.01072  0.00995 -6.69863
   0.00720  0.00832 -8.24644
   0.00463  0.00679-10.07501
   0.00273  0.00529-12.16404
   0.00137  0.00379-14.23183
   0.00048  0.00226-15.54920
   0.00005  0.00075-14.99975
   0.00005 -0.00073-12.35223
   0.00048 -0.00224 -8.51175
   0.00136 -0.00377 -4.93912
   0.00273 -0.00527 -2.39433
   0.00463 -0.00677 -0.81633
   0.00720 -0.00830  0.10954
   0.01072 -0.00993  0.63189
   0.01566 -0.01172  0.89573
   0.02264 -0.01368  0.99302
   0.03196 -0.01571  0.98855
   0.04315 -0.01759  0.93812
   0.05545 -0.01919  0.87630
   0.06833 -0.02052  0.81688
   0.08153 -0.02160  0.76380
   0.09495 -0.02246  0.71736
   0.10854 -0.02316  0.67672
   0.12223 -0.02371  0.64134
   0.13602 -0.02414  0.61009
   0.14987 -0.02447  0.58200
   0.16376 -0.02471  0.55705
   0.17769 -0.02487  0.53469
   0.19165 -0.02496  0.51445
   0.20564 -0.02499  0.49614
   0.21966 -0.02497  0.47926
   0.23370 -0.02490  0.46416
   0.24777 -0.02479  0.44974
   0.26184 -0.02464  0.43686
   0.27593 -0.02446  0.42415
   0.29003 -0.02425  0.41288
   0.30415 -0.02402  0.40178
   0.31826 -0.02377  0.39180
   0.33239 -0.02350  0.38179
   0.34653 -0.02321  0.37253
   0.36066 -0.02290  0.36416
   0.37481 -0.02258  0.35490
   0.38896 -0.02225  0.34765
   0.40311 -0.02191  0.33908
   0.41727 -0.02156  0.33197
   0.43143 -0.02120  0.32401
   0.44559 -0.02083  0.31780
   0.45975 -0.02046  0.30969
   0.47391 -0.02008  0.30370
   0.48807 -0.01969  0.29678
   0.50224 -0.01929  0.29016
   0.51640 -0.01889  0.28439
   0.53057 -0.01848  0.27803
   0.54473 -0.01807  0.27198
   0.55890 -0.01765  0.26638
   0.57306 -0.01722  0.26026
   0.58723 -0.01679  0.25453
   0.60139 -0.01635  0.25015
   0.61555 -0.01590  0.24370
   0.62972 -0.01545  0.23879
   0.64388 -0.01499  0.23300
   0.65805 -0.01453  0.22906
   0.67221 -0.01406  0.22362
   0.68637 -0.01358  0.21865
   0.70054 -0.01310  0.21394
   0.71471 -0.01262  0.20881
   0.72887 -0.01213  0.20375
   0.74304 -0.01163  0.20131
   0.75720 -0.01113  0.19454
   0.77137 -0.01062  0.19131
   0.78554 -0.01011  0.18613
   0.79970 -0.00960  0.18188
   0.81387 -0.00908  0.17757
   0.82804 -0.00855  0.17349
   0.84221 -0.00803  0.16874
   0.85637 -0.00749  0.16431
   0.87053 -0.00696  0.15905
   0.88469 -0.00641  0.15699
   0.89885 -0.00586  0.15124
   0.91301 -0.00531  0.14814
   0.92717 -0.00474  0.14366
   0.94132 -0.00417  0.13967
   0.95544 -0.00359  0.13700
   0.96947 -0.00302  0.13608
   0.98286 -0.00246  0.13509
   0.99440 -0.00197  0.14164
   1.00000 -0.00174  0.17184
