                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99462  0.00728-10.44223
   0.98428  0.01452  0.07976
   0.97294  0.02086 -0.42594
   0.96064  0.02687 -0.37337
   0.94718  0.03286 -0.40798
   0.93243  0.03897 -0.42826
   0.91620  0.04528 -0.45104
   0.89838  0.05187 -0.47503
   0.87889  0.05876 -0.50089
   0.85768  0.06599 -0.52679
   0.83483  0.07356 -0.56083
   0.81048  0.08143 -0.59459
   0.78479  0.08958 -0.63548
   0.75801  0.09797 -0.68249
   0.73039  0.10653 -0.73118
   0.70208  0.11525 -0.79541
   0.67338  0.12408 -0.85627
   0.64459  0.13294 -0.94645
   0.61599  0.14177 -1.01995
   0.58774  0.15055 -1.13336
   0.55998  0.15922 -1.26013
   0.53302  0.16767 -1.40593
   0.50722  0.17581 -1.56350
   0.48307  0.18345 -1.79983
   0.46101  0.19038 -2.04862
   0.44091  0.19659 -2.30839
   0.42302  0.20205 -2.75314
   0.40741  0.20652 -3.24191
   0.39332  0.20994 -3.71089
   0.38003  0.21244 -4.03006
   0.36709  0.21413 -4.19580
   0.35416  0.21511 -4.28593
   0.34109  0.21551 -4.18538
   0.32794  0.21545 -4.38076
   0.31484  0.21492 -4.31354
   0.30178  0.21386 -4.52080
   0.28863  0.21226 -4.29059
   0.27532  0.21016 -4.36867
   0.26192  0.20759 -4.26784
   0.24849  0.20457 -4.29203
   0.23507  0.20109 -4.16728
   0.22170  0.19719 -4.18088
   0.20843  0.19287 -4.12279
   0.19534  0.18815 -4.09954
   0.18248  0.18308 -4.02128
   0.16989  0.17767 -3.96154
   0.15765  0.17197 -3.95195
   0.14581  0.16602 -3.85252
   0.13442  0.15986 -3.86671
   0.12351  0.15353 -3.73137
   0.11311  0.14709 -3.75857
   0.10327  0.14057 -3.55674
   0.09399  0.13403 -3.68071
   0.08529  0.12750 -3.41514
   0.07716  0.12102 -3.60976
   0.06958  0.11461 -3.35243
   0.06256  0.10831 -3.23313
   0.05606  0.10214 -3.38238
   0.05007  0.09611 -3.26990
   0.04455  0.09023 -3.10697
   0.03949  0.08450 -3.12250
   0.03484  0.07895 -2.96715
   0.03059  0.07355 -2.83575
   0.02670  0.06831 -3.08310
   0.02317  0.06324 -2.72567
   0.01995  0.05830 -2.83145
   0.01704  0.05352 -2.72279
   0.01440  0.04887 -2.65195
   0.01201  0.04436 -2.41639
   0.00986  0.03998 -2.65618
   0.00795  0.03572 -2.32152
   0.00626  0.03159 -2.41442
   0.00479  0.02756 -2.24374
   0.00354  0.02363 -2.14548
   0.00251  0.01979 -2.04940
   0.00168  0.01603 -1.78393
   0.00102  0.01237 -1.78211
   0.00053  0.00880 -1.46208
   0.00019  0.00534 -1.47144
   0.00002  0.00199 -1.60861
   0.00002 -0.00130 -0.93244
   0.00020 -0.00459 -1.32620
   0.00052 -0.00791 -0.52308
   0.00099 -0.01130 -0.46333
   0.00157 -0.01476 -0.46072
   0.00225 -0.01827 -0.07789
   0.00304 -0.02180 -0.26957
   0.00394 -0.02534  0.23237
   0.00495 -0.02887  0.09356
   0.00609 -0.03237  0.15365
   0.00738 -0.03584  0.46765
   0.00886 -0.03924  0.46848
   0.01057 -0.04256  0.50047
   0.01254 -0.04577  0.72398
   0.01479 -0.04882  0.77768
   0.01735 -0.05167  0.78473
   0.02024 -0.05428  0.97015
   0.02347 -0.05661  0.94755
   0.02704 -0.05859  0.99994
   0.03095 -0.06023  0.99998
   0.03521 -0.06160  0.97896
   0.03978 -0.06280  0.99120
   0.04465 -0.06389  0.92712
   0.04986 -0.06489  0.95636
   0.05546 -0.06581  0.90504
   0.06149 -0.06667  0.89317
   0.06801 -0.06750  0.87412
   0.07507 -0.06830  0.86246
   0.08275 -0.06904  0.80889
   0.09113 -0.06971  0.79717
   0.10033 -0.07030  0.79046
   0.11048 -0.07080  0.71869
   0.12170 -0.07120  0.73445
   0.13415 -0.07147  0.70355
   0.14798 -0.07162  0.66266
   0.16330 -0.07158  0.66464
   0.18025 -0.07134  0.62081
   0.19887 -0.07085  0.60081
   0.21918 -0.07008  0.59502
   0.24114 -0.06903  0.56919
   0.26453 -0.06771  0.54516
   0.28913 -0.06612  0.52982
   0.31466 -0.06430  0.51639
   0.34073 -0.06228  0.50644
   0.36699 -0.06010  0.48545
   0.39308 -0.05774  0.47909
   0.41878 -0.05521  0.45700
   0.44397 -0.05248  0.45378
   0.46861 -0.04951  0.44177
   0.49271 -0.04628  0.43328
   0.51639 -0.04273  0.43367
   0.53976 -0.03885  0.43918
   0.56297 -0.03458  0.44813
   0.58617 -0.02990  0.45724
   0.60954 -0.02478  0.47877
   0.63331 -0.01921  0.50605
   0.65740 -0.01332  0.53543
   0.68138 -0.00738  0.56576
   0.70464 -0.00171  0.59543
   0.72684  0.00345  0.61843
   0.74795  0.00803  0.63995
   0.76807  0.01200  0.65752
   0.78729  0.01538  0.67408
   0.80570  0.01820  0.68587
   0.82333  0.02048  0.69727
   0.84022  0.02224  0.70682
   0.85636  0.02352  0.71723
   0.87178  0.02432  0.72530
   0.88650  0.02466  0.73330
   0.90055  0.02457  0.73867
   0.91397  0.02406  0.74527
   0.92677  0.02317  0.75139
   0.93898  0.02188  0.75739
   0.95065  0.02014  0.76386
   0.96188  0.01788  0.75998
   0.97273  0.01501  0.77917
   0.98336  0.01130  0.75007
   0.99377  0.00616 -3.65706
   1.00000  0.00000*********
