                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99484  0.00743-10.19856
   0.98470  0.01498  0.09270
   0.97356  0.02164 -0.40755
   0.96144  0.02801 -0.36011
   0.94815  0.03439 -0.39506
   0.93358  0.04092 -0.41877
   0.91754  0.04771 -0.44339
   0.89992  0.05481 -0.47025
   0.88063  0.06227 -0.49649
   0.85964  0.07012 -0.53112
   0.83702  0.07835 -0.56118
   0.81292  0.08693 -0.60298
   0.78748  0.09582 -0.64339
   0.76096  0.10498 -0.69408
   0.73361  0.11434 -0.75288
   0.70557  0.12388 -0.80678
   0.67715  0.13354 -0.88902
   0.64864  0.14324 -0.96515
   0.62032  0.15290 -1.06552
   0.59233  0.16249 -1.16850
   0.56484  0.17196 -1.29767
   0.53813  0.18120 -1.46393
   0.51258  0.19009 -1.63693
   0.48865  0.19843 -1.86139
   0.46678  0.20601 -2.12537
   0.44685  0.21281 -2.41278
   0.42911  0.21880 -2.85728
   0.41361  0.22374 -3.40292
   0.39960  0.22757 -3.84402
   0.38638  0.23046 -4.18892
   0.37348  0.23254 -4.42991
   0.36058  0.23389 -4.42119
   0.34752  0.23468 -4.49314
   0.33436  0.23501 -4.46987
   0.32124  0.23487 -4.68354
   0.30815  0.23419 -4.64510
   0.29494  0.23298 -4.65202
   0.28156  0.23127 -4.56810
   0.26808  0.22909 -4.55016
   0.25456  0.22646 -4.52483
   0.24103  0.22338 -4.49500
   0.22754  0.21986 -4.46368
   0.21414  0.21593 -4.49317
   0.20091  0.21160 -4.35463
   0.18789  0.20690 -4.30651
   0.17514  0.20186 -4.38562
   0.16272  0.19652 -4.22134
   0.15070  0.19092 -4.32222
   0.13912  0.18509 -4.10686
   0.12802  0.17909 -4.18586
   0.11744  0.17294 -4.15884
   0.10740  0.16672 -4.01329
   0.09793  0.16045 -3.98076
   0.08903  0.15417 -3.99488
   0.08071  0.14793 -4.00971
   0.07294  0.14175 -3.74102
   0.06573  0.13566 -3.87075
   0.05905  0.12967 -3.79341
   0.05288  0.12382 -3.67152
   0.04720  0.11810 -3.68198
   0.04196  0.11253 -3.56381
   0.03715  0.10711 -3.57079
   0.03274  0.10184 -3.52865
   0.02871  0.09673 -3.52614
   0.02502  0.09175 -3.26250
   0.02166  0.08692 -3.40105
   0.01861  0.08222 -3.19171
   0.01583  0.07765 -3.32737
   0.01331  0.07321 -3.32966
   0.01103  0.06890 -2.73539
   0.00899  0.06470 -3.39874
   0.00718  0.06061 -2.83966
   0.00560  0.05663 -2.92436
   0.00424  0.05274 -2.84342
   0.00309  0.04894 -2.72689
   0.00215  0.04521 -2.51783
   0.00139  0.04155 -2.48780
   0.00079  0.03800 -2.08937
   0.00035  0.03456 -2.07980
   0.00008  0.03122 -2.35586
  -0.00002  0.02792 -1.58572
   0.00006  0.02464 -1.48080
   0.00029  0.02131 -1.26695
   0.00065  0.01791 -1.02101
   0.00113  0.01443 -1.01112
   0.00171  0.01091 -0.55485
   0.00240  0.00735 -0.55608
   0.00320  0.00379 -0.39832
   0.00410  0.00023 -0.20827
   0.00514 -0.00331 -0.17640
   0.00633 -0.00681  0.02682
   0.00771 -0.01025  0.14805
   0.00932 -0.01362  0.06394
   0.01119 -0.01688  0.47507
   0.01335 -0.02000  0.42691
   0.01583 -0.02293  0.62865
   0.01865 -0.02562  0.77073
   0.02181 -0.02804  0.86216
   0.02532 -0.03013  0.91769
   0.02919 -0.03188  0.97816
   0.03341 -0.03337  0.99140
   0.03794 -0.03470  0.99836
   0.04278 -0.03594  0.98350
   0.04797 -0.03709  0.99404
   0.05353 -0.03817  0.96583
   0.05954 -0.03921  0.97095
   0.06604 -0.04022  0.93067
   0.07309 -0.04123  0.92632
   0.08074 -0.04219  0.89068
   0.08911 -0.04311  0.88770
   0.09830 -0.04397  0.86964
   0.10843 -0.04476  0.80868
   0.11964 -0.04549  0.80850
   0.13209 -0.04613  0.78106
   0.14592 -0.04667  0.77123
   0.16125 -0.04709  0.72114
   0.17821 -0.04734  0.72002
   0.19685 -0.04739  0.66935
   0.21719 -0.04722  0.66346
   0.23917 -0.04681  0.64314
   0.26260 -0.04617  0.62297
   0.28724 -0.04530  0.59432
   0.31282 -0.04423  0.58127
   0.33894 -0.04298  0.56632
   0.36525 -0.04156  0.54968
   0.39140 -0.03997  0.53260
   0.41717 -0.03819  0.51569
   0.44243 -0.03619  0.50059
   0.46714 -0.03395  0.49680
   0.49134 -0.03142  0.48595
   0.51512 -0.02857  0.48362
   0.53860 -0.02538  0.48295
   0.56193 -0.02179  0.48732
   0.58526 -0.01780  0.50013
   0.60878 -0.01335  0.51446
   0.63270 -0.00848  0.53931
   0.65696 -0.00331  0.56382
   0.68111  0.00193  0.59281
   0.70454  0.00692  0.61826
   0.72689  0.01143  0.64006
   0.74813  0.01539  0.65960
   0.76837  0.01877  0.67627
   0.78770  0.02159  0.68817
   0.80619  0.02387  0.70150
   0.82389  0.02563  0.71163
   0.84083  0.02690  0.72051
   0.85702  0.02771  0.72932
   0.87247  0.02806  0.73698
   0.88720  0.02797  0.74346
   0.90126  0.02747  0.74947
   0.91466  0.02657  0.75480
   0.92745  0.02530  0.76029
   0.93962  0.02365  0.76650
   0.95124  0.02157  0.77171
   0.96240  0.01899  0.76802
   0.97317  0.01581  0.78577
   0.98369  0.01179  0.75803
   0.99396  0.00634 -3.54971
   1.00000  0.00000*********
