                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000*********
   0.99111  0.00255*********
   0.97680  0.00697*********
   0.96114  0.01208  0.61495
   0.94400  0.01781 -0.44625
   0.92539  0.02411 -0.30120
   0.90551  0.03085 -0.33625
   0.88461  0.03794 -0.36435
   0.86299  0.04529 -0.43381
   0.84091  0.05279 -0.50028
   0.81862  0.06034 -0.51812
   0.79630  0.06784 -0.67042
   0.77406  0.07525 -0.60922
   0.75195  0.08250 -0.78229
   0.73000  0.08957 -0.92095
   0.70824  0.09644 -0.87327
   0.68667  0.10307 -0.97525
   0.66529  0.10945 -1.04846
   0.64410  0.11557 -1.15822
   0.62310  0.12140 -1.33443
   0.60229  0.12695 -1.42705
   0.58166  0.13219 -1.11684
   0.56123  0.13712 -1.88854
   0.54098  0.14172 -1.56301
   0.52094  0.14598 -1.57523
   0.50110  0.14989 -2.28338
   0.48148  0.15345 -1.86030
   0.46209  0.15663 -1.85223
   0.44295  0.15944 -2.94228
   0.42406  0.16185 -1.72464
   0.40546  0.16388 -2.16283
   0.38717  0.16549 -2.77863
   0.36921  0.16669 -3.09831
   0.35157  0.16746 -2.75221
   0.33426  0.16781 -2.97586
   0.31728  0.16772 -3.01224
   0.30065  0.16721 -3.01081
   0.28439  0.16627 -3.42045
   0.26851  0.16490 -2.99211
   0.25302  0.16310 -4.39856
   0.23790  0.16087 -2.54305
   0.22315  0.15822 -4.60840
   0.20878  0.15516 -3.50301
   0.19480  0.15172 -3.85134
   0.18125  0.14793 -3.22114
   0.16817  0.14384 -4.51797
   0.15560  0.13947 -3.11447
   0.14356  0.13486 -4.55697
   0.13209  0.13006 -3.87396
   0.12123  0.12513 -3.57076
   0.11100  0.12010 -3.39600
   0.10140  0.11500 -5.16968
   0.09244  0.10987 -3.35208
   0.08410  0.10474 -3.61948
   0.07636  0.09963 -4.67290
   0.06919  0.09457 -2.76523
   0.06256  0.08959 -5.55828
   0.05645  0.08470 -2.75517
   0.05081  0.07993 -4.45150
   0.04563  0.07528 -4.02888
   0.04086  0.07075 -2.51732
   0.03649  0.06635 -3.95342
   0.03246  0.06208 -5.00579
   0.02877  0.05792 -2.15054
   0.02538  0.05389 -3.01783
   0.02228  0.04999 -5.33707
   0.01944  0.04620 -2.78147
   0.01685  0.04253 -3.34255
   0.01450  0.03896 -2.75005
   0.01236  0.03549 -4.29249
   0.01041  0.03210 -4.07299
   0.00864  0.02878 -2.05301
   0.00705  0.02553 -4.64687
   0.00562  0.02237 -5.34210
   0.00435  0.01929 -0.10891
   0.00323  0.01631 -6.15908
   0.00227  0.01343 -1.92222
   0.00147  0.01064 -4.72677
   0.00084  0.00791 -1.07527
   0.00038  0.00523 -6.96407
   0.00010  0.00257 -1.63676
  -0.00001 -0.00009 -1.47149
   0.00009 -0.00274 -4.88864
   0.00042 -0.00538 -1.21890
   0.00102 -0.00800 -3.95492
   0.00193 -0.01056 -1.24710
   0.00318 -0.01305 -1.02572
   0.00475 -0.01550 -0.85687
   0.00660 -0.01790 -1.82610
   0.00871 -0.02026  0.77643
   0.01101 -0.02259 -0.03625
   0.01350 -0.02490  0.75366
   0.01619 -0.02718 -0.42096
   0.01908 -0.02944  0.89966
   0.02219 -0.03169  0.97219
   0.02552 -0.03395  0.29702
   0.02909 -0.03621  0.96533
   0.03291 -0.03847  0.86964
   0.03702 -0.04074  0.94660
   0.04142 -0.04302  0.97556
   0.04614 -0.04530  0.95032
   0.05121 -0.04758  0.99076
   0.05666 -0.04985  0.98047
   0.06253 -0.05213  0.99718
   0.06884 -0.05439  0.95438
   0.07565 -0.05665  0.97147
   0.08300 -0.05888  0.88407
   0.09093 -0.06107  0.93638
   0.09950 -0.06321  0.76631
   0.10875 -0.06528  0.98317
   0.11873 -0.06726  0.39899
   0.12947 -0.06913  0.88465
   0.14102 -0.07086  0.68300
   0.15336 -0.07242  0.71574
   0.16647 -0.07378  0.45585
   0.18031 -0.07487  0.80582
   0.19485 -0.07565  0.40463
   0.21008 -0.07607  0.69442
   0.22601 -0.07611  0.59161
   0.24266 -0.07574  0.44033
   0.26006 -0.07496  0.46622
   0.27821 -0.07380  0.66160
   0.29705 -0.07228  0.23183
   0.31650 -0.07042  0.56410
   0.33650 -0.06823  0.38588
   0.35697 -0.06573  0.52413
   0.37789 -0.06292  0.58984
   0.39919 -0.05984  0.28036
   0.42085 -0.05649  0.50796
   0.44283 -0.05291  0.58394
   0.46509 -0.04910  0.31043
   0.48762 -0.04509  0.45932
   0.51040 -0.04090  0.55634
   0.53342 -0.03655  0.49209
   0.55665 -0.03206  0.48854
   0.58003 -0.02747  0.50432
   0.60349 -0.02282  0.51036
   0.62694 -0.01816  0.55318
   0.65022 -0.01355  0.61401
   0.67318 -0.00906  0.53810
   0.69569 -0.00474  0.55044
   0.71764 -0.00064  0.60772
   0.73896  0.00319  0.64866
   0.75962  0.00671  0.59309
   0.77957  0.00988  0.65179
   0.79874  0.01268  0.69188
   0.81708  0.01507  0.66681
   0.83455  0.01700  0.69781
   0.85119  0.01844  0.69325
   0.86703  0.01938  0.73801
   0.88218  0.01977  0.73255
   0.89676  0.01960  0.74352
   0.91089  0.01885  0.75340
   0.92468  0.01753  0.73337
   0.93822  0.01561  0.73537
   0.95161  0.01309  0.65931
   0.96492  0.01002 -1.62883
   0.97818  0.00646*********
   0.99133  0.00257*********
   1.00000  0.00000*********
