                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00131  0.30706
   0.99477  0.00199  0.17698
   0.98609  0.00312  0.12773
   0.97620  0.00441  0.08793
   0.96487  0.00589  0.05344
   0.95198  0.00758  0.02071
   0.93827  0.00938 -0.01203
   0.92481  0.01114 -0.03952
   0.91121  0.01292 -0.06725
   0.89732  0.01472 -0.09385
   0.88347  0.01649 -0.11644
   0.86964  0.01826 -0.14047
   0.85571  0.02002 -0.16147
   0.84171  0.02180 -0.19065
   0.82772  0.02356 -0.21737
   0.81378  0.02529 -0.24516
   0.79991  0.02695 -0.27204
   0.78606  0.02854 -0.29038
   0.77218  0.03008 -0.30954
   0.75824  0.03157 -0.32380
   0.74425  0.03304 -0.34366
   0.73025  0.03449 -0.36475
   0.71625  0.03591 -0.38485
   0.70228  0.03729 -0.40886
   0.68833  0.03863 -0.42834
   0.67439  0.03992 -0.45343
   0.66044  0.04117 -0.47193
   0.64649  0.04237 -0.49491
   0.63254  0.04352 -0.51520
   0.61858  0.04462 -0.53688
   0.60462  0.04566 -0.55834
   0.59066  0.04666 -0.58044
   0.57670  0.04761 -0.60321
   0.56275  0.04849 -0.62571
   0.54880  0.04932 -0.64872
   0.53485  0.05008 -0.67139
   0.52091  0.05078 -0.69543
   0.50696  0.05142 -0.71823
   0.49302  0.05198 -0.74096
   0.47908  0.05248 -0.76637
   0.46515  0.05290 -0.79049
   0.45122  0.05324 -0.81485
   0.43731  0.05350 -0.84038
   0.42342  0.05367 -0.86478
   0.40955  0.05375 -0.88833
   0.39568  0.05373 -0.90927
   0.38180  0.05361 -0.92843
   0.36791  0.05339 -0.94577
   0.35399  0.05309 -0.96312
   0.34007  0.05271 -0.98365
   0.32614  0.05225 -1.00410
   0.31221  0.05171 -1.02709
   0.29830  0.05109 -1.05092
   0.28439  0.05039 -1.07550
   0.27048  0.04962 -1.10257
   0.25657  0.04876 -1.13229
   0.24268  0.04783 -1.16406
   0.22880  0.04681 -1.20004
   0.21495  0.04571 -1.23882
   0.20113  0.04451 -1.28060
   0.18732  0.04321 -1.32492
   0.17353  0.04182 -1.37349
   0.15974  0.04031 -1.42847
   0.14598  0.03870 -1.49245
   0.13227  0.03698 -1.57033
   0.11862  0.03512 -1.66029
   0.10504  0.03313 -1.76426
   0.09156  0.03097 -1.88798
   0.07817  0.02863 -2.03990
   0.06488  0.02608 -2.24578
   0.05180  0.02331 -2.52803
   0.03925  0.02030 -2.94976
   0.02766  0.01706 -3.54365
   0.01751  0.01364 -4.59631
   0.01054  0.01067 -5.92300
   0.00638  0.00846 -8.13625
   0.00367  0.00651-10.23606
   0.00189  0.00472-11.96979
   0.00078  0.00314-14.14977
   0.00015  0.00168-16.23592
  -0.00002  0.00030-16.36001
   0.00027 -0.00105-11.64166
   0.00105 -0.00243 -6.57735
   0.00239 -0.00387 -3.24727
   0.00447 -0.00539 -1.19842
   0.00756 -0.00686  0.13511
   0.01239 -0.00854  0.72429
   0.02042 -0.01060  0.96365
   0.03154 -0.01269  0.99806
   0.04413 -0.01457  0.96180
   0.05736 -0.01619  0.91035
   0.07089 -0.01761  0.85899
   0.08459 -0.01889  0.81128
   0.09836 -0.02003  0.76798
   0.11216 -0.02106  0.72872
   0.12600 -0.02199  0.69355
   0.13990 -0.02283  0.66179
   0.15383 -0.02359  0.63238
   0.16779 -0.02430  0.60528
   0.18175 -0.02494  0.58022
   0.19572 -0.02551  0.55664
   0.20969 -0.02603  0.53501
   0.22367 -0.02650  0.51480
   0.23766 -0.02691  0.49577
   0.25167 -0.02727  0.47794
   0.26567 -0.02759  0.46056
   0.27968 -0.02785  0.44481
   0.29368 -0.02808  0.42917
   0.30769 -0.02825  0.41393
   0.32170 -0.02837  0.40044
   0.33572 -0.02846  0.38762
   0.34974 -0.02849  0.37372
   0.36375 -0.02848  0.36095
   0.37772 -0.02842  0.34829
   0.39167 -0.02829  0.33625
   0.40560 -0.02809  0.32589
   0.41954 -0.02782  0.31819
   0.43349 -0.02747  0.31147
   0.44747 -0.02707  0.30498
   0.46146 -0.02661  0.29920
   0.47547 -0.02611  0.29431
   0.48947 -0.02555  0.28909
   0.50348 -0.02496  0.28537
   0.51749 -0.02432  0.28130
   0.53152 -0.02365  0.27779
   0.54554 -0.02294  0.27505
   0.55958 -0.02220  0.27250
   0.57362 -0.02144  0.27036
   0.58767 -0.02065  0.26786
   0.60172 -0.01984  0.26607
   0.61577 -0.01901  0.26552
   0.62984 -0.01816  0.26440
   0.64390 -0.01730  0.26174
   0.65797 -0.01642  0.26270
   0.67204 -0.01554  0.26186
   0.68611 -0.01465  0.26312
   0.70019 -0.01377  0.26346
   0.71426 -0.01289  0.26311
   0.72834 -0.01203  0.26451
   0.74239 -0.01119  0.26370
   0.75642 -0.01038  0.26516
   0.77041 -0.00961  0.26646
   0.78435 -0.00888  0.26500
   0.79827 -0.00822  0.26314
   0.81222 -0.00762  0.25933
   0.82625 -0.00708  0.25073
   0.84034 -0.00656  0.24314
   0.85445 -0.00606  0.23754
   0.86848 -0.00557  0.23375
   0.88242 -0.00508  0.23052
   0.89636 -0.00460  0.22573
   0.91037 -0.00414  0.22219
   0.92409 -0.00370  0.21893
   0.93766 -0.00328  0.21505
   0.95148 -0.00284  0.21222
   0.96451 -0.00243  0.21259
   0.97598 -0.00207  0.21495
   0.98597 -0.00175  0.22182
   0.99472 -0.00147  0.23675
   1.00000 -0.00130  0.30706
