                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.42738
   0.99515  0.00125  0.19756
   0.98714  0.00320  0.07206
   0.97804  0.00525 -0.02440
   0.96759  0.00737 -0.09166
   0.95560  0.00953 -0.15321
   0.94213  0.01160 -0.18097
   0.92820  0.01342 -0.18459
   0.91433  0.01502 -0.17944
   0.90023  0.01658 -0.17138
   0.88622  0.01815 -0.18321
   0.87240  0.01975 -0.19830
   0.85865  0.02136 -0.21813
   0.84489  0.02299 -0.24181
   0.83105  0.02462 -0.26568
   0.81711  0.02626 -0.29144
   0.80304  0.02788 -0.31599
   0.78887  0.02947 -0.33778
   0.77465  0.03101 -0.36302
   0.76043  0.03250 -0.38057
   0.74620  0.03395 -0.40468
   0.73195  0.03534 -0.42245
   0.71774  0.03667 -0.44584
   0.70354  0.03795 -0.46266
   0.68937  0.03917 -0.47976
   0.67519  0.04034 -0.49784
   0.66101  0.04146 -0.51447
   0.64681  0.04253 -0.53172
   0.63259  0.04357 -0.55005
   0.61835  0.04457 -0.56703
   0.60410  0.04554 -0.58842
   0.58985  0.04648 -0.61288
   0.57562  0.04739 -0.63902
   0.56142  0.04824 -0.66812
   0.54724  0.04903 -0.69643
   0.53309  0.04974 -0.72530
   0.51897  0.05035 -0.75286
   0.50486  0.05085 -0.77531
   0.49075  0.05124 -0.79252
   0.47663  0.05151 -0.80090
   0.46247  0.05168 -0.80932
   0.44827  0.05178 -0.81495
   0.43404  0.05183 -0.82214
   0.41977  0.05183 -0.83098
   0.40548  0.05182 -0.84491
   0.39118  0.05182 -0.86785
   0.37690  0.05181 -0.90235
   0.36264  0.05178 -0.94106
   0.34843  0.05171 -0.98230
   0.33425  0.05156 -1.02832
   0.32013  0.05132 -1.07043
   0.30604  0.05096 -1.11288
   0.29197  0.05046 -1.14815
   0.27792  0.04982 -1.17553
   0.26386  0.04905 -1.19918
   0.24979  0.04815 -1.22387
   0.23569  0.04714 -1.24702
   0.22157  0.04602 -1.27404
   0.20744  0.04482 -1.30558
   0.19328  0.04355 -1.34313
   0.17912  0.04220 -1.39228
   0.16496  0.04079 -1.45266
   0.15080  0.03933 -1.53554
   0.13666  0.03779 -1.66483
   0.12261  0.03608 -1.81485
   0.10880  0.03407 -1.95458
   0.09544  0.03170 -1.98982
   0.08261  0.02911 -1.89687
   0.06959  0.02668 -2.04546
   0.05585  0.02434 -2.64078
   0.04347  0.02177 -3.20356
   0.03421  0.01932 -3.62296
   0.02549  0.01650 -4.22403
   0.01587  0.01254 -5.03985
   0.00844  0.00864 -6.39887
   0.00512  0.00655 -8.25244
   0.00305  0.00499-10.44951
   0.00165  0.00367-13.42107
   0.00071  0.00249-17.33628
   0.00016  0.00141-21.90144
  -0.00003  0.00039-24.25601
   0.00016 -0.00059-18.56766
   0.00074 -0.00157-10.63013
   0.00172 -0.00256 -5.46212
   0.00319 -0.00361 -2.48389
   0.00536 -0.00478 -0.76246
   0.00881 -0.00624  0.26736
   0.01658 -0.00867  0.86426
   0.02700 -0.01078  0.99624
   0.03649 -0.01220  0.99124
   0.04706 -0.01345  0.95430
   0.06044 -0.01460  0.89944
   0.07405 -0.01540  0.84961
   0.08781 -0.01600  0.80464
   0.10175 -0.01648  0.76410
   0.11598 -0.01688  0.72631
   0.13016 -0.01717  0.69282
   0.14441 -0.01737  0.66244
   0.15856 -0.01746  0.63626
   0.17266 -0.01747  0.61351
   0.18680 -0.01740  0.59365
   0.20104 -0.01728  0.57489
   0.21534 -0.01713  0.55683
   0.22963 -0.01695  0.53984
   0.24392 -0.01673  0.52377
   0.25822 -0.01647  0.50884
   0.27252 -0.01616  0.49587
   0.28679 -0.01581  0.48262
   0.30104 -0.01542  0.47178
   0.31526 -0.01498  0.46248
   0.32948 -0.01449  0.45363
   0.34370 -0.01398  0.44750
   0.35793 -0.01344  0.44045
   0.37218 -0.01289  0.43404
   0.38644 -0.01233  0.42928
   0.40072 -0.01178  0.42445
   0.41502 -0.01124  0.41651
   0.42932 -0.01071  0.41190
   0.44362 -0.01020  0.40494
   0.45792 -0.00969  0.39926
   0.47223 -0.00920  0.39254
   0.48653 -0.00871  0.38836
   0.50083 -0.00823  0.38073
   0.51513 -0.00775  0.37759
   0.52944 -0.00729  0.37030
   0.54375 -0.00683  0.36688
   0.55806 -0.00637  0.36179
   0.57237 -0.00593  0.35764
   0.58668 -0.00550  0.35174
   0.60098 -0.00507  0.34917
   0.61527 -0.00466  0.34429
   0.62954 -0.00426  0.34086
   0.64380 -0.00388  0.33690
   0.65804 -0.00351  0.33183
   0.67228 -0.00316  0.32999
   0.68652 -0.00284  0.32412
   0.70078 -0.00253  0.32034
   0.71508 -0.00226  0.31702
   0.72936 -0.00200  0.31156
   0.74359 -0.00177  0.30499
   0.75779 -0.00156  0.30240
   0.77197 -0.00136  0.29590
   0.78617 -0.00117  0.29215
   0.80045 -0.00100  0.28755
   0.81467 -0.00083  0.28496
   0.82872 -0.00068  0.28242
   0.84260 -0.00057  0.27983
   0.85636 -0.00050  0.27537
   0.87006 -0.00047  0.27426
   0.88381 -0.00051  0.26674
   0.89775 -0.00062  0.25555
   0.91192 -0.00081  0.24111
   0.92578 -0.00103  0.21931
   0.93955 -0.00118  0.20227
   0.95351 -0.00121  0.19037
   0.96620 -0.00108  0.19424
   0.97719 -0.00085  0.20762
   0.98670 -0.00056  0.23241
   0.99500 -0.00023  0.28936
   1.00000  0.00000  0.42738
