                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.26269
   0.99405  0.00070  0.18954
   0.98173  0.00238  0.09391
   0.96870  0.00418  0.01836
   0.95540  0.00591 -0.02179
   0.94210  0.00753 -0.05095
   0.92874  0.00907 -0.07295
   0.91529  0.01058 -0.09550
   0.90181  0.01205 -0.11336
   0.88834  0.01350 -0.12995
   0.87488  0.01492 -0.15303
   0.86142  0.01632 -0.17099
   0.84795  0.01768 -0.18668
   0.83444  0.01904 -0.20274
   0.82091  0.02038 -0.21872
   0.80742  0.02171 -0.24602
   0.79399  0.02300 -0.26312
   0.78061  0.02421 -0.28574
   0.76727  0.02534 -0.28656
   0.75392  0.02642 -0.28984
   0.74057  0.02752 -0.28956
   0.72722  0.02867 -0.30403
   0.71389  0.02990 -0.33422
   0.70057  0.03114 -0.37279
   0.68725  0.03232 -0.40111
   0.67388  0.03341 -0.41619
   0.66044  0.03443 -0.42692
   0.64694  0.03541 -0.43424
   0.63339  0.03638 -0.44810
   0.61983  0.03734 -0.46704
   0.60630  0.03828 -0.48655
   0.59280  0.03918 -0.50603
   0.57931  0.04005 -0.52445
   0.56582  0.04088 -0.54317
   0.55233  0.04168 -0.56100
   0.53882  0.04244 -0.57947
   0.52531  0.04317 -0.59914
   0.51180  0.04386 -0.61939
   0.49830  0.04452 -0.63928
   0.48479  0.04513 -0.66039
   0.47129  0.04571 -0.68178
   0.45779  0.04624 -0.70459
   0.44429  0.04673 -0.72594
   0.43079  0.04718 -0.75024
   0.41730  0.04758 -0.77522
   0.40380  0.04793 -0.79870
   0.39031  0.04823 -0.82424
   0.37682  0.04848 -0.85190
   0.36333  0.04867 -0.87878
   0.34985  0.04880 -0.90777
   0.33637  0.04888 -0.93902
   0.32290  0.04890 -0.96860
   0.30944  0.04885 -1.00283
   0.29599  0.04873 -1.03787
   0.28254  0.04854 -1.07285
   0.26910  0.04826 -1.11069
   0.25566  0.04792 -1.15075
   0.24224  0.04748 -1.19429
   0.22884  0.04696 -1.24094
   0.21545  0.04635 -1.29052
   0.20209  0.04563 -1.34472
   0.18874  0.04480 -1.40064
   0.17541  0.04385 -1.46219
   0.16211  0.04278 -1.53296
   0.14886  0.04157 -1.61167
   0.13565  0.04021 -1.69798
   0.12250  0.03869 -1.79645
   0.10940  0.03698 -1.90912
   0.09639  0.03506 -2.04020
   0.08352  0.03293 -2.19838
   0.07075  0.03052 -2.39433
   0.05811  0.02778 -2.64288
   0.04592  0.02472 -2.96368
   0.03430  0.02128 -3.39973
   0.02284  0.01715 -4.13238
   0.01376  0.01300 -4.99996
   0.00742  0.00939 -6.64666
   0.00305  0.00598 -9.81222
   0.00109  0.00357-11.86706
   0.00019  0.00182-16.02219
  -0.00005  0.00040-19.95487
   0.00035 -0.00087-12.97429
   0.00146 -0.00214 -5.06415
   0.00365 -0.00365 -1.39214
   0.00850 -0.00584  0.37430
   0.01555 -0.00808  0.86912
   0.02533 -0.01045  0.99538
   0.03774 -0.01254  0.98166
   0.05028 -0.01417  0.93300
   0.06316 -0.01552  0.87903
   0.07631 -0.01662  0.82923
   0.08955 -0.01752  0.78439
   0.10285 -0.01828  0.74422
   0.11619 -0.01891  0.70891
   0.12959 -0.01944  0.67722
   0.14303 -0.01988  0.64926
   0.15649 -0.02024  0.62339
   0.16996 -0.02054  0.59996
   0.18344 -0.02078  0.57839
   0.19693 -0.02097  0.55958
   0.21045 -0.02111  0.54097
   0.22398 -0.02122  0.52504
   0.23751 -0.02129  0.50869
   0.25104 -0.02133  0.49417
   0.26457 -0.02133  0.48027
   0.27811 -0.02131  0.46797
   0.29166 -0.02126  0.45548
   0.30521 -0.02119  0.44440
   0.31877 -0.02110  0.43314
   0.33233 -0.02098  0.42307
   0.34589 -0.02086  0.41254
   0.35945 -0.02071  0.40327
   0.37301 -0.02055  0.39369
   0.38657 -0.02037  0.38536
   0.40014 -0.02017  0.37761
   0.41371 -0.01997  0.36822
   0.42727 -0.01975  0.36152
   0.44084 -0.01952  0.35270
   0.45441 -0.01927  0.34567
   0.46798 -0.01902  0.33880
   0.48155 -0.01875  0.33117
   0.49511 -0.01847  0.32492
   0.50868 -0.01818  0.31794
   0.52225 -0.01788  0.31166
   0.53582 -0.01756  0.30549
   0.54939 -0.01724  0.29845
   0.56296 -0.01690  0.29254
   0.57652 -0.01655  0.28605
   0.59008 -0.01619  0.28104
   0.60364 -0.01581  0.27527
   0.61720 -0.01542  0.27009
   0.63077 -0.01501  0.26276
   0.64433 -0.01460  0.25801
   0.65789 -0.01416  0.25216
   0.67143 -0.01371  0.24611
   0.68495 -0.01323  0.23855
   0.69846 -0.01271  0.23591
   0.71196 -0.01216  0.23198
   0.72545 -0.01156  0.22857
   0.73894 -0.01093  0.22623
   0.75244 -0.01025  0.22686
   0.76596 -0.00953  0.22644
   0.77949 -0.00879  0.22856
   0.79303 -0.00803  0.23069
   0.80657 -0.00726  0.23333
   0.82011 -0.00649  0.23543
   0.83365 -0.00574  0.23742
   0.84719 -0.00501  0.23925
   0.86072 -0.00430  0.23903
   0.87424 -0.00362  0.24047
   0.88774 -0.00297  0.24223
   0.90123 -0.00237  0.24525
   0.91473 -0.00181  0.24056
   0.92822 -0.00130  0.24459
   0.94167 -0.00085  0.24331
   0.95512 -0.00046  0.24493
   0.96864 -0.00013  0.24347
   0.98175  0.00009  0.25986
   0.99403  0.00012  0.27620
   1.00000  0.00000  0.26269
