                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.44502
   0.99523  0.00113  0.21282
   0.98730  0.00292  0.11167
   0.97825  0.00484  0.02754
   0.96778  0.00690 -0.03953
   0.95564  0.00907 -0.09660
   0.94198  0.01124 -0.13115
   0.92831  0.01316 -0.15666
   0.91468  0.01491 -0.16270
   0.90071  0.01661 -0.16869
   0.88667  0.01830 -0.18745
   0.87286  0.01994 -0.20767
   0.85915  0.02155 -0.22827
   0.84544  0.02313 -0.25282
   0.83165  0.02467 -0.27020
   0.81774  0.02617 -0.29436
   0.80368  0.02763 -0.31383
   0.78950  0.02903 -0.33110
   0.77526  0.03037 -0.34291
   0.76106  0.03165 -0.35800
   0.74686  0.03287 -0.36883
   0.73266  0.03406 -0.38293
   0.71842  0.03523 -0.39151
   0.70416  0.03637 -0.40688
   0.68990  0.03750 -0.42287
   0.67566  0.03862 -0.43838
   0.66144  0.03971 -0.46257
   0.64723  0.04077 -0.47927
   0.63302  0.04180 -0.50114
   0.61882  0.04278 -0.52115
   0.60461  0.04371 -0.53703
   0.59039  0.04458 -0.55423
   0.57615  0.04540 -0.56773
   0.56191  0.04618 -0.57973
   0.54765  0.04693 -0.58820
   0.53338  0.04767 -0.60575
   0.51910  0.04840 -0.61967
   0.50482  0.04914 -0.64146
   0.49055  0.04991 -0.66785
   0.47630  0.05068 -0.70451
   0.46207  0.05144 -0.74277
   0.44786  0.05216 -0.78263
   0.43367  0.05282 -0.82712
   0.41951  0.05339 -0.87129
   0.40536  0.05386 -0.90720
   0.39121  0.05419 -0.94438
   0.37707  0.05440 -0.96709
   0.36291  0.05449 -0.99190
   0.34874  0.05446 -1.01563
   0.33455  0.05434 -1.03497
   0.32034  0.05413 -1.06168
   0.30612  0.05384 -1.08706
   0.29187  0.05349 -1.11953
   0.27760  0.05307 -1.16226
   0.26333  0.05257 -1.20455
   0.24906  0.05197 -1.25501
   0.23481  0.05126 -1.30803
   0.22059  0.05044 -1.36246
   0.20642  0.04948 -1.42376
   0.19233  0.04838 -1.48655
   0.17834  0.04713 -1.55765
   0.16442  0.04570 -1.63114
   0.15052  0.04407 -1.70773
   0.13656  0.04219 -1.78696
   0.12249  0.04003 -1.86892
   0.10844  0.03760 -1.95473
   0.09469  0.03493 -2.03335
   0.08137  0.03210 -2.10899
   0.06798  0.02912 -2.30702
   0.05551  0.02614 -2.61963
   0.04338  0.02284 -3.04084
   0.03464  0.02006 -3.46021
   0.02667  0.01702 -3.94263
   0.01807  0.01293 -3.99144
   0.00975  0.00854 -4.97746
   0.00574  0.00625 -6.93755
   0.00341  0.00471 -9.24020
   0.00186  0.00345-12.45631
   0.00082  0.00235-17.10310
   0.00021  0.00135-23.50943
  -0.00003  0.00041-28.41821
   0.00015 -0.00049-21.30659
   0.00074 -0.00138-10.98804
   0.00177 -0.00229 -5.15584
   0.00335 -0.00327 -2.08837
   0.00573 -0.00438 -0.44888
   0.00986 -0.00588  0.48946
   0.01886 -0.00843  0.93192
   0.02865 -0.01029  0.99987
   0.03739 -0.01135  0.98390
   0.04791 -0.01218  0.94371
   0.06107 -0.01281  0.89440
   0.07436 -0.01328  0.85280
   0.08806 -0.01382  0.81011
   0.10198 -0.01437  0.76851
   0.11613 -0.01484  0.73260
   0.13015 -0.01523  0.70215
   0.14428 -0.01557  0.67402
   0.15855 -0.01589  0.64804
   0.17275 -0.01621  0.62165
   0.18694 -0.01649  0.59723
   0.20117 -0.01672  0.57467
   0.21542 -0.01688  0.55454
   0.22970 -0.01698  0.53641
   0.24398 -0.01702  0.51978
   0.25828 -0.01701  0.50514
   0.27256 -0.01694  0.49117
   0.28685 -0.01684  0.47818
   0.30113 -0.01669  0.46703
   0.31541 -0.01650  0.45664
   0.32969 -0.01629  0.44700
   0.34397 -0.01606  0.43732
   0.35827 -0.01580  0.42818
   0.37257 -0.01553  0.42174
   0.38688 -0.01526  0.41236
   0.40120 -0.01498  0.40596
   0.41552 -0.01470  0.39785
   0.42984 -0.01442  0.38934
   0.44416 -0.01414  0.38241
   0.45847 -0.01385  0.37309
   0.47278 -0.01356  0.36848
   0.48709 -0.01327  0.35962
   0.50140 -0.01297  0.35354
   0.51572 -0.01266  0.34924
   0.53003 -0.01235  0.33809
   0.54435 -0.01202  0.33593
   0.55866 -0.01169  0.32991
   0.57298 -0.01135  0.32375
   0.58729 -0.01101  0.31851
   0.60161 -0.01066  0.31446
   0.61591 -0.01031  0.30874
   0.63020 -0.00995  0.30549
   0.64448 -0.00960  0.30132
   0.65874 -0.00925  0.29753
   0.67301 -0.00891  0.29129
   0.68727 -0.00858  0.29039
   0.70156 -0.00827  0.28215
   0.71587 -0.00797  0.27765
   0.73014 -0.00769  0.27185
   0.74436 -0.00741  0.26603
   0.75856 -0.00713  0.25846
   0.77275 -0.00686  0.25387
   0.78697 -0.00657  0.24698
   0.80125 -0.00627  0.24384
   0.81546 -0.00596  0.23695
   0.82950 -0.00564  0.23507
   0.84338 -0.00531  0.22988
   0.85715 -0.00498  0.22899
   0.87089 -0.00466  0.22603
   0.88472 -0.00434  0.21896
   0.89877 -0.00403  0.21725
   0.91287 -0.00372  0.20651
   0.92655 -0.00341  0.19532
   0.94016 -0.00303  0.19079
   0.95409 -0.00254  0.19170
   0.96674 -0.00199  0.19786
   0.97761 -0.00142  0.21703
   0.98696 -0.00087  0.24751
   0.99511 -0.00034  0.29220
   1.00000  0.00000  0.44502
