                                                
 Alfa =  10.00000 Re =  4000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.23577
   0.99458  0.00033  0.13244
   0.98395  0.00098  0.09600
   0.97058  0.00180  0.05365
   0.95686  0.00264  0.02117
   0.94310  0.00348  0.00544
   0.92929  0.00432 -0.01121
   0.91546  0.00517 -0.03494
   0.90163  0.00601 -0.05074
   0.88779  0.00685 -0.06361
   0.87395  0.00770 -0.07882
   0.86011  0.00854 -0.09486
   0.84626  0.00939 -0.10678
   0.83241  0.01024 -0.11927
   0.81857  0.01108 -0.13788
   0.80473  0.01193 -0.14713
   0.79088  0.01278 -0.16230
   0.77703  0.01362 -0.17698
   0.76318  0.01447 -0.18681
   0.74933  0.01531 -0.20320
   0.73549  0.01616 -0.21505
   0.72164  0.01700 -0.22812
   0.70779  0.01784 -0.24354
   0.69394  0.01869 -0.25798
   0.68010  0.01954 -0.26987
   0.66625  0.02038 -0.28872
   0.65240  0.02123 -0.30353
   0.63855  0.02208 -0.32041
   0.62471  0.02293 -0.33808
   0.61087  0.02377 -0.35877
   0.59703  0.02461 -0.37697
   0.58320  0.02543 -0.39735
   0.56939  0.02623 -0.42317
   0.55559  0.02700 -0.44003
   0.54178  0.02773 -0.46445
   0.52797  0.02843 -0.47805
   0.51414  0.02910 -0.50145
   0.50030  0.02974 -0.52348
   0.48649  0.03035 -0.54583
   0.47270  0.03091 -0.57526
   0.45894  0.03142 -0.59850
   0.44520  0.03184 -0.61878
   0.43144  0.03218 -0.63062
   0.41763  0.03246 -0.64064
   0.40380  0.03273 -0.65254
   0.38995  0.03300 -0.68256
   0.37614  0.03326 -0.71353
   0.36236  0.03347 -0.75439
   0.34863  0.03361 -0.78642
   0.33490  0.03364 -0.81045
   0.32114  0.03359 -0.83185
   0.30737  0.03345 -0.85226
   0.29356  0.03325 -0.87613
   0.27977  0.03299 -0.90603
   0.26599  0.03267 -0.93611
   0.25222  0.03227 -0.96751
   0.23847  0.03179 -0.99629
   0.22470  0.03124 -1.02494
   0.21091  0.03062 -1.05777
   0.19711  0.02996 -1.09764
   0.18331  0.02925 -1.14924
   0.16952  0.02847 -1.20967
   0.15578  0.02763 -1.27853
   0.14210  0.02670 -1.35720
   0.12847  0.02564 -1.44158
   0.11484  0.02444 -1.52232
   0.10117  0.02312 -1.61518
   0.08743  0.02172 -1.78225
   0.07378  0.02018 -2.02335
   0.06073  0.01839 -2.28280
   0.04805  0.01624 -2.42734
   0.03519  0.01402 -2.84121
   0.02674  0.01247 -5.48727
   0.02137  0.00981 -2.15477
   0.01644  0.00837 -2.36971
   0.01138  0.00784 -6.88897
   0.00585  0.00597-10.26841
   0.00243  0.00372-12.99176
   0.00086  0.00218-18.99993
   0.00013  0.00090-27.35821
   0.00004 -0.00028-26.05361
   0.00059 -0.00148-12.14710
   0.00190 -0.00283 -4.56943
   0.00465 -0.00461 -1.02931
   0.01018 -0.00664  0.51898
   0.01570 -0.00720  0.92244
   0.02111 -0.00843  0.97230
   0.02684 -0.01078  0.99699
   0.03526 -0.01187  0.98809
   0.04760 -0.01364  0.94249
   0.05996 -0.01520  0.88458
   0.07323 -0.01637  0.83862
   0.08674 -0.01753  0.79366
   0.10041 -0.01873  0.74915
   0.11394 -0.01991  0.70398
   0.12746 -0.02098  0.66239
   0.14107 -0.02186  0.63009
   0.15479 -0.02259  0.60304
   0.16857 -0.02325  0.57758
   0.18239 -0.02385  0.55323
   0.19620 -0.02441  0.53001
   0.21001 -0.02491  0.50834
   0.22381 -0.02537  0.48679
   0.23760 -0.02578  0.46710
   0.25139 -0.02613  0.44865
   0.26518 -0.02642  0.43113
   0.27897 -0.02665  0.41559
   0.29277 -0.02683  0.40126
   0.30658 -0.02695  0.38686
   0.32038 -0.02702  0.37442
   0.33419 -0.02704  0.36139
   0.34800 -0.02701  0.35186
   0.36182 -0.02693  0.34036
   0.37564 -0.02681  0.33067
   0.38946 -0.02665  0.32173
   0.40329 -0.02645  0.31252
   0.41712 -0.02622  0.30396
   0.43093 -0.02595  0.29475
   0.44473 -0.02563  0.28608
   0.45854 -0.02527  0.28069
   0.47237 -0.02487  0.27685
   0.48622 -0.02444  0.26879
   0.50007 -0.02400  0.26578
   0.51392 -0.02354  0.25764
   0.52775 -0.02306  0.25032
   0.54155 -0.02254  0.24208
   0.55533 -0.02197  0.23822
   0.56912 -0.02135  0.23616
   0.58293 -0.02069  0.23621
   0.59676 -0.02000  0.23599
   0.61062 -0.01931  0.23373
   0.62446 -0.01863  0.23030
   0.63832 -0.01794  0.22779
   0.65217 -0.01725  0.22604
   0.66603 -0.01657  0.22031
   0.67988 -0.01588  0.21949
   0.69374 -0.01519  0.21498
   0.70759 -0.01450  0.21110
   0.72145 -0.01382  0.21024
   0.73531 -0.01313  0.20494
   0.74917 -0.01244  0.20244
   0.76302 -0.01175  0.19767
   0.77688 -0.01107  0.19578
   0.79074 -0.01038  0.19121
   0.80459 -0.00969  0.18953
   0.81845 -0.00900  0.18392
   0.83230 -0.00832  0.18490
   0.84616 -0.00763  0.17783
   0.86001 -0.00694  0.17578
   0.87387 -0.00626  0.17425
   0.88772 -0.00557  0.16974
   0.90157 -0.00489  0.16727
   0.91541 -0.00420  0.16298
   0.92925 -0.00351  0.16549
   0.94306 -0.00283  0.16083
   0.95683 -0.00215  0.15834
   0.97056 -0.00146  0.15524
   0.98394 -0.00079  0.17502
   0.99458 -0.00027  0.17372
   1.00000  0.00000  0.23577
