#      x          Cp  
     1.00000    0.27749
     0.99317    0.10896
     0.98435    0.04527
     0.97429   -0.01579
     0.96274   -0.06947
     0.94962   -0.11949
     0.93544   -0.16329
     0.92134   -0.20015
     0.90705   -0.23316
     0.89280   -0.26423
     0.87880   -0.29391
     0.86492   -0.32204
     0.85105   -0.34898
     0.83710   -0.37499
     0.82303   -0.40026
     0.80882   -0.42487
     0.79447   -0.44878
     0.78000   -0.47195
     0.76547   -0.49473
     0.75090   -0.51729
     0.73632   -0.53987
     0.72176   -0.56276
     0.70723   -0.58636
     0.69273   -0.61202
     0.67827   -0.63977
     0.66384   -0.66825
     0.64944   -0.69692
     0.63505   -0.72526
     0.62068   -0.75264
     0.60631   -0.77821
     0.59191   -0.79891
     0.57749   -0.81525
     0.56301   -0.83036
     0.54848   -0.84520
     0.53386   -0.86068
     0.51918   -0.88090
     0.50451   -0.91067
     0.48997   -0.96802
     0.47569   -1.04152
     0.46167   -1.11077
     0.44782   -1.15184
     0.43396   -1.13838
     0.41997   -1.11058
     0.40578   -1.08843
     0.39145   -1.11232
     0.37708   -1.17867
     0.36277   -1.25808
     0.34854   -1.33553
     0.33439   -1.39221
     0.32027   -1.43856
     0.30616   -1.47695
     0.29202   -1.50296
     0.27782   -1.51902
     0.26354   -1.53263
     0.24918   -1.54864
     0.23476   -1.57338
     0.22030   -1.60563
     0.20584   -1.64669
     0.19139   -1.70286
     0.17699   -1.77515
     0.16264   -1.86209
     0.14838   -1.97069
     0.13421   -2.11279
     0.12018   -2.27335
     0.10643   -2.44390
     0.09312   -2.61010
     0.08024   -2.77609
     0.06717   -2.96907
     0.05348   -3.22457
     0.04168   -3.62752
     0.03249   -4.10831
     0.02402   -4.70519
     0.01451   -5.32550
     0.00914   -6.35952
     0.00606   -7.68151
     0.00396   -9.13323
     0.00245  -10.82099
     0.00135  -12.74363
     0.00059  -14.75236
     0.00014  -16.34411
    -0.00002  -16.51576
     0.00012  -13.86683
     0.00058   -9.85376
     0.00135   -6.41730
     0.00247   -3.87153
     0.00402   -2.08971
     0.00615   -0.85917
     0.00921   -0.00278
     0.01417    0.58119
     0.02232    0.91423
     0.03061    0.99543
     0.03965    0.99276
     0.05143    0.95659
     0.06585    0.90573
     0.07999    0.85887
     0.09373    0.81743
     0.10780    0.78143
     0.12221    0.75170
     0.13681    0.72708
     0.15150    0.70559
     0.16617    0.68421
     0.18076    0.66461
     0.19525    0.64787
     0.20962    0.63704
     0.22392    0.63054
     0.23816    0.62497
     0.25236    0.61659
     0.26655    0.60122
     0.28075    0.58390
     0.29499    0.56727
     0.30932    0.55688
     0.32381    0.55241
     0.33844    0.55090
     0.35312    0.55191
     0.36769    0.55482
     0.38205    0.55726
     0.39622    0.55733
     0.41032    0.55012
     0.42451    0.53781
     0.43890    0.52388
     0.45349    0.51144
     0.46821    0.50350
     0.48292    0.49770
     0.49765    0.49357
     0.51233    0.49152
     0.52692    0.49031
     0.54143    0.48874
     0.55589    0.48458
     0.57040    0.47724
     0.58498    0.46930
     0.59966    0.46225
     0.61438    0.45864
     0.62909    0.45674
     0.64375    0.45554
     0.65832    0.45453
     0.67282    0.45324
     0.68725    0.45119
     0.70164    0.44742
     0.71605    0.44066
     0.73050    0.43226
     0.74505    0.42275
     0.75967    0.41247
     0.77437    0.40176
     0.78910    0.39100
     0.80380    0.38103
     0.81841    0.37254
     0.83287    0.36466
     0.84718    0.35712
     0.86139    0.34972
     0.87558    0.34230
     0.88985    0.33465
     0.90438    0.32653
     0.91883    0.31799
     0.93301    0.30910
     0.94740    0.29952
     0.96121    0.28977
     0.97334    0.28118
     0.98383    0.27393
     0.99296    0.27410
     1.00000    0.27749
