#      x          Cp  
     1.00000    0.28257
     0.99224    0.10500
     0.98080    0.02057
     0.96776   -0.04635
     0.95420   -0.09837
     0.94041   -0.14213
     0.92654   -0.18074
     0.91261   -0.21496
     0.89863   -0.24672
     0.88462   -0.27660
     0.87059   -0.30475
     0.85654   -0.33139
     0.84247   -0.35654
     0.82837   -0.38054
     0.81424   -0.40378
     0.80010   -0.42650
     0.78593   -0.44912
     0.77176   -0.47192
     0.75758   -0.49439
     0.74340   -0.51621
     0.72920   -0.53761
     0.71499   -0.55890
     0.70077   -0.58022
     0.68654   -0.60164
     0.67230   -0.62341
     0.65805   -0.64548
     0.64381   -0.66779
     0.62956   -0.69038
     0.61531   -0.71318
     0.60106   -0.73600
     0.58680   -0.75892
     0.57253   -0.78241
     0.55826   -0.80721
     0.54400   -0.83295
     0.52975   -0.85900
     0.51551   -0.88496
     0.50126   -0.91138
     0.48701   -0.93893
     0.47277   -0.96785
     0.45854   -0.99769
     0.44433   -1.02858
     0.43013   -1.06023
     0.41596   -1.09223
     0.40181   -1.12419
     0.38767   -1.15625
     0.37354   -1.18849
     0.35944   -1.22083
     0.34536   -1.25283
     0.33130   -1.28364
     0.31725   -1.31364
     0.30321   -1.34300
     0.28916   -1.37171
     0.27511   -1.40113
     0.26107   -1.43294
     0.24705   -1.46703
     0.23305   -1.50226
     0.21905   -1.53892
     0.20505   -1.58057
     0.19107   -1.63138
     0.17715   -1.68934
     0.16330   -1.75440
     0.14951   -1.82844
     0.13581   -1.91703
     0.12224   -2.01988
     0.10883   -2.13942
     0.09563   -2.27672
     0.08267   -2.43727
     0.07002   -2.62418
     0.05776   -2.84684
     0.04606   -3.12745
     0.03527   -3.48697
     0.02594   -3.94725
     0.01840   -4.56949
     0.01280   -5.29414
     0.00881   -6.14425
     0.00587   -7.00803
     0.00363   -8.32981
     0.00200   -9.61341
     0.00092  -10.48614
     0.00027  -11.29885
     0.00001  -11.40790
     0.00012   -9.54359
     0.00062   -7.05107
     0.00158   -4.52264
     0.00308   -2.23296
     0.00518   -0.71747
     0.00786    0.10183
     0.01133    0.59066
     0.01597    0.85835
     0.02227    0.97669
     0.03048    0.99901
     0.04067    0.96874
     0.05238    0.91769
     0.06497    0.86462
     0.07812    0.81658
     0.09165    0.77504
     0.10540    0.73998
     0.11935    0.71045
     0.13345    0.68507
     0.14763    0.66334
     0.16189    0.64462
     0.17621    0.62834
     0.19060    0.61380
     0.20501    0.60085
     0.21946    0.58910
     0.23392    0.57853
     0.24839    0.56905
     0.26285    0.56054
     0.27731    0.55276
     0.29175    0.54560
     0.30620    0.53916
     0.32062    0.53354
     0.33501    0.52844
     0.34937    0.52342
     0.36374    0.51839
     0.37811    0.51364
     0.39247    0.50937
     0.40681    0.50531
     0.42113    0.50100
     0.43545    0.49626
     0.44979    0.49145
     0.46414    0.48682
     0.47849    0.48233
     0.49284    0.47784
     0.50718    0.47324
     0.52153    0.46859
     0.53588    0.46388
     0.55025    0.45910
     0.56462    0.45436
     0.57899    0.44983
     0.59336    0.44545
     0.60772    0.44102
     0.62208    0.43641
     0.63644    0.43169
     0.65081    0.42696
     0.66517    0.42225
     0.67954    0.41750
     0.69390    0.41270
     0.70825    0.40784
     0.72260    0.40287
     0.73695    0.39776
     0.75129    0.39247
     0.76562    0.38694
     0.77995    0.38112
     0.79428    0.37495
     0.80860    0.36835
     0.82293    0.36142
     0.83725    0.35424
     0.85156    0.34657
     0.86588    0.33798
     0.88020    0.32867
     0.89453    0.31890
     0.90887    0.30832
     0.92322    0.29645
     0.93760    0.28369
     0.95199    0.27018
     0.96624    0.25670
     0.97992    0.24626
     0.99193    0.24864
     1.00000    0.28257
