#      x          Cp  
     1.00000    0.17595
     0.99500    0.18158
     0.99000    0.14245
     0.98000    0.14203
     0.97000    0.13074
     0.96000    0.13458
     0.95000    0.08452
     0.92500    0.06941
     0.90000    0.02046
     0.87500   -0.01604
     0.85000   -0.06939
     0.82500   -0.11550
     0.80000   -0.14421
     0.77500   -0.18763
     0.75000   -0.22123
     0.72500   -0.25721
     0.70000   -0.28050
     0.65000   -0.35027
     0.60000   -0.40770
     0.55000   -0.46328
     0.50000   -0.52084
     0.45000   -0.58298
     0.40000   -0.65381
     0.35000   -0.73059
     0.30000   -0.83058
     0.25000   -0.94896
     0.20000   -1.12764
     0.17500   -1.24234
     0.15000   -1.38960
     0.12500   -1.56983
     0.10000   -1.83309
     0.09000   -1.96318
     0.08000   -2.12359
     0.07000   -2.30362
     0.06000   -2.54013
     0.05000   -2.81986
     0.04000   -3.21563
     0.03000   -3.76004
     0.02000   -4.60166
     0.01000   -6.16809
     0.00500   -7.72833
     0.00400   -7.96906
     0.00300   -8.10329
     0.00200   -8.17070
     0.00100   -7.77572
     0.00080   -7.37275
     0.00060   -7.34425
     0.00040   -6.73972
     0.00020   -6.07754
     0.00000   -3.56764
     0.00020   -3.51017
     0.00040   -3.68312
     0.00060   -3.19649
     0.00080   -2.89098
     0.00100   -2.64192
     0.00200   -1.53833
     0.00300   -0.76264
     0.00400   -0.29796
     0.00500    0.09297
     0.01000    0.80492
     0.02000    0.99860
     0.03000    0.97807
     0.04000    0.92870
     0.05000    0.87773
     0.06000    0.83009
     0.07000    0.78688
     0.08000    0.74840
     0.09000    0.71328
     0.10000    0.68127
     0.12500    0.61462
     0.15000    0.56009
     0.17500    0.51527
     0.20000    0.47472
     0.25000    0.41031
     0.30000    0.35647
     0.35000    0.31321
     0.40000    0.27825
     0.45000    0.25045
     0.50000    0.22962
     0.55000    0.21321
     0.60000    0.20128
     0.65000    0.19323
     0.70000    0.18981
     0.72500    0.18979
     0.75000    0.19005
     0.77500    0.18790
     0.80000    0.18739
     0.82500    0.17840
     0.85000    0.16879
     0.87500    0.16354
     0.90000    0.15764
     0.92500    0.15374
     0.95000    0.14930
     0.96000    0.14778
     0.97000    0.14556
     0.98000    0.14889
     0.99000    0.14763
     0.99500    0.15713
     1.00000    0.17595
