#      x          Cp  
     0.99998    0.20937
     0.99162    0.08730
     0.97884    0.03981
     0.96539    0.00776
     0.95165   -0.01922
     0.93791   -0.04394
     0.92417   -0.06595
     0.91042   -0.08626
     0.89668   -0.10596
     0.88293   -0.12486
     0.86919   -0.14311
     0.85545   -0.16106
     0.84171   -0.17853
     0.82797   -0.19553
     0.81423   -0.21218
     0.80049   -0.22909
     0.78675   -0.24553
     0.77301   -0.26168
     0.75927   -0.27800
     0.74553   -0.29436
     0.73178   -0.31067
     0.71804   -0.32691
     0.70429   -0.34434
     0.69055   -0.36107
     0.67680   -0.37810
     0.66306   -0.39601
     0.64932   -0.41376
     0.63558   -0.43182
     0.62184   -0.45043
     0.60810   -0.46932
     0.59436   -0.48829
     0.58062   -0.50819
     0.56688   -0.52825
     0.55315   -0.54899
     0.53942   -0.56968
     0.52568   -0.59159
     0.51196   -0.61397
     0.49823   -0.63587
     0.48450   -0.65942
     0.47077   -0.68397
     0.45706   -0.70846
     0.44333   -0.73353
     0.42962   -0.76069
     0.41591   -0.78764
     0.40220   -0.81585
     0.38850   -0.84509
     0.37480   -0.87612
     0.36111   -0.90692
     0.34742   -0.94019
     0.33374   -0.97519
     0.32007   -1.01153
     0.30641   -1.04846
     0.29275   -1.08900
     0.27912   -1.13121
     0.26549   -1.17462
     0.25187   -1.22250
     0.23828   -1.27262
     0.22470   -1.32581
     0.21115   -1.38430
     0.19763   -1.44647
     0.18413   -1.51471
     0.17069   -1.59035
     0.15729   -1.67104
     0.14394   -1.76380
     0.13068   -1.86461
     0.11748   -1.97921
     0.10441   -2.11124
     0.09147   -2.26186
     0.07871   -2.43911
     0.06617   -2.65189
     0.05395   -2.90971
     0.04215   -3.24393
     0.03106   -3.69753
     0.02117   -4.30860
     0.01330   -5.15699
     0.00792   -6.12960
     0.00454   -7.35065
     0.00241   -8.60656
     0.00106  -10.27252
     0.00026  -13.03644
    -0.00000  -14.57656
     0.00032  -10.77335
     0.00133   -5.06598
     0.00302   -1.89258
     0.00555   -0.33663
     0.00940    0.47803
     0.01545    0.86943
     0.02436    0.99407
     0.03535    0.98520
     0.04753    0.93398
     0.06026    0.87518
     0.07326    0.81996
     0.08645    0.77046
     0.09975    0.72676
     0.11315    0.68863
     0.12661    0.65497
     0.14013    0.62559
     0.15368    0.59952
     0.16727    0.57662
     0.18088    0.55637
     0.19453    0.53836
     0.20820    0.52209
     0.22188    0.50756
     0.23558    0.49456
     0.24930    0.48283
     0.26302    0.47206
     0.27676    0.46272
     0.29053    0.45387
     0.30429    0.44501
     0.31806    0.43747
     0.33183    0.43038
     0.34562    0.42394
     0.35941    0.41779
     0.37320    0.41239
     0.38700    0.40697
     0.40081    0.40233
     0.41462    0.39765
     0.42843    0.39352
     0.44223    0.38917
     0.45603    0.38544
     0.46983    0.38168
     0.48362    0.37818
     0.49740    0.37455
     0.51119    0.37129
     0.52497    0.36782
     0.53874    0.36485
     0.55251    0.36141
     0.56629    0.35825
     0.58006    0.35490
     0.59383    0.35193
     0.60759    0.34849
     0.62136    0.34527
     0.63512    0.34190
     0.64888    0.33851
     0.66264    0.33476
     0.67640    0.33152
     0.69015    0.32781
     0.70391    0.32367
     0.71767    0.32008
     0.73142    0.31602
     0.74519    0.31115
     0.75894    0.30769
     0.77269    0.30249
     0.78645    0.29775
     0.80020    0.29336
     0.81395    0.28774
     0.82771    0.28214
     0.84146    0.27656
     0.85521    0.27037
     0.86897    0.26394
     0.88272    0.25765
     0.89646    0.25042
     0.91022    0.24200
     0.92398    0.23359
     0.93774    0.22622
     0.95147    0.21591
     0.96523    0.20556
     0.97873    0.19490
     0.99159    0.18523
     1.00000    0.20937
