#      x          Cp  
     1.00009    0.19878
     0.99223    0.09501
     0.97991    0.05135
     0.96635    0.01648
     0.95233   -0.00482
     0.93823   -0.02722
     0.92408   -0.04525
     0.90993   -0.06320
     0.89578   -0.08002
     0.88165   -0.09547
     0.86752   -0.10983
     0.85340   -0.12336
     0.83927   -0.13557
     0.82515   -0.14743
     0.81103   -0.15777
     0.79690   -0.16699
     0.78277   -0.17506
     0.76864   -0.18185
     0.75452   -0.18671
     0.74041   -0.18715
     0.72636   -0.18487
     0.71283   -0.17108
     0.70095   -0.08124
     0.68902   -0.20152
     0.67557   -0.23715
     0.66164   -0.26973
     0.64758   -0.29890
     0.63351   -0.32543
     0.61944   -0.35116
     0.60537   -0.37602
     0.59131   -0.39999
     0.57724   -0.42354
     0.56318   -0.44768
     0.54912   -0.47173
     0.53506   -0.49599
     0.52101   -0.52044
     0.50695   -0.54537
     0.49290   -0.57114
     0.47885   -0.59678
     0.46480   -0.62364
     0.45076   -0.65139
     0.43672   -0.68013
     0.42268   -0.71082
     0.40866   -0.74489
     0.39469   -0.77876
     0.38072   -0.81147
     0.36676   -0.84487
     0.35281   -0.87952
     0.33886   -0.91506
     0.32493   -0.95322
     0.31102   -0.99188
     0.29711   -1.03192
     0.28323   -1.07468
     0.26938   -1.11882
     0.25554   -1.16510
     0.24173   -1.21373
     0.22796   -1.26542
     0.21422   -1.31962
     0.20051   -1.37801
     0.18686   -1.44071
     0.17326   -1.50837
     0.15973   -1.58202
     0.14628   -1.66183
     0.13292   -1.75102
     0.11968   -1.85009
     0.10658   -1.96242
     0.09367   -2.09207
     0.08100   -2.23974
     0.06864   -2.41392
     0.05670   -2.61883
     0.04532   -2.85974
     0.03473   -3.15283
     0.02532   -3.50553
     0.01757   -3.93040
     0.01177   -4.41059
     0.00771   -4.93095
     0.00491   -5.47710
     0.00297   -6.09021
     0.00164   -6.77235
     0.00078   -7.44250
     0.00032   -8.02279
     0.00026   -8.11612
     0.00067   -6.28297
     0.00170   -2.97730
     0.00332   -0.72906
     0.00552    0.22126
     0.00847    0.69364
     0.01258    0.91790
     0.01850    0.99646
     0.02690    0.98336
     0.03764    0.92549
     0.04983    0.85851
     0.06276    0.79726
     0.07607    0.74491
     0.08965    0.70060
     0.10337    0.66251
     0.11719    0.62973
     0.13108    0.60131
     0.14501    0.57666
     0.15899    0.55493
     0.17301    0.53588
     0.18705    0.51896
     0.20113    0.50456
     0.21527    0.49169
     0.22946    0.47900
     0.24365    0.46658
     0.25783    0.45484
     0.27202    0.44383
     0.28621    0.43341
     0.30041    0.42344
     0.31460    0.41393
     0.32879    0.40501
     0.34298    0.39629
     0.35717    0.38829
     0.37136    0.38024
     0.38555    0.37285
     0.39975    0.36560
     0.41395    0.35875
     0.42814    0.35196
     0.44234    0.34557
     0.45654    0.33927
     0.47073    0.33348
     0.48492    0.32747
     0.49912    0.32191
     0.51331    0.31642
     0.52751    0.31108
     0.54171    0.30603
     0.55590    0.30083
     0.57009    0.29609
     0.58428    0.29130
     0.59848    0.28648
     0.61267    0.28208
     0.62686    0.27756
     0.64105    0.27302
     0.65523    0.26901
     0.66942    0.26456
     0.68360    0.26062
     0.69779    0.25714
     0.71196    0.25262
     0.72614    0.24873
     0.74032    0.24443
     0.75451    0.24076
     0.76869    0.23714
     0.78288    0.23334
     0.79706    0.22991
     0.81124    0.22687
     0.82541    0.22465
     0.83954    0.22138
     0.85369    0.21781
     0.86781    0.21471
     0.88194    0.20949
     0.89608    0.20672
     0.91019    0.20188
     0.92430    0.19784
     0.93838    0.19280
     0.95245    0.18653
     0.96644    0.18145
     0.97996    0.17230
     0.99227    0.16286
     1.00015    0.19878
