#      x          Cp  
     1.00000    0.18465
     0.99213    0.07188
     0.97963    0.03041
     0.96616    0.00318
     0.95232   -0.02327
     0.93847   -0.04415
     0.92462   -0.06412
     0.91078   -0.08097
     0.89692   -0.09554
     0.88306   -0.11172
     0.86923   -0.12481
     0.85535   -0.13596
     0.84150   -0.15005
     0.82765   -0.16071
     0.81378   -0.17124
     0.79992   -0.18149
     0.78604   -0.19044
     0.77218   -0.19978
     0.75831   -0.20617
     0.74444   -0.21183
     0.73060   -0.21543
     0.71694   -0.21368
     0.70407   -0.16421
     0.69199   -0.21558
     0.67843   -0.25681
     0.66468   -0.28293
     0.65084   -0.30523
     0.63701   -0.32665
     0.62316   -0.34621
     0.60933   -0.36611
     0.59551   -0.38547
     0.58166   -0.40428
     0.56783   -0.42374
     0.55399   -0.44220
     0.54016   -0.46220
     0.52632   -0.48115
     0.51249   -0.50194
     0.49866   -0.52131
     0.48483   -0.54253
     0.47100   -0.56319
     0.45717   -0.58429
     0.44334   -0.60690
     0.42952   -0.62959
     0.41570   -0.65309
     0.40188   -0.67749
     0.38808   -0.70295
     0.37427   -0.72797
     0.36045   -0.75569
     0.34666   -0.78415
     0.33286   -0.81302
     0.31907   -0.84448
     0.30529   -0.87610
     0.29151   -0.91101
     0.27774   -0.94701
     0.26397   -0.98539
     0.25021   -1.02669
     0.23647   -1.07220
     0.22274   -1.12016
     0.20903   -1.17386
     0.19534   -1.23317
     0.18168   -1.29743
     0.16805   -1.37055
     0.15446   -1.45206
     0.14092   -1.54527
     0.12745   -1.65141
     0.11405   -1.77602
     0.10077   -1.92142
     0.08761   -2.09730
     0.07465   -2.31415
     0.06196   -2.59116
     0.04971   -2.95273
     0.03811   -3.42419
     0.02757   -4.06702
     0.01873   -4.90589
     0.01209   -5.91974
     0.00755   -7.09415
     0.00452   -8.40117
     0.00250   -9.91794
     0.00118  -11.10549
     0.00038  -12.29271
     0.00002  -13.43707
     0.00013  -12.58083
     0.00084   -7.72488
     0.00222   -2.96055
     0.00424   -0.73803
     0.00707    0.25313
     0.01121    0.75203
     0.01750    0.96037
     0.02672    0.99873
     0.03820    0.96018
     0.05080    0.90348
     0.06393    0.84857
     0.07730    0.79993
     0.09083    0.75786
     0.10448    0.72139
     0.11820    0.68937
     0.13197    0.66098
     0.14577    0.63556
     0.15960    0.61282
     0.17345    0.59210
     0.18731    0.57306
     0.20118    0.55598
     0.21508    0.53961
     0.22896    0.52485
     0.24286    0.51078
     0.25676    0.49791
     0.27068    0.48559
     0.28459    0.47402
     0.29850    0.46294
     0.31242    0.45273
     0.32633    0.44256
     0.34025    0.43314
     0.35417    0.42387
     0.36808    0.41526
     0.38200    0.40681
     0.39593    0.39871
     0.40985    0.39082
     0.42378    0.38330
     0.43770    0.37600
     0.45163    0.36888
     0.46556    0.36176
     0.47948    0.35523
     0.49340    0.34864
     0.50732    0.34207
     0.52125    0.33608
     0.53517    0.32989
     0.54906    0.32431
     0.56293    0.31812
     0.57681    0.31257
     0.59070    0.30701
     0.60461    0.30148
     0.61852    0.29658
     0.63244    0.29107
     0.64636    0.28603
     0.66028    0.28060
     0.67420    0.27558
     0.68811    0.27163
     0.70198    0.26599
     0.71585    0.26100
     0.72974    0.25579
     0.74365    0.25109
     0.75756    0.24599
     0.77148    0.24125
     0.78539    0.23625
     0.79930    0.23129
     0.81321    0.22623
     0.82712    0.22097
     0.84104    0.21588
     0.85494    0.21099
     0.86884    0.20479
     0.88277    0.19944
     0.89667    0.19451
     0.91057    0.18872
     0.92447    0.18235
     0.93838    0.17611
     0.95229    0.17082
     0.96612    0.16878
     0.97955    0.16020
     0.99212    0.15339
     1.00000    0.18465
