#      x          Cp  
     1.00000    0.32702
     0.99194    0.14937
     0.97982    0.05348
     0.96671   -0.02053
     0.95335   -0.07852
     0.93997   -0.12678
     0.92655   -0.16829
     0.91308   -0.20466
     0.89959   -0.23709
     0.88607   -0.26634
     0.87252   -0.29297
     0.85894   -0.31748
     0.84534   -0.34022
     0.83172   -0.36143
     0.81807   -0.38142
     0.80441   -0.40036
     0.79073   -0.41837
     0.77703   -0.43564
     0.76331   -0.45229
     0.74959   -0.46834
     0.73585   -0.48396
     0.72210   -0.49924
     0.70834   -0.51418
     0.69457   -0.52886
     0.68079   -0.54340
     0.66700   -0.55778
     0.65320   -0.57206
     0.63940   -0.58631
     0.62559   -0.60058
     0.61178   -0.61486
     0.59796   -0.62922
     0.58414   -0.64371
     0.57032   -0.65836
     0.55649   -0.67317
     0.54265   -0.68823
     0.52882   -0.70357
     0.51498   -0.71921
     0.50114   -0.73518
     0.48730   -0.75159
     0.47346   -0.76845
     0.45962   -0.78580
     0.44578   -0.80369
     0.43194   -0.82221
     0.41810   -0.84142
     0.40426   -0.86134
     0.39043   -0.88212
     0.37660   -0.90386
     0.36277   -0.92659
     0.34894   -0.95044
     0.33512   -0.97562
     0.32130   -1.00219
     0.30749   -1.03029
     0.29369   -1.06024
     0.27989   -1.09223
     0.26611   -1.12641
     0.25234   -1.16324
     0.23857   -1.20315
     0.22483   -1.24636
     0.21110   -1.29366
     0.19739   -1.34584
     0.18371   -1.40332
     0.17006   -1.46773
     0.15644   -1.54034
     0.14286   -1.62249
     0.12934   -1.71813
     0.11588   -1.82890
     0.10251   -1.96112
     0.08926   -2.12055
     0.07616   -2.32051
     0.06323   -2.57771
     0.05070   -2.91513
     0.03884   -3.37020
     0.02774   -4.08586
     0.01859   -5.02803
     0.01217   -6.12670
     0.00760   -7.79221
     0.00437   -9.69135
     0.00230  -10.80106
     0.00099  -12.55585
     0.00024  -14.65333
    -0.00004  -16.10581
     0.00013  -13.47820
     0.00078   -8.08394
     0.00197   -4.20371
     0.00388   -1.79015
     0.00692   -0.21772
     0.01185    0.66255
     0.01879    0.92482
     0.02808    0.99792
     0.03965    0.98370
     0.05244    0.93948
     0.06564    0.88971
     0.07898    0.84258
     0.09246    0.80009
     0.10607    0.76183
     0.11976    0.72726
     0.13349    0.69626
     0.14724    0.66825
     0.16101    0.64290
     0.17482    0.61976
     0.18864    0.59849
     0.20248    0.57895
     0.21633    0.56088
     0.23019    0.54411
     0.24406    0.52852
     0.25794    0.51396
     0.27182    0.50031
     0.28571    0.48751
     0.29961    0.47547
     0.31351    0.46411
     0.32741    0.45337
     0.34132    0.44321
     0.35523    0.43359
     0.36914    0.42444
     0.38306    0.41574
     0.39697    0.40747
     0.41089    0.39959
     0.42481    0.39206
     0.43873    0.38488
     0.45266    0.37803
     0.46658    0.37148
     0.48051    0.36521
     0.49444    0.35923
     0.50837    0.35350
     0.52230    0.34802
     0.53623    0.34279
     0.55016    0.33779
     0.56409    0.33301
     0.57803    0.32845
     0.59196    0.32410
     0.60590    0.31996
     0.61984    0.31603
     0.63378    0.31231
     0.64772    0.30879
     0.66166    0.30547
     0.67560    0.30237
     0.68954    0.29948
     0.70349    0.29679
     0.71744    0.29433
     0.73139    0.29211
     0.74534    0.29011
     0.75930    0.28836
     0.77326    0.28690
     0.78721    0.28572
     0.80116    0.28482
     0.81511    0.28429
     0.82905    0.28413
     0.84298    0.28432
     0.85690    0.28502
     0.87081    0.28621
     0.88470    0.28789
     0.89857    0.29034
     0.91242    0.29334
     0.92621    0.29730
     0.93994    0.30203
     0.95359    0.30773
     0.96708    0.31427
     0.98010    0.32027
     0.99198    0.33224
     1.00000    0.32702
