#      x          Cp  
     1.00000    0.33780
     0.99409    0.06538
     0.98595   -0.05965
     0.97627   -0.18560
     0.96477   -0.21442
     0.95203   -0.27853
     0.93869   -0.30207
     0.92454   -0.33368
     0.91041   -0.37292
     0.89596   -0.38398
     0.88134   -0.43113
     0.86685   -0.46011
     0.85210   -0.47928
     0.83731   -0.52680
     0.82268   -0.56287
     0.80783   -0.58296
     0.79281   -0.62270
     0.77798   -0.66882
     0.76315   -0.69769
     0.74809   -0.72985
     0.73307   -0.78274
     0.71828   -0.83365
     0.70349   -0.87020
     0.68856   -0.91070
     0.67369   -0.96496
     0.65899   -1.01577
     0.64426   -1.05159
     0.62935   -1.08912
     0.61449   -1.14409
     0.59984   -1.19917
     0.58522   -1.23286
     0.57040   -1.25849
     0.55545   -1.30111
     0.54067   -1.35437
     0.52603   -1.39232
     0.51124   -1.41307
     0.49625   -1.44347
     0.48134   -1.49509
     0.46664   -1.54190
     0.45191   -1.56436
     0.43696   -1.58541
     0.42197   -1.63275
     0.40723   -1.68762
     0.39258   -1.71698
     0.37771   -1.73188
     0.36268   -1.77506
     0.34792   -1.84391
     0.33342   -1.89147
     0.31879   -1.91016
     0.30397   -1.94854
     0.28937   -2.02164
     0.27508   -2.07627
     0.26072   -2.09166
     0.24614   -2.12443
     0.23178   -2.19834
     0.21773   -2.24874
     0.20354   -2.25654
     0.18918   -2.30854
     0.17525   -2.40987
     0.16163   -2.45149
     0.14777   -2.46751
     0.13406   -2.57985
     0.12095   -2.67818
     0.10788   -2.69270
     0.09481   -2.80123
     0.08239   -2.94237
     0.07032   -2.99727
     0.05851   -3.11436
     0.04738   -3.26336
     0.03710   -3.51161
     0.02864   -4.03545
     0.02190   -4.27774
     0.01641   -4.49005
     0.01214   -4.97608
     0.00888   -5.36422
     0.00636   -5.62109
     0.00435   -6.02491
     0.00276   -6.93413
     0.00155   -7.84638
     0.00070   -8.59192
     0.00018   -9.19294
    -0.00003   -9.39539
     0.00009   -8.76036
     0.00057   -7.46800
     0.00149   -5.33568
     0.00289   -2.81562
     0.00471   -1.25698
     0.00687   -0.41197
     0.00943    0.17453
     0.01250    0.58234
     0.01631    0.82411
     0.02113    0.94226
     0.02729    0.99201
     0.03530    0.99840
     0.04575    0.97739
     0.05822    0.94262
     0.07221    0.90493
     0.08705    0.86883
     0.10230    0.83645
     0.11768    0.80624
     0.13297    0.78036
     0.14833    0.75801
     0.16371    0.73559
     0.17905    0.71636
     0.19446    0.70013
     0.20991    0.68346
     0.22528    0.66845
     0.24064    0.65688
     0.25603    0.64504
     0.27139    0.63187
     0.28673    0.62139
     0.30211    0.61368
     0.31753    0.60480
     0.33290    0.59508
     0.34821    0.58840
     0.36358    0.58436
     0.37902    0.57943
     0.39448    0.57359
     0.40991    0.56959
     0.42533    0.56758
     0.44077    0.56518
     0.45625    0.56193
     0.47174    0.56007
     0.48718    0.56038
     0.50254    0.56082
     0.51790    0.56032
     0.53327    0.56013
     0.54858    0.56115
     0.56378    0.56200
     0.57896    0.56099
     0.59423    0.55955
     0.60951    0.55987
     0.62468    0.56083
     0.63979    0.56011
     0.65496    0.55837
     0.67017    0.55781
     0.68531    0.55806
     0.70039    0.55716
     0.71551    0.55541
     0.73066    0.55474
     0.74574    0.55480
     0.76076    0.55399
     0.77578    0.55283
     0.79076    0.55272
     0.80564    0.55257
     0.82045    0.55125
     0.83521    0.54964
     0.84990    0.54781
     0.86452    0.54458
     0.87909    0.54087
     0.89358    0.53745
     0.90794    0.53279
     0.92212    0.52828
     0.93601    0.52337
     0.94946    0.51537
     0.96234    0.50350
     0.97429    0.48080
     0.98498    0.43145
     0.99380    0.42449
     1.00000    0.33780
