#      x          Cp  
     1.00000    0.94098
     0.99893   -0.38001
     0.99572    0.25944
     0.99039    0.17462
     0.98296    0.20049
     0.97347    0.16792
     0.96194    0.13906
     0.94844    0.11110
     0.93301    0.07887
     0.91573    0.04307
     0.89668    0.00452
     0.87592   -0.02548
     0.85355   -0.03904
     0.82967   -0.05533
     0.80438   -0.10012
     0.77779   -0.18738
     0.75000   -0.31627
     0.72114   -0.47482
     0.69134   -0.65920
     0.66072   -0.85021
     0.62941   -1.02560
     0.59755   -1.16019
     0.56526   -1.25532
     0.53270   -1.32759
     0.50000   -1.38699
     0.46730   -1.44070
     0.43474   -1.49400
     0.40245   -1.54700
     0.37059   -1.59775
     0.33928   -1.65452
     0.30866   -1.70400
     0.27886   -1.75561
     0.25000   -1.80724
     0.22221   -1.86356
     0.19562   -1.91829
     0.17033   -1.98172
     0.14645   -2.03608
     0.12408   -2.10756
     0.10332   -2.18770
     0.08427   -2.28507
     0.06699   -2.40729
     0.05156   -2.56814
     0.03806   -2.77465
     0.02653   -3.08027
     0.01704   -3.44816
     0.00961   -4.17580
     0.00428   -5.20932
     0.00107   -6.34880
     0.00000   -6.92279
     0.00107   -3.86668
     0.00428   -0.54523
     0.00961    0.57139
     0.01704    0.91276
     0.02653    0.99816
     0.03806    0.98141
     0.05156    0.92849
     0.06699    0.86501
     0.08427    0.80222
     0.10332    0.74449
     0.12408    0.69297
     0.14645    0.64803
     0.17033    0.60706
     0.19562    0.56970
     0.22221    0.53653
     0.25000    0.50621
     0.27886    0.47888
     0.30866    0.45351
     0.33928    0.42972
     0.37059    0.40762
     0.40245    0.38677
     0.43474    0.36811
     0.46730    0.35017
     0.50000    0.33496
     0.53270    0.31940
     0.56526    0.30527
     0.59755    0.29168
     0.62941    0.27965
     0.66072    0.26766
     0.69134    0.25635
     0.72114    0.24815
     0.75000    0.24668
     0.77779    0.25443
     0.80438    0.27749
     0.82967    0.30827
     0.85355    0.33553
     0.87592    0.35436
     0.89668    0.36230
     0.91573    0.36846
     0.93301    0.37001
     0.94844    0.36826
     0.96194    0.36141
     0.97347    0.34595
     0.98296    0.33661
     0.99039    0.26890
     0.99572    0.29945
     0.99893   -0.52772
     1.00000    0.94098
