#      x          Cp  
     1.00000    0.41135
     0.99239    0.12422
     0.98136    0.10668
     0.96828    0.07605
     0.95417    0.04764
     0.93980    0.01736
     0.92538   -0.01575
     0.91090   -0.04913
     0.89643   -0.08094
     0.88197   -0.11533
     0.86748   -0.15066
     0.85297   -0.18696
     0.83845   -0.22567
     0.82389   -0.26469
     0.80932   -0.30345
     0.79477   -0.34536
     0.78024   -0.39031
     0.76575   -0.43702
     0.75129   -0.48571
     0.73687   -0.53698
     0.72249   -0.59022
     0.70816   -0.64496
     0.69387   -0.70049
     0.67961   -0.75539
     0.66536   -0.81027
     0.65112   -0.86669
     0.63694   -0.92339
     0.62278   -0.97651
     0.60861   -1.02530
     0.59442   -1.07233
     0.58022   -1.11824
     0.56603   -1.16124
     0.55181   -1.19877
     0.53755   -1.23341
     0.52325   -1.26785
     0.50894   -1.30193
     0.49462   -1.33353
     0.48029   -1.36227
     0.46593   -1.38923
     0.45154   -1.41475
     0.43713   -1.43959
     0.42271   -1.46442
     0.40826   -1.48969
     0.39382   -1.51636
     0.37937   -1.54453
     0.36494   -1.57363
     0.35052   -1.60376
     0.33611   -1.63616
     0.32174   -1.67197
     0.30743   -1.70823
     0.29315   -1.74318
     0.27891   -1.77870
     0.26472   -1.81658
     0.25060   -1.85503
     0.23654   -1.89242
     0.22255   -1.92898
     0.20861   -1.96426
     0.19473   -2.00087
     0.18094   -2.04209
     0.16726   -2.08376
     0.15367   -2.12412
     0.14018   -2.17066
     0.12685   -2.22466
     0.11369   -2.28099
     0.10071   -2.34184
     0.08793   -2.41175
     0.07542   -2.49994
     0.06328   -2.62082
     0.05175   -2.78222
     0.04108   -2.96608
     0.03154   -3.16235
     0.02347   -3.35325
     0.01705   -3.57512
     0.01215   -3.92635
     0.00853   -4.37386
     0.00584   -4.92569
     0.00376   -5.73456
     0.00217   -6.94915
     0.00104   -7.92501
     0.00035   -8.69384
     0.00003   -8.98398
     0.00007   -7.76868
     0.00048   -5.75950
     0.00130   -3.89382
     0.00256   -2.24554
     0.00428   -1.01429
     0.00648   -0.23174
     0.00928    0.30579
     0.01290    0.65661
     0.01760    0.86687
     0.02375    0.97038
     0.03189    0.99993
     0.04219    0.98393
     0.05422    0.94521
     0.06739    0.89899
     0.08114    0.85247
     0.09521    0.80906
     0.10951    0.76900
     0.12390    0.73192
     0.13836    0.69856
     0.15291    0.66821
     0.16751    0.64040
     0.18217    0.61515
     0.19690    0.59184
     0.21165    0.56971
     0.22641    0.54925
     0.24121    0.53060
     0.25606    0.51281
     0.27092    0.49553
     0.28579    0.47907
     0.30067    0.46336
     0.31556    0.44802
     0.33045    0.43292
     0.34533    0.41811
     0.36020    0.40360
     0.37505    0.38972
     0.38989    0.37659
     0.40474    0.36383
     0.41958    0.35122
     0.43441    0.33898
     0.44923    0.32729
     0.46406    0.31583
     0.47887    0.30401
     0.49366    0.29213
     0.50841    0.28076
     0.52314    0.26983
     0.53785    0.25852
     0.55250    0.24664
     0.56707    0.23531
     0.58154    0.22501
     0.59592    0.21685
     0.61021    0.21235
     0.62445    0.21153
     0.63867    0.21569
     0.65290    0.22432
     0.66720    0.23675
     0.68158    0.25249
     0.69607    0.27023
     0.71070    0.28926
     0.72544    0.30820
     0.74020    0.32607
     0.75489    0.34279
     0.76951    0.35814
     0.78408    0.37258
     0.79857    0.38603
     0.81300    0.39784
     0.82739    0.40816
     0.84174    0.41755
     0.85605    0.42569
     0.87032    0.43230
     0.88457    0.43800
     0.89877    0.44273
     0.91292    0.44621
     0.92701    0.44869
     0.94098    0.45121
     0.95474    0.45166
     0.96817    0.44859
     0.98090    0.44009
     0.99208    0.45991
     1.00000    0.41135
