#      x          Cp  
     1.00000    0.33042
     0.99331    0.29891
     0.98459    0.23797
     0.97400    0.22054
     0.96139    0.18269
     0.94739    0.14661
     0.93258    0.11679
     0.91743    0.08620
     0.90208    0.05529
     0.88663    0.02427
     0.87109   -0.00680
     0.85551   -0.03735
     0.83993   -0.06674
     0.82439   -0.09683
     0.80888   -0.12932
     0.79335   -0.16541
     0.77777   -0.20473
     0.76210   -0.24615
     0.74638   -0.28966
     0.73062   -0.33515
     0.71482   -0.38367
     0.69902   -0.43588
     0.68323   -0.49267
     0.66752   -0.55436
     0.65195   -0.62169
     0.63653   -0.69411
     0.62131   -0.77024
     0.60628   -0.84847
     0.59141   -0.92465
     0.57666   -0.99687
     0.56197   -1.06535
     0.54732   -1.12870
     0.53267   -1.18789
     0.51802   -1.24215
     0.50336   -1.29201
     0.48864   -1.33598
     0.47386   -1.37586
     0.45901   -1.41555
     0.44416   -1.45473
     0.42929   -1.48954
     0.41437   -1.51909
     0.39937   -1.54863
     0.38434   -1.58081
     0.36930   -1.61386
     0.35428   -1.64790
     0.33927   -1.68236
     0.32430   -1.71716
     0.30936   -1.75202
     0.29445   -1.78707
     0.27958   -1.82313
     0.26477   -1.86183
     0.25004   -1.90193
     0.23540   -1.94280
     0.22087   -1.98448
     0.20645   -2.02725
     0.19215   -2.07019
     0.17798   -2.11286
     0.16394   -2.15822
     0.15007   -2.20691
     0.13640   -2.25606
     0.12293   -2.30993
     0.10971   -2.37535
     0.09690   -2.46615
     0.08468   -2.57580
     0.07312   -2.67691
     0.06227   -2.77407
     0.05224   -2.86472
     0.04312   -2.93552
     0.03502   -3.02271
     0.02808   -3.13758
     0.02229   -3.26986
     0.01753   -3.40912
     0.01366   -3.59047
     0.01053   -3.73055
     0.00803   -3.77117
     0.00602   -3.74416
     0.00441   -3.68263
     0.00310   -3.59389
     0.00205   -3.52104
     0.00122   -3.51649
     0.00059   -3.77462
     0.00018   -4.06149
     0.00000   -4.15281
     0.00009   -4.12243
     0.00052   -4.02762
     0.00145   -2.74600
     0.00297   -0.82929
     0.00492    0.08767
     0.00715    0.50283
     0.00972    0.73834
     0.01269    0.86435
     0.01618    0.94063
     0.02030    0.98383
     0.02530    0.99959
     0.03151    0.99397
     0.03922    0.97153
     0.04867    0.93645
     0.05998    0.89344
     0.07289    0.84722
     0.08686    0.80166
     0.10152    0.75982
     0.11668    0.72211
     0.13216    0.68726
     0.14776    0.65479
     0.16343    0.62565
     0.17918    0.59979
     0.19508    0.57658
     0.21108    0.55446
     0.22712    0.53348
     0.24318    0.51354
     0.25925    0.49490
     0.27533    0.47736
     0.29143    0.46034
     0.30750    0.44411
     0.32356    0.42922
     0.33963    0.41546
     0.35574    0.40282
     0.37190    0.39073
     0.38809    0.37864
     0.40428    0.36682
     0.42048    0.35532
     0.43669    0.34379
     0.45289    0.33185
     0.46904    0.32006
     0.48515    0.30877
     0.50124    0.29806
     0.51734    0.28820
     0.53345    0.27848
     0.54956    0.26822
     0.56564    0.25764
     0.58166    0.24661
     0.59760    0.23557
     0.61347    0.22479
     0.62926    0.21446
     0.64495    0.20463
     0.66053    0.19592
     0.67602    0.18901
     0.69143    0.18361
     0.70671    0.17929
     0.72185    0.17762
     0.73685    0.18004
     0.75175    0.18789
     0.76662    0.20303
     0.78157    0.22630
     0.79685    0.25876
     0.81242    0.29347
     0.82787    0.32670
     0.84294    0.35653
     0.85761    0.38090
     0.87195    0.39855
     0.88612    0.40836
     0.90024    0.41183
     0.91438    0.41019
     0.92856    0.40229
     0.94281    0.39022
     0.95679    0.38369
     0.97001    0.36830
     0.98216    0.33164
     0.99255    0.33438
     1.00000    0.33042
