#      x          Cp  
     1.00000    0.41428
     0.99123    0.16884
     0.97997    0.07212
     0.96742    0.02805
     0.95347    0.00547
     0.93826   -0.01443
     0.92207   -0.03402
     0.90525   -0.05514
     0.88813   -0.07629
     0.87093   -0.09732
     0.85372   -0.12135
     0.83648   -0.14833
     0.81923   -0.17634
     0.80197   -0.20595
     0.78469   -0.23938
     0.76735   -0.27453
     0.74998   -0.31161
     0.73254   -0.35251
     0.71502   -0.39504
     0.69747   -0.43812
     0.67992   -0.48431
     0.66239   -0.53392
     0.64490   -0.58681
     0.62749   -0.64287
     0.61014   -0.70211
     0.59288   -0.76668
     0.57574   -0.83816
     0.55877   -0.91526
     0.54199   -0.99781
     0.52540   -1.08565
     0.50904   -1.17815
     0.49289   -1.27280
     0.47695   -1.36780
     0.46118   -1.46076
     0.44556   -1.54976
     0.43006   -1.63545
     0.41465   -1.71668
     0.39933   -1.79252
     0.38406   -1.86140
     0.36884   -1.92438
     0.35365   -1.98099
     0.33849   -2.03234
     0.32334   -2.07864
     0.30822   -2.11994
     0.29313   -2.15588
     0.27806   -2.18774
     0.26302   -2.21651
     0.24803   -2.24217
     0.23309   -2.26504
     0.21821   -2.28608
     0.20342   -2.30664
     0.18874   -2.33221
     0.17425   -2.36330
     0.16000   -2.39243
     0.14600   -2.42206
     0.13233   -2.45773
     0.11909   -2.49618
     0.10635   -2.53652
     0.09423   -2.57964
     0.08284   -2.62438
     0.07228   -2.67079
     0.06267   -2.72582
     0.05405   -2.78723
     0.04641   -2.84133
     0.03971   -2.89357
     0.03386   -2.96306
     0.02877   -3.03744
     0.02434   -3.10984
     0.02049   -3.17950
     0.01713   -3.24493
     0.01419   -3.31615
     0.01161   -3.38628
     0.00936   -3.46492
     0.00739   -3.57046
     0.00568   -3.67181
     0.00420   -3.77714
     0.00293   -3.92066
     0.00189   -4.02527
     0.00107   -4.05075
     0.00049   -3.99499
     0.00014   -3.84662
     0.00000   -3.56753
     0.00009   -3.07593
     0.00040   -2.50057
     0.00094   -1.91359
     0.00174   -1.33207
     0.00280   -0.80042
     0.00411   -0.34988
     0.00566    0.01345
     0.00746    0.30468
     0.00955    0.53248
     0.01192    0.70399
     0.01460    0.82824
     0.01762    0.91263
     0.02101    0.96494
     0.02483    0.99229
     0.02912    0.99999
     0.03396    0.99243
     0.03945    0.97307
     0.04568    0.94472
     0.05277    0.90983
     0.06086    0.87026
     0.07006    0.82799
     0.08044    0.78456
     0.09203    0.74109
     0.10475    0.69900
     0.11849    0.65998
     0.13308    0.62409
     0.14837    0.59138
     0.16419    0.56193
     0.18042    0.53528
     0.19695    0.51119
     0.21372    0.48958
     0.23067    0.47008
     0.24778    0.45222
     0.26499    0.43517
     0.28226    0.41936
     0.29957    0.40519
     0.31694    0.39206
     0.33434    0.37977
     0.35176    0.36822
     0.36918    0.35761
     0.38661    0.34842
     0.40407    0.34004
     0.42154    0.33182
     0.43900    0.32451
     0.45645    0.31850
     0.47393    0.31328
     0.49142    0.30870
     0.50891    0.30484
     0.52641    0.30172
     0.54391    0.29961
     0.56144    0.29842
     0.57898    0.29786
     0.59655    0.29803
     0.61413    0.29917
     0.63175    0.30117
     0.64941    0.30402
     0.66710    0.30767
     0.68484    0.31210
     0.70261    0.31742
     0.72042    0.32371
     0.73822    0.33126
     0.75599    0.33917
     0.77369    0.34714
     0.79127    0.35629
     0.80868    0.36601
     0.82591    0.37560
     0.84295    0.38450
     0.85978    0.39348
     0.87636    0.40294
     0.89261    0.41214
     0.90846    0.42048
     0.92387    0.42696
     0.93874    0.43250
     0.95297    0.43169
     0.96653    0.42616
     0.97919    0.41153
     0.99085    0.40996
     1.00000    0.41428
