#      x          Cp  
     1.00000   -5.39278
     0.99995    0.66280
     0.99928   -2.38522
     0.99694   -0.78993
     0.99379    0.75276
     0.99187    0.00121
     0.98984   -0.38526
     0.98745   -0.19528
     0.98500   -0.28879
     0.98245   -0.45064
     0.97971   -0.54150
     0.97676   -0.61652
     0.97362   -0.73381
     0.97025   -0.87168
     0.96660   -0.98928
     0.96263   -1.07523
     0.95829   -1.11301
     0.95355   -1.07906
     0.94835   -1.00275
     0.94267   -0.89588
     0.93644   -0.77513
     0.92960   -0.68601
     0.92211   -0.66544
     0.91385   -0.66563
     0.90470   -0.66533
     0.89449   -0.67180
     0.88309   -0.68874
     0.87036   -0.71101
     0.85615   -0.73876
     0.84040   -0.77857
     0.82312   -0.82142
     0.80436   -0.87010
     0.78433   -0.92877
     0.76325   -0.98807
     0.74134   -1.05294
     0.71884   -1.11960
     0.69591   -1.18805
     0.67272   -1.26045
     0.64940   -1.33581
     0.62605   -1.41284
     0.60275   -1.49270
     0.57960   -1.57662
     0.55666   -1.66175
     0.53398   -1.75074
     0.51165   -1.84655
     0.48973   -1.94250
     0.46822   -2.03699
     0.44712   -2.13040
     0.42644   -2.22224
     0.40619   -2.31257
     0.38638   -2.39955
     0.36701   -2.48125
     0.34806   -2.55745
     0.32953   -2.62784
     0.31144   -2.69183
     0.29378   -2.74882
     0.27656   -2.79818
     0.25977   -2.83836
     0.24344   -2.86931
     0.22755   -2.89129
     0.21213   -2.90472
     0.19719   -2.91065
     0.18275   -2.91086
     0.16884   -2.90395
     0.15547   -2.89015
     0.14265   -2.86738
     0.13041   -2.83321
     0.11873   -2.78614
     0.10762   -2.71944
     0.09707   -2.63671
     0.08706   -2.54910
     0.07760   -2.45949
     0.06871   -2.37383
     0.06040   -2.28806
     0.05268   -2.19622
     0.04554   -2.09607
     0.03898   -1.98738
     0.03299   -1.86634
     0.02757   -1.73145
     0.02269   -1.58452
     0.01835   -1.42570
     0.01453   -1.25309
     0.01121   -1.07445
     0.00840   -0.89132
     0.00607   -0.69994
     0.00420   -0.50115
     0.00275   -0.31023
     0.00166   -0.13043
     0.00083    0.00796
     0.00025    0.11280
     0.00000    0.21952
     0.00014    0.33545
     0.00067    0.45159
     0.00162    0.56181
     0.00298    0.66289
     0.00478    0.75207
     0.00707    0.83271
     0.00982    0.89681
     0.01306    0.94593
     0.01679    0.97895
     0.02100    0.99639
     0.02569    0.99950
     0.03088    0.98960
     0.03657    0.96821
     0.04276    0.93681
     0.04946    0.89679
     0.05669    0.84955
     0.06445    0.79661
     0.07277    0.73928
     0.08165    0.67851
     0.09110    0.61566
     0.10116    0.55205
     0.11184    0.48885
     0.12315    0.42714
     0.13514    0.36795
     0.14783    0.31229
     0.16124    0.26030
     0.17541    0.21118
     0.19034    0.16600
     0.20605    0.12546
     0.22258    0.08931
     0.23994    0.05700
     0.25813    0.02932
     0.27718    0.00627
     0.29711   -0.01297
     0.31792   -0.02899
     0.33958   -0.04261
     0.36206   -0.05404
     0.38532   -0.06402
     0.40928   -0.07316
     0.43386   -0.08156
     0.45897   -0.09093
     0.48452   -0.09763
     0.51052   -0.10221
     0.53690   -0.10876
     0.56360   -0.11258
     0.59063   -0.11641
     0.61793   -0.11989
     0.64545   -0.12455
     0.67311   -0.12882
     0.70084   -0.13411
     0.72848   -0.14097
     0.75584   -0.14907
     0.78264   -0.16070
     0.80844   -0.17812
     0.83281   -0.19884
     0.85532   -0.22955
     0.87567   -0.26757
     0.89376   -0.32448
     0.90966   -0.38863
     0.92363   -0.48537
     0.93601   -0.66912
     0.94692   -1.04656
     0.95655   -1.40523
     0.96525   -1.54159
     0.97327   -1.32615
     0.98088   -1.05534
     0.98825   -0.86161
     0.99558   -0.47437
     1.00000   -5.39278
