#      x          Cp  
     1.00000    0.40911
     0.99200    0.32855
     0.98099    0.27344
     0.96818    0.21137
     0.95406    0.17032
     0.93946    0.14147
     0.92458    0.10418
     0.90957    0.07356
     0.89458    0.03891
     0.87952    0.00484
     0.86450   -0.02979
     0.84945   -0.06995
     0.83434   -0.11134
     0.81920   -0.15630
     0.80398   -0.20649
     0.78865   -0.26030
     0.77330   -0.31536
     0.75801   -0.37453
     0.74283   -0.43508
     0.72773   -0.49808
     0.71274   -0.56288
     0.69783   -0.62784
     0.68300   -0.69506
     0.66826   -0.76187
     0.65360   -0.82780
     0.63899   -0.89115
     0.62441   -0.94924
     0.60983   -1.00481
     0.59524   -1.05437
     0.58061   -1.09878
     0.56592   -1.14132
     0.55121   -1.18317
     0.53647   -1.21868
     0.52166   -1.24937
     0.50677   -1.28056
     0.49187   -1.31413
     0.47692   -1.33881
     0.46191   -1.36869
     0.44690   -1.39789
     0.43185   -1.42325
     0.41679   -1.45559
     0.40172   -1.48140
     0.38663   -1.51456
     0.37160   -1.55038
     0.35658   -1.58041
     0.34159   -1.61841
     0.32665   -1.65201
     0.31174   -1.69063
     0.29694   -1.73217
     0.28218   -1.76346
     0.26746   -1.80159
     0.25283   -1.84105
     0.23828   -1.87643
     0.22378   -1.91069
     0.20938   -1.95587
     0.19512   -1.99206
     0.18093   -2.03344
     0.16691   -2.08261
     0.15307   -2.12756
     0.13940   -2.17666
     0.12595   -2.22988
     0.11277   -2.28647
     0.09990   -2.34448
     0.08736   -2.40009
     0.07522   -2.46604
     0.06365   -2.54976
     0.05287   -2.65155
     0.04310   -2.76303
     0.03454   -2.88807
     0.02731   -3.02698
     0.02140   -3.18773
     0.01665   -3.34762
     0.01285   -3.50777
     0.00979   -3.68602
     0.00733   -3.88798
     0.00533   -4.10242
     0.00371   -4.33243
     0.00241   -4.64578
     0.00140   -4.97663
     0.00066   -5.30334
     0.00019   -5.47754
     0.00000   -5.39918
     0.00010   -4.89773
     0.00054   -3.87048
     0.00134   -2.66338
     0.00254   -1.47205
     0.00409   -0.57235
     0.00602    0.05836
     0.00833    0.45737
     0.01108    0.70784
     0.01436    0.85903
     0.01832    0.94677
     0.02317    0.98971
     0.02920    0.99974
     0.03674    0.98489
     0.04605    0.95193
     0.05711    0.90776
     0.06963    0.85937
     0.08322    0.81123
     0.09746    0.76626
     0.11214    0.72550
     0.12711    0.68796
     0.14224    0.65432
     0.15753    0.62415
     0.17295    0.59639
     0.18843    0.57041
     0.20397    0.54695
     0.21956    0.52466
     0.23517    0.50430
     0.25083    0.48574
     0.26653    0.46799
     0.28225    0.45142
     0.29800    0.43551
     0.31376    0.42027
     0.32951    0.40602
     0.34529    0.39284
     0.36108    0.37979
     0.37688    0.36781
     0.39270    0.35595
     0.40850    0.34403
     0.42429    0.33315
     0.44011    0.32371
     0.45595    0.31303
     0.47175    0.30238
     0.48754    0.29337
     0.50337    0.28523
     0.51919    0.27449
     0.53495    0.26640
     0.55076    0.25817
     0.56653    0.24889
     0.58229    0.24168
     0.59804    0.23280
     0.61375    0.22480
     0.62944    0.21778
     0.64514    0.21023
     0.66076    0.20144
     0.67633    0.19492
     0.69187    0.18741
     0.70731    0.17941
     0.72263    0.17228
     0.73780    0.16549
     0.75278    0.15860
     0.76746    0.15234
     0.78182    0.15433
     0.79605    0.17293
     0.81048    0.20926
     0.82536    0.25276
     0.84055    0.29521
     0.85558    0.33181
     0.87030    0.36230
     0.88473    0.38778
     0.89888    0.40883
     0.91275    0.42467
     0.92638    0.43384
     0.93983    0.43444
     0.95327    0.41900
     0.96684    0.39204
     0.98005    0.36683
     0.99174    0.36057
     1.00000    0.40911
