#      x          Cp  
     1.00000    0.29327
     0.99270    0.26295
     0.98217    0.25242
     0.96996    0.23919
     0.95688    0.22088
     0.94333    0.19492
     0.92934    0.16107
     0.91496    0.12465
     0.90031    0.08636
     0.88547    0.04578
     0.87045    0.00353
     0.85529   -0.03922
     0.84004   -0.07861
     0.82476   -0.11476
     0.80949   -0.14970
     0.79428   -0.18436
     0.77913   -0.21912
     0.76406   -0.25302
     0.74905   -0.28524
     0.73406   -0.31447
     0.71908   -0.34177
     0.70407   -0.36750
     0.68904   -0.39148
     0.67397   -0.41409
     0.65887   -0.43584
     0.64375   -0.45724
     0.62861   -0.47851
     0.61347   -0.49934
     0.59832   -0.51954
     0.58314   -0.53886
     0.56794   -0.55786
     0.55270   -0.57696
     0.53746   -0.59685
     0.52220   -0.61726
     0.50695   -0.63789
     0.49170   -0.65846
     0.47643   -0.67906
     0.46115   -0.70010
     0.44586   -0.72204
     0.43057   -0.74518
     0.41530   -0.76898
     0.40003   -0.79303
     0.38476   -0.81655
     0.36946   -0.84073
     0.35412   -0.86648
     0.33875   -0.89489
     0.32336   -0.92643
     0.30795   -0.96149
     0.29255   -1.00160
     0.27720   -1.04745
     0.26190   -1.09888
     0.24662   -1.15716
     0.23133   -1.22429
     0.21604   -1.30208
     0.20088   -1.39535
     0.18605   -1.51678
     0.17170   -1.65218
     0.15781   -1.79197
     0.14428   -1.92562
     0.13097   -2.05087
     0.11791   -2.18689
     0.10525   -2.33056
     0.09298   -2.46094
     0.08106   -2.57930
     0.06950   -2.69640
     0.05845   -2.83283
     0.04815   -2.98739
     0.03876   -3.15041
     0.03056   -3.36009
     0.02373   -3.56871
     0.01820   -3.77224
     0.01379   -4.01058
     0.01030   -4.29602
     0.00752   -4.55692
     0.00532   -4.87891
     0.00360   -5.05349
     0.00226   -5.26253
     0.00127   -5.34806
     0.00061   -4.97094
     0.00019   -4.69038
     0.00001   -4.52526
     0.00007   -3.34070
     0.00024   -3.68239
     0.00073   -2.87896
     0.00162   -1.15230
     0.00263   -0.92864
     0.00400   -0.17825
     0.00566    0.22304
     0.00769    0.55446
     0.01015    0.77249
     0.01312    0.90465
     0.01674    0.97634
     0.02120    0.99971
     0.02679    0.98888
     0.03391    0.95493
     0.04302    0.90787
     0.05432    0.85525
     0.06736    0.80110
     0.08147    0.75047
     0.09605    0.70246
     0.11073    0.66086
     0.12563    0.62452
     0.14072    0.59059
     0.15584    0.55918
     0.17095    0.53002
     0.18604    0.50316
     0.20113    0.47868
     0.21625    0.45686
     0.23142    0.43701
     0.24665    0.41869
     0.26193    0.40132
     0.27723    0.38487
     0.29255    0.36942
     0.30787    0.35487
     0.32319    0.34116
     0.33853    0.32827
     0.35387    0.31619
     0.36924    0.30488
     0.38463    0.29416
     0.40004    0.28382
     0.41545    0.27351
     0.43085    0.26354
     0.44623    0.25408
     0.46160    0.24541
     0.47697    0.23743
     0.49235    0.22998
     0.50775    0.22306
     0.52316    0.21658
     0.53858    0.21047
     0.55402    0.20457
     0.56946    0.19880
     0.58489    0.19329
     0.60032    0.18813
     0.61576    0.18346
     0.63122    0.17910
     0.64668    0.17492
     0.66216    0.17074
     0.67766    0.16658
     0.69315    0.16243
     0.70864    0.15809
     0.72411    0.15364
     0.73956    0.14935
     0.75499    0.14551
     0.77043    0.14226
     0.78587    0.13926
     0.80132    0.13630
     0.81676    0.13309
     0.83217    0.12999
     0.84756    0.12716
     0.86293    0.12467
     0.87828    0.12271
     0.89359    0.12147
     0.90882    0.12036
     0.92390    0.12075
     0.93884    0.12578
     0.95359    0.13609
     0.96796    0.15279
     0.98135    0.18061
     0.99259    0.21261
     1.00000    0.29327
