#      x          Cp  
     1.00000    0.33788
     0.99164    0.21559
     0.98053    0.17741
     0.96787    0.14073
     0.95393    0.10746
     0.93885    0.07317
     0.92275    0.03772
     0.90588    0.00096
     0.88847   -0.03676
     0.87069   -0.07557
     0.85268   -0.11633
     0.83457   -0.15586
     0.81638   -0.19201
     0.79818   -0.23116
     0.78011   -0.27327
     0.76227   -0.31630
     0.74461   -0.35511
     0.72693   -0.38687
     0.70923   -0.42472
     0.69171   -0.46767
     0.67437   -0.50642
     0.65712   -0.54222
     0.63990   -0.57578
     0.62269   -0.60756
     0.60546   -0.63855
     0.58829   -0.67492
     0.57129   -0.71174
     0.55430   -0.73522
     0.53717   -0.75688
     0.51999   -0.78733
     0.50291   -0.81892
     0.48594   -0.84846
     0.46896   -0.86867
     0.45182   -0.88411
     0.43461   -0.90977
     0.41748   -0.93637
     0.40033   -0.95483
     0.38309   -0.97423
     0.36581   -0.99705
     0.34850   -1.01714
     0.33110   -1.03681
     0.31364   -1.06269
     0.29621   -1.09113
     0.27876   -1.11967
     0.26131   -1.15261
     0.24390   -1.19034
     0.22651   -1.22769
     0.20912   -1.27059
     0.19185   -1.32812
     0.17486   -1.39770
     0.15829   -1.47977
     0.14232   -1.57780
     0.12716   -1.69319
     0.11302   -1.82909
     0.10009   -1.98324
     0.08842   -2.14772
     0.07797   -2.32359
     0.06868   -2.51002
     0.06045   -2.71563
     0.05316   -2.96717
     0.04671   -3.23200
     0.04097   -3.49433
     0.03586   -3.75354
     0.03129   -4.01642
     0.02716   -4.32469
     0.02345   -4.65621
     0.02011   -4.97371
     0.01709   -5.26511
     0.01437   -5.52341
     0.01192   -5.75171
     0.00971   -5.99756
     0.00774   -6.21144
     0.00600   -6.33271
     0.00450   -6.31032
     0.00323   -6.14672
     0.00219   -5.80162
     0.00138   -5.34906
     0.00076   -4.86244
     0.00034   -4.36231
     0.00008   -3.85919
     0.00000   -3.35493
     0.00008   -2.84661
     0.00033   -2.34902
     0.00076   -1.86712
     0.00137   -1.40222
     0.00220   -0.95662
     0.00326   -0.52405
     0.00455   -0.12290
     0.00609    0.20909
     0.00785    0.47023
     0.00984    0.66602
     0.01206    0.80518
     0.01452    0.89894
     0.01724    0.95785
     0.02025    0.98932
     0.02358    0.99986
     0.02728    0.99515
     0.03138    0.97977
     0.03593    0.95656
     0.04099    0.92772
     0.04665    0.89524
     0.05299    0.86096
     0.06011    0.82614
     0.06815    0.79026
     0.07727    0.75427
     0.08765    0.71896
     0.09940    0.68339
     0.11249    0.64847
     0.12681    0.61533
     0.14222    0.58424
     0.15855    0.55475
     0.17555    0.52666
     0.19299    0.50014
     0.21075    0.47500
     0.22868    0.45085
     0.24670    0.42798
     0.26479    0.40626
     0.28287    0.38449
     0.30087    0.36367
     0.31886    0.34575
     0.33688    0.32736
     0.35478    0.30769
     0.37255    0.29077
     0.39029    0.27583
     0.40803    0.26119
     0.42571    0.24710
     0.44332    0.23378
     0.46090    0.22306
     0.47851    0.21435
     0.49619    0.20596
     0.51387    0.19671
     0.53139    0.18588
     0.54884    0.18107
     0.56648    0.18117
     0.58421    0.17527
     0.60180    0.16921
     0.61936    0.16960
     0.63706    0.17125
     0.65488    0.17275
     0.67277    0.17515
     0.69073    0.17874
     0.70885    0.18410
     0.72707    0.18761
     0.74521    0.18927
     0.76332    0.19728
     0.78157    0.20745
     0.79996    0.21408
     0.81833    0.22116
     0.83654    0.22910
     0.85460    0.23557
     0.87247    0.24278
     0.88995    0.25257
     0.90693    0.25977
     0.92344    0.26381
     0.93929    0.26849
     0.95417    0.27335
     0.96795    0.27695
     0.98051    0.28093
     0.99160    0.28892
     1.00000    0.33788
