#      x          Cp  
     1.00000    0.48652
     0.99294    0.27766
     0.98424    0.19262
     0.97485    0.12441
     0.96469    0.06612
     0.95367    0.01221
     0.94174   -0.03925
     0.92889   -0.08940
     0.91521   -0.13869
     0.90093   -0.18740
     0.88636   -0.23461
     0.87177   -0.27942
     0.85730   -0.32131
     0.84296   -0.35936
     0.82868   -0.39294
     0.81436   -0.42430
     0.79995   -0.45454
     0.78543   -0.48468
     0.77082   -0.51709
     0.75617   -0.55193
     0.74153   -0.58745
     0.72691   -0.62315
     0.71235   -0.65854
     0.69782   -0.69308
     0.68333   -0.72662
     0.66886   -0.75896
     0.65439   -0.78970
     0.63990   -0.81754
     0.62535   -0.84087
     0.61073   -0.86237
     0.59604   -0.88347
     0.58128   -0.90544
     0.56650   -0.93171
     0.55172   -0.96266
     0.53700   -0.99502
     0.52232   -1.02766
     0.50770   -1.05927
     0.49311   -1.08718
     0.47852   -1.11271
     0.46391   -1.13719
     0.44928   -1.16116
     0.43462   -1.18522
     0.41994   -1.21008
     0.40525   -1.23547
     0.39057   -1.26143
     0.37589   -1.28814
     0.36123   -1.31621
     0.34659   -1.34583
     0.33196   -1.37662
     0.31735   -1.40862
     0.30278   -1.44203
     0.28823   -1.47754
     0.27371   -1.51490
     0.25924   -1.55380
     0.24481   -1.59427
     0.23043   -1.63655
     0.21612   -1.68111
     0.20188   -1.72807
     0.18770   -1.77794
     0.17359   -1.83166
     0.15955   -1.89186
     0.14555   -1.96015
     0.13162   -2.03630
     0.11782   -2.12279
     0.10423   -2.22614
     0.09096   -2.36799
     0.07814   -2.53259
     0.06593   -2.70686
     0.05441   -2.88792
     0.04366   -3.08664
     0.03380   -3.32060
     0.02530   -3.58683
     0.01840   -3.90866
     0.01291   -4.47065
     0.00861   -5.49031
     0.00554   -6.35436
     0.00343   -6.93223
     0.00196   -7.51145
     0.00095   -8.28802
     0.00032   -8.83508
     0.00003   -8.85405
     0.00006   -7.73631
     0.00041   -6.00918
     0.00108   -4.40633
     0.00211   -3.01657
     0.00356   -1.76306
     0.00556   -0.59787
     0.00833    0.25444
     0.01224    0.73630
     0.01797    0.93611
     0.02776    0.99897
     0.04086    0.98256
     0.05435    0.94492
     0.06583    0.91164
     0.07651    0.88223
     0.08727    0.85488
     0.09873    0.82829
     0.11147    0.80145
     0.12586    0.77336
     0.14050    0.74598
     0.15484    0.71967
     0.16950    0.69219
     0.18421    0.66243
     0.19829    0.62752
     0.21198    0.58802
     0.22549    0.54602
     0.23896    0.50290
     0.25248    0.46167
     0.26611    0.42991
     0.27989    0.40530
     0.29382    0.38553
     0.30791    0.36978
     0.32214    0.35699
     0.33649    0.34622
     0.35096    0.33761
     0.36551    0.33086
     0.38014    0.32557
     0.39484    0.32088
     0.40959    0.31662
     0.42438    0.31310
     0.43922    0.31024
     0.45408    0.30786
     0.46897    0.30561
     0.48387    0.30367
     0.49878    0.30218
     0.51371    0.30117
     0.52865    0.30069
     0.54360    0.30079
     0.55857    0.30133
     0.57356    0.30222
     0.58858    0.30338
     0.60363    0.30461
     0.61870    0.30589
     0.63380    0.30745
     0.64891    0.30940
     0.66401    0.31190
     0.67907    0.31554
     0.69406    0.31977
     0.70898    0.32395
     0.72385    0.32770
     0.73872    0.33025
     0.75364    0.33032
     0.76866    0.32963
     0.78378    0.32936
     0.79891    0.33045
     0.81394    0.33568
     0.82870    0.34582
     0.84315    0.35643
     0.85733    0.36583
     0.87141    0.37266
     0.88562    0.37278
     0.90026    0.36587
     0.91532    0.35615
     0.93020    0.34588
     0.94520    0.33742
     0.95930    0.33529
     0.97183    0.33913
     0.98282    0.35013
     0.99249    0.37635
     1.00000    0.48652
