#      x          Cp  
     1.00000    0.27802
     0.99173    0.15100
     0.98064    0.09665
     0.96763    0.04657
     0.95293    0.00134
     0.93712   -0.04332
     0.92074   -0.08700
     0.90418   -0.12858
     0.88759   -0.16642
     0.87095   -0.20149
     0.85423   -0.23499
     0.83744   -0.26737
     0.82063   -0.29882
     0.80382   -0.32945
     0.78701   -0.35928
     0.77018   -0.38856
     0.75335   -0.41750
     0.73650   -0.44630
     0.71964   -0.47507
     0.70278   -0.50392
     0.68591   -0.53305
     0.66905   -0.56252
     0.65218   -0.59244
     0.63533   -0.62309
     0.61849   -0.65437
     0.60168   -0.68619
     0.58488   -0.71861
     0.56811   -0.75162
     0.55136   -0.78521
     0.53464   -0.81953
     0.51795   -0.85442
     0.50129   -0.88979
     0.48466   -0.92543
     0.46805   -0.96158
     0.45147   -0.99848
     0.43491   -1.03640
     0.41838   -1.07533
     0.40189   -1.11525
     0.38544   -1.15653
     0.36904   -1.19879
     0.35269   -1.24166
     0.33638   -1.28420
     0.32008   -1.32748
     0.30379   -1.37271
     0.28749   -1.42095
     0.27121   -1.47335
     0.25498   -1.53144
     0.23884   -1.59970
     0.22287   -1.67752
     0.20713   -1.76319
     0.19164   -1.85914
     0.17644   -1.96594
     0.16159   -2.08252
     0.14719   -2.21491
     0.13335   -2.36977
     0.12017   -2.53188
     0.10771   -2.69518
     0.09603   -2.85928
     0.08514   -3.02391
     0.07508   -3.18229
     0.06586   -3.34410
     0.05751   -3.50706
     0.05000   -3.65282
     0.04329   -3.77859
     0.03729   -3.89468
     0.03195   -4.00087
     0.02723   -4.08302
     0.02308   -4.14157
     0.01944   -4.19058
     0.01628   -4.24790
     0.01353   -4.28017
     0.01115   -4.27432
     0.00908   -4.20531
     0.00728   -4.07760
     0.00572   -3.93055
     0.00436   -3.78605
     0.00318   -3.67322
     0.00218   -3.67037
     0.00134   -3.70274
     0.00069   -3.70861
     0.00023   -3.65912
    -0.00004   -3.52575
    -0.00012   -3.28405
     0.00001   -2.90939
     0.00036   -2.40912
     0.00094   -1.87991
     0.00178   -1.34372
     0.00290   -0.79325
     0.00434   -0.21013
     0.00610    0.25830
     0.00815    0.57657
     0.01047    0.77097
     0.01301    0.88369
     0.01581    0.95103
     0.01890    0.98666
     0.02232    0.99954
     0.02616    0.99603
     0.03047    0.98065
     0.03536    0.95702
     0.04095    0.92786
     0.04736    0.89423
     0.05472    0.85799
     0.06315    0.82131
     0.07272    0.78579
     0.08356    0.75194
     0.09581    0.72128
     0.10953    0.69390
     0.12457    0.67037
     0.14061    0.65123
     0.15726    0.63460
     0.17421    0.61904
     0.19124    0.60528
     0.20823    0.59286
     0.22516    0.58135
     0.24204    0.57040
     0.25890    0.55913
     0.27581    0.54731
     0.29281    0.53547
     0.30991    0.52384
     0.32709    0.51251
     0.34435    0.50150
     0.36165    0.49107
     0.37897    0.48116
     0.39632    0.47161
     0.41368    0.46239
     0.43106    0.45344
     0.44844    0.44474
     0.46584    0.43626
     0.48325    0.42797
     0.50066    0.41985
     0.51808    0.41187
     0.53551    0.40402
     0.55294    0.39627
     0.57039    0.38859
     0.58784    0.38099
     0.60529    0.37346
     0.62275    0.36600
     0.64022    0.35853
     0.65769    0.35096
     0.67518    0.34325
     0.69269    0.33549
     0.71022    0.32767
     0.72778    0.31982
     0.74537    0.31198
     0.76295    0.30416
     0.78053    0.29646
     0.79808    0.28905
     0.81561    0.28219
     0.83313    0.27577
     0.85063    0.26973
     0.86806    0.26408
     0.88538    0.25908
     0.90257    0.25530
     0.91963    0.25338
     0.93637    0.25254
     0.95239    0.25272
     0.96722    0.25431
     0.98035    0.25755
     0.99159    0.26610
     1.00000    0.27802
