#      x          Cp  
     1.00000    0.41484
     0.99237    0.06513
     0.98237    0.03201
     0.97085   -0.03888
     0.95830   -0.09448
     0.94460   -0.10696
     0.92966   -0.11135
     0.91379   -0.11861
     0.89725   -0.12419
     0.88026   -0.13451
     0.86315   -0.14600
     0.84611   -0.15653
     0.82918   -0.16981
     0.81232   -0.18582
     0.79555   -0.20201
     0.77891   -0.21981
     0.76238   -0.24280
     0.74589   -0.27109
     0.72938   -0.30484
     0.71284   -0.34441
     0.69623   -0.39004
     0.67954   -0.44277
     0.66285   -0.50633
     0.64639   -0.58431
     0.63026   -0.66455
     0.61445   -0.73664
     0.59885   -0.80166
     0.58332   -0.85475
     0.56772   -0.89826
     0.55203   -0.93927
     0.53631   -0.97964
     0.52057   -1.01523
     0.50475   -1.04253
     0.48877   -1.06672
     0.47265   -1.09319
     0.45645   -1.12138
     0.44023   -1.15019
     0.42397   -1.17972
     0.40769   -1.20998
     0.39138   -1.24126
     0.37507   -1.27411
     0.35876   -1.30942
     0.34248   -1.34651
     0.32622   -1.38510
     0.30999   -1.42614
     0.29382   -1.47176
     0.27772   -1.52111
     0.26174   -1.57343
     0.24586   -1.62850
     0.23010   -1.68609
     0.21446   -1.74676
     0.19895   -1.81183
     0.18359   -1.88275
     0.16843   -1.96297
     0.15355   -2.05368
     0.13902   -2.15872
     0.12496   -2.27854
     0.11149   -2.41394
     0.09870   -2.54894
     0.08661   -2.68037
     0.07530   -2.80933
     0.06486   -2.94784
     0.05546   -3.11662
     0.04715   -3.27844
     0.03986   -3.42258
     0.03353   -3.57890
     0.02808   -3.77028
     0.02341   -3.95079
     0.01939   -4.12196
     0.01593   -4.27621
     0.01296   -4.42057
     0.01040   -4.57663
     0.00821   -4.70551
     0.00633   -4.80072
     0.00473   -4.87869
     0.00338   -4.92572
     0.00228   -4.93349
     0.00141   -4.92690
     0.00075   -4.87927
     0.00030   -4.75801
     0.00003   -4.59520
    -0.00005   -4.51736
     0.00011   -4.37404
     0.00059   -3.90303
     0.00148   -2.61049
     0.00278   -1.32461
     0.00445   -0.44214
     0.00640    0.07361
     0.00861    0.39845
     0.01110    0.62362
     0.01392    0.77450
     0.01713    0.87254
     0.02082    0.93753
     0.02508    0.97737
     0.03007    0.99676
     0.03595    0.99900
     0.04293    0.98666
     0.05119    0.96169
     0.06083    0.92619
     0.07184    0.88285
     0.08407    0.83481
     0.09727    0.78496
     0.11119    0.73523
     0.12559    0.68756
     0.14039    0.64308
     0.15551    0.60150
     0.17089    0.56271
     0.18648    0.52666
     0.20225    0.49302
     0.21815    0.46106
     0.23414    0.43096
     0.25020    0.40306
     0.26634    0.37695
     0.28254    0.35198
     0.29877    0.32832
     0.31503    0.30613
     0.33132    0.28525
     0.34762    0.26533
     0.36392    0.24643
     0.38023    0.22893
     0.39655    0.21264
     0.41288    0.19614
     0.42912    0.17881
     0.44522    0.16265
     0.46121    0.14882
     0.47710    0.13699
     0.49293    0.12712
     0.50869    0.11938
     0.52433    0.11338
     0.53980    0.10982
     0.55516    0.11187
     0.57057    0.12252
     0.58617    0.13758
     0.60195    0.15427
     0.61785    0.17308
     0.63392    0.19686
     0.65030    0.22469
     0.66697    0.25146
     0.68365    0.27435
     0.70011    0.29366
     0.71642    0.30822
     0.73269    0.31987
     0.74897    0.32910
     0.76528    0.33654
     0.78162    0.34292
     0.79800    0.34857
     0.81438    0.35410
     0.83071    0.35968
     0.84700    0.36423
     0.86328    0.36756
     0.87954    0.37081
     0.89572    0.37389
     0.91181    0.37532
     0.92776    0.37526
     0.94332    0.37683
     0.95801    0.39611
     0.97108    0.43832
     0.98228    0.46946
     0.99219    0.50394
     1.00000    0.41484
