#      x          Cp  
     1.00000    0.41460
     0.99102    0.27806
     0.97940    0.22491
     0.96631    0.18320
     0.95195    0.14784
     0.93670    0.11276
     0.92078    0.07402
     0.90430    0.03331
     0.88742   -0.00902
     0.87029   -0.05320
     0.85303   -0.09702
     0.83576   -0.13868
     0.81855   -0.17951
     0.80141   -0.21757
     0.78428   -0.25046
     0.76711   -0.28085
     0.74989   -0.30953
     0.73259   -0.33690
     0.71523   -0.36474
     0.69782   -0.39412
     0.68042   -0.42541
     0.66306   -0.45948
     0.64577   -0.49368
     0.62849   -0.52186
     0.61112   -0.54805
     0.59366   -0.57400
     0.57611   -0.60163
     0.55850   -0.63396
     0.54094   -0.67682
     0.52354   -0.72332
     0.50629   -0.77250
     0.48922   -0.82246
     0.47226   -0.86578
     0.45532   -0.90450
     0.43831   -0.93928
     0.42119   -0.97187
     0.40394   -1.00578
     0.38658   -1.04675
     0.36918   -1.09554
     0.35178   -1.15243
     0.33445   -1.21913
     0.31727   -1.29853
     0.30032   -1.38803
     0.28365   -1.48996
     0.26732   -1.60282
     0.25136   -1.72561
     0.23583   -1.85961
     0.22075   -1.99880
     0.20613   -2.14110
     0.19195   -2.28345
     0.17820   -2.42226
     0.16488   -2.55431
     0.15198   -2.67516
     0.13949   -2.78250
     0.12742   -2.87583
     0.11580   -2.95372
     0.10464   -3.01686
     0.09398   -3.06595
     0.08389   -3.10254
     0.07445   -3.13173
     0.06571   -3.15015
     0.05766   -3.15985
     0.05028   -3.16295
     0.04359   -3.15427
     0.03761   -3.13444
     0.03233   -3.10760
     0.02771   -3.07714
     0.02364   -3.04953
     0.02004   -3.02471
     0.01686   -2.99380
     0.01405   -2.95719
     0.01160   -2.91718
     0.00945   -2.88066
     0.00757   -2.86622
     0.00594   -2.85178
     0.00453   -2.82927
     0.00333   -2.80897
     0.00231   -2.77437
     0.00149   -2.71736
     0.00084   -2.65518
     0.00037   -2.61200
     0.00008   -2.51188
    -0.00000   -2.30609
     0.00012   -1.93685
     0.00045   -1.51370
     0.00098   -1.09139
     0.00174   -0.68828
     0.00273   -0.31418
     0.00399    0.02523
     0.00555    0.33353
     0.00742    0.58536
     0.00961    0.76552
     0.01209    0.88228
     0.01485    0.95032
     0.01793    0.98605
     0.02137    0.99946
     0.02525    0.99594
     0.02965    0.97942
     0.03464    0.95348
     0.04032    0.92152
     0.04676    0.88666
     0.05405    0.85000
     0.06227    0.81063
     0.07157    0.77034
     0.08204    0.73054
     0.09373    0.69235
     0.10665    0.65606
     0.12072    0.62273
     0.13577    0.59202
     0.15162    0.56320
     0.16806    0.53667
     0.18496    0.51215
     0.20218    0.48922
     0.21960    0.46715
     0.23712    0.44513
     0.25464    0.42355
     0.27212    0.40250
     0.28954    0.38232
     0.30686    0.36322
     0.32411    0.34585
     0.34133    0.33098
     0.35857    0.31858
     0.37586    0.30820
     0.39325    0.29939
     0.41075    0.29134
     0.42833    0.28346
     0.44597    0.27549
     0.46364    0.26695
     0.48128    0.25756
     0.49888    0.24924
     0.51646    0.24210
     0.53405    0.23558
     0.55161    0.22887
     0.56914    0.22167
     0.58660    0.21585
     0.60405    0.21271
     0.62157    0.21197
     0.63917    0.21125
     0.65684    0.21159
     0.67463    0.21320
     0.69251    0.21394
     0.71041    0.21317
     0.72828    0.20978
     0.74612    0.20495
     0.76387    0.19994
     0.78148    0.19488
     0.79895    0.19119
     0.81630    0.19051
     0.83359    0.19305
     0.85088    0.19894
     0.86817    0.20738
     0.88544    0.21858
     0.90263    0.23328
     0.91957    0.24991
     0.93595    0.26757
     0.95148    0.28684
     0.96597    0.30734
     0.97917    0.32575
     0.99092    0.34717
     1.00000    0.41460
