#      x          Cp  
     1.00000    0.52802
     0.99304    0.09472
     0.98415    0.16749
     0.97387    0.14464
     0.96195    0.11069
     0.94829    0.08662
     0.93301    0.04754
     0.91628    0.02359
     0.89840   -0.01257
     0.87960   -0.03878
     0.86017   -0.06143
     0.84044   -0.08616
     0.82056   -0.11267
     0.80058   -0.13955
     0.78060   -0.16506
     0.76072   -0.18977
     0.74092   -0.22079
     0.72098   -0.25819
     0.70103   -0.28923
     0.68122   -0.32677
     0.66141   -0.37067
     0.64166   -0.40343
     0.62209   -0.44484
     0.60259   -0.50236
     0.58307   -0.54664
     0.56358   -0.59088
     0.54421   -0.65989
     0.52493   -0.72279
     0.50557   -0.77247
     0.48625   -0.84997
     0.46717   -0.94322
     0.44818   -1.02223
     0.42921   -1.11255
     0.41062   -1.22646
     0.39246   -1.33295
     0.37447   -1.43513
     0.35682   -1.56721
     0.33976   -1.71032
     0.32309   -1.83311
     0.30673   -1.97129
     0.29103   -2.15826
     0.27608   -2.33481
     0.26156   -2.46806
     0.24740   -2.61786
     0.23388   -2.81693
     0.22097   -2.96743
     0.20825   -2.99042
     0.19545   -2.99868
     0.18287   -3.09133
     0.17071   -3.15153
     0.15859   -3.04128
     0.14620   -2.94339
     0.13415   -3.06579
     0.12288   -3.13385
     0.11189   -2.94133
     0.10090   -2.85169
     0.09066   -3.03544
     0.08144   -3.04733
     0.07272   -2.79304
     0.06434   -2.72707
     0.05674   -2.92821
     0.05005   -2.97019
     0.04400   -2.73696
     0.03839   -2.54012
     0.03322   -2.53256
     0.02858   -2.59139
     0.02446   -2.66027
     0.02080   -2.72407
     0.01756   -2.77236
     0.01470   -2.80529
     0.01217   -2.81429
     0.00995   -2.79206
     0.00802   -2.73116
     0.00634   -2.64501
     0.00489   -2.54256
     0.00364   -2.42818
     0.00259   -2.30372
     0.00171   -2.17259
     0.00099   -2.05121
     0.00041   -1.96051
     0.00000   -1.86188
    -0.00024   -1.73950
    -0.00030   -1.58589
    -0.00016   -1.39357
     0.00020   -1.24112
     0.00087   -1.04300
     0.00200   -0.48688
     0.00360    0.07558
     0.00558    0.51660
     0.00790    0.78477
     0.01046    0.90631
     0.01321    0.96076
     0.01615    0.98837
     0.01932    0.99917
     0.02275    0.99823
     0.02648    0.98865
     0.03057    0.97309
     0.03506    0.95380
     0.04002    0.93188
     0.04552    0.90737
     0.05162    0.88123
     0.05841    0.85459
     0.06594    0.82659
     0.07413    0.79048
     0.08282    0.75161
     0.09199    0.73395
     0.10178    0.72747
     0.11221    0.69656
     0.12317    0.65429
     0.13471    0.64240
     0.14699    0.63825
     0.15992    0.60386
     0.17339    0.57156
     0.18750    0.57021
     0.20234    0.55741
     0.21774    0.52278
     0.23367    0.50936
     0.25024    0.50660
     0.26737    0.48179
     0.28489    0.46105
     0.30288    0.45723
     0.32132    0.44188
     0.33999    0.42118
     0.35891    0.41447
     0.37809    0.40442
     0.39735    0.38574
     0.41664    0.37739
     0.43606    0.37201
     0.45552    0.35559
     0.47492    0.34418
     0.49439    0.34184
     0.51391    0.32970
     0.53337    0.31477
     0.55286    0.31217
     0.57244    0.30577
     0.59199    0.29047
     0.61150    0.28525
     0.63107    0.28224
     0.65056    0.26663
     0.66996    0.25875
     0.68945    0.25937
     0.70898    0.24588
     0.72847    0.23550
     0.74812    0.23471
     0.76783    0.22376
     0.78728    0.21232
     0.80650    0.20711
     0.82570    0.20968
     0.84489    0.21094
     0.86387    0.21443
     0.88264    0.22569
     0.90113    0.24182
     0.91888    0.25494
     0.93534    0.27226
     0.95013    0.29669
     0.96314    0.31339
     0.97450    0.34060
     0.98432    0.34674
     0.99298    0.27835
     1.00000    0.52802
