#      x          Cp  
     1.00000    0.59590
     0.98908    0.40830
     0.97544    0.33870
     0.96056    0.28624
     0.94441    0.24144
     0.92706    0.19897
     0.90872    0.15744
     0.88959    0.11628
     0.86983    0.07493
     0.84959    0.03270
     0.82902   -0.01077
     0.80823   -0.05581
     0.78726   -0.10282
     0.76614   -0.15217
     0.74489   -0.20414
     0.72357   -0.25901
     0.70227   -0.31723
     0.68111   -0.38001
     0.66019   -0.44622
     0.63956   -0.51482
     0.61925   -0.58524
     0.59924   -0.65682
     0.57950   -0.72871
     0.56000   -0.80131
     0.54070   -0.87488
     0.52158   -0.94929
     0.50265   -1.02465
     0.48388   -1.10113
     0.46529   -1.17836
     0.44688   -1.25598
     0.42867   -1.33364
     0.41067   -1.41119
     0.39290   -1.48916
     0.37538   -1.56744
     0.35813   -1.64427
     0.34115   -1.71855
     0.32442   -1.78911
     0.30791   -1.85491
     0.29161   -1.91193
     0.27549   -1.96022
     0.25955   -2.00400
     0.24385   -2.04755
     0.22846   -2.09203
     0.21342   -2.13118
     0.19876   -2.15974
     0.18446   -2.17003
     0.17052   -2.17444
     0.15701   -2.17972
     0.14402   -2.19952
     0.13168   -2.23462
     0.12007   -2.27141
     0.10925   -2.30682
     0.09924   -2.33896
     0.09001   -2.36739
     0.08152   -2.39394
     0.07373   -2.42181
     0.06657   -2.45396
     0.05999   -2.48731
     0.05395   -2.52296
     0.04840   -2.57190
     0.04329   -2.63578
     0.03861   -2.69477
     0.03431   -2.74328
     0.03037   -2.77764
     0.02676   -2.79562
     0.02345   -2.79160
     0.02042   -2.77296
     0.01763   -2.74953
     0.01508   -2.72633
     0.01273   -2.72184
     0.01059   -2.74684
     0.00863   -2.75018
     0.00689   -2.71296
     0.00535   -2.64911
     0.00402   -2.56584
     0.00290   -2.46308
     0.00197   -2.33971
     0.00122   -2.19370
     0.00065   -2.02273
     0.00026   -1.82416
     0.00004   -1.59579
     0.00000   -1.32423
     0.00015   -1.02946
     0.00048   -0.74057
     0.00098   -0.46655
     0.00167   -0.21290
     0.00255    0.01754
     0.00362    0.22330
     0.00490    0.40389
     0.00638    0.55865
     0.00809    0.69643
     0.01000    0.79811
     0.01209    0.87244
     0.01437    0.92786
     0.01688    0.96645
     0.01962    0.98971
     0.02260    0.99945
     0.02584    0.99746
     0.02935    0.98564
     0.03317    0.96600
     0.03732    0.94048
     0.04182    0.91084
     0.04671    0.87855
     0.05202    0.84439
     0.05777    0.80779
     0.06401    0.76969
     0.07079    0.73091
     0.07819    0.69206
     0.08628    0.65356
     0.09517    0.61572
     0.10494    0.57769
     0.11566    0.53841
     0.12735    0.49924
     0.14000    0.46067
     0.15354    0.42225
     0.16790    0.38248
     0.18300    0.34302
     0.19875    0.30495
     0.21506    0.26945
     0.23183    0.23706
     0.24901    0.20842
     0.26661    0.18517
     0.28462    0.16627
     0.30306    0.15013
     0.32188    0.13519
     0.34100    0.12215
     0.36038    0.11113
     0.37998    0.10200
     0.39975    0.09451
     0.41971    0.08824
     0.43984    0.08316
     0.46014    0.07919
     0.48060    0.07611
     0.50119    0.07353
     0.52187    0.07072
     0.54258    0.06827
     0.56332    0.06649
     0.58406    0.06554
     0.60480    0.06568
     0.62557    0.06715
     0.64638    0.06958
     0.66723    0.07280
     0.68814    0.07667
     0.70907    0.08084
     0.73000    0.08519
     0.75090    0.09015
     0.77171    0.09585
     0.79239    0.10234
     0.81289    0.10912
     0.83313    0.11682
     0.85305    0.12666
     0.87257    0.13944
     0.89162    0.15603
     0.91013    0.17831
     0.92801    0.20652
     0.94505    0.24003
     0.96101    0.27970
     0.97573    0.33052
     0.98923    0.40134
     1.00000    0.59590
