#      x          Cp  
     1.00000    0.33726
     0.99267    0.22259
     0.98322    0.18387
     0.97248    0.15684
     0.96026    0.13430
     0.94660    0.11385
     0.93213    0.09501
     0.91773    0.07745
     0.90321    0.05993
     0.88897    0.04179
     0.87492    0.02307
     0.86096    0.00385
     0.84697   -0.01595
     0.83289   -0.03643
     0.81868   -0.05758
     0.80433   -0.07937
     0.78985   -0.10148
     0.77531   -0.12391
     0.76080   -0.14677
     0.74631   -0.17016
     0.73181   -0.19422
     0.71729   -0.21909
     0.70275   -0.24492
     0.68823   -0.27200
     0.67375   -0.30014
     0.65928   -0.32914
     0.64483   -0.35893
     0.63040   -0.38941
     0.61597   -0.42051
     0.60155   -0.45206
     0.58713   -0.48367
     0.57271   -0.51562
     0.55830   -0.54810
     0.54388   -0.58125
     0.52947   -0.61520
     0.51507   -0.65011
     0.50069   -0.68635
     0.48633   -0.72475
     0.47199   -0.76457
     0.45769   -0.80528
     0.44343   -0.84656
     0.42919   -0.88813
     0.41498   -0.92961
     0.40079   -0.97047
     0.38661   -1.00954
     0.37244   -1.04761
     0.35826   -1.08514
     0.34408   -1.12237
     0.32990   -1.15948
     0.31574   -1.19672
     0.30160   -1.23453
     0.28750   -1.27428
     0.27346   -1.31453
     0.25947   -1.35390
     0.24552   -1.39006
     0.23158   -1.42173
     0.21764   -1.45231
     0.20370   -1.48337
     0.18977   -1.51741
     0.17588   -1.55480
     0.16203   -1.59578
     0.14822   -1.64221
     0.13443   -1.69700
     0.12067   -1.76151
     0.10699   -1.83907
     0.09352   -1.94677
     0.08037   -2.08556
     0.06764   -2.22322
     0.05533   -2.37480
     0.04331   -2.65596
     0.03207   -3.05620
     0.02302   -3.46339
     0.01641   -3.89912
     0.01151   -4.33886
     0.00776   -4.79889
     0.00500   -5.80651
     0.00307   -6.98063
     0.00172   -8.15243
     0.00080   -9.15029
     0.00023   -9.59471
     0.00000   -8.93028
     0.00012   -6.82086
     0.00058   -4.64782
     0.00139   -2.92116
     0.00258   -1.61316
     0.00422   -0.64862
     0.00639    0.19622
     0.00931    0.69973
     0.01328    0.91255
     0.01886    0.99178
     0.02656    0.99275
     0.03646    0.94867
     0.04825    0.88980
     0.06121    0.83317
     0.07497    0.78305
     0.08916    0.73797
     0.10347    0.69833
     0.11781    0.66385
     0.13223    0.63345
     0.14673    0.60627
     0.16127    0.58109
     0.17583    0.55775
     0.19037    0.53637
     0.20489    0.51701
     0.21942    0.49964
     0.23397    0.48380
     0.24855    0.46924
     0.26316    0.45570
     0.27779    0.44304
     0.29244    0.43108
     0.30711    0.41953
     0.32178    0.40825
     0.33647    0.39733
     0.35115    0.38672
     0.36584    0.37637
     0.38052    0.36622
     0.39521    0.35617
     0.40988    0.34598
     0.42455    0.33571
     0.43920    0.32551
     0.45385    0.31541
     0.46848    0.30546
     0.48311    0.29571
     0.49774    0.28623
     0.51236    0.27721
     0.52698    0.26852
     0.54161    0.26006
     0.55624    0.25177
     0.57087    0.24362
     0.58550    0.23553
     0.60013    0.22741
     0.61475    0.21909
     0.62935    0.21073
     0.64393    0.20243
     0.65850    0.19426
     0.67305    0.18624
     0.68760    0.17844
     0.70214    0.17091
     0.71669    0.16373
     0.73126    0.15688
     0.74585    0.15038
     0.76044    0.14426
     0.77503    0.13859
     0.78958    0.13341
     0.80408    0.12886
     0.81848    0.12500
     0.83277    0.12178
     0.84697    0.11918
     0.86110    0.11720
     0.87522    0.11585
     0.88941    0.11515
     0.90378    0.11471
     0.91834    0.11449
     0.93280    0.11644
     0.94722    0.12226
     0.96069    0.13394
     0.97273    0.15150
     0.98335    0.17671
     0.99271    0.21603
     1.00000    0.33726
