#      x          Cp  
     1.00000    0.24506
     0.99179    0.13186
     0.98047    0.09579
     0.96699    0.06191
     0.95202    0.03379
     0.93648    0.00993
     0.92057   -0.01073
     0.90433   -0.03004
     0.88790   -0.04878
     0.87142   -0.06666
     0.85493   -0.08374
     0.83844   -0.09998
     0.82194   -0.11515
     0.80544   -0.13011
     0.78894   -0.14586
     0.77245   -0.16167
     0.75596   -0.17640
     0.73946   -0.19081
     0.72297   -0.20628
     0.70647   -0.22244
     0.68998   -0.23793
     0.67349   -0.25296
     0.65699   -0.26906
     0.64050   -0.28638
     0.62400   -0.30349
     0.60751   -0.32005
     0.59102   -0.33763
     0.57452   -0.35701
     0.55803   -0.37686
     0.54154   -0.39630
     0.52504   -0.41676
     0.50855   -0.43957
     0.49205   -0.46377
     0.47555   -0.48818
     0.45906   -0.51394
     0.44256   -0.54274
     0.42607   -0.57470
     0.40958   -0.61007
     0.39312   -0.64943
     0.37678   -0.69606
     0.36066   -0.74848
     0.34471   -0.79718
     0.32880   -0.84102
     0.31293   -0.89186
     0.29715   -0.94269
     0.28139   -0.99159
     0.26568   -1.05011
     0.25009   -1.11061
     0.23456   -1.16779
     0.21912   -1.24207
     0.20374   -1.30843
     0.18859   -1.39303
     0.17353   -1.47091
     0.15859   -1.56491
     0.14390   -1.67182
     0.12953   -1.78641
     0.11551   -1.91265
     0.10200   -2.06284
     0.08917   -2.22611
     0.07716   -2.40352
     0.06620   -2.62519
     0.05644   -2.84828
     0.04788   -3.09471
     0.04049   -3.37696
     0.03416   -3.66338
     0.02873   -3.97325
     0.02406   -4.31818
     0.02002   -4.65650
     0.01651   -5.00330
     0.01344   -5.42262
     0.01078   -5.77235
     0.00847   -6.10386
     0.00646   -6.55009
     0.00474   -6.83249
     0.00332   -6.80232
     0.00219   -6.63553
     0.00131   -6.39645
     0.00067   -6.08084
     0.00024   -5.66991
     0.00003   -5.13927
     0.00003   -4.40164
     0.00024   -3.53627
     0.00067   -2.70134
     0.00131   -1.93826
     0.00219   -1.26594
     0.00332   -0.68916
     0.00474   -0.20064
     0.00646    0.20672
     0.00847    0.50836
     0.01078    0.71051
     0.01344    0.84816
     0.01651    0.93535
     0.02002    0.98215
     0.02406    0.99944
     0.02873    0.99417
     0.03416    0.97182
     0.04049    0.93646
     0.04788    0.89186
     0.05644    0.84055
     0.06620    0.78560
     0.07716    0.73148
     0.08917    0.67755
     0.10200    0.62761
     0.11551    0.58273
     0.12953    0.54136
     0.14390    0.50475
     0.15859    0.47299
     0.17353    0.44435
     0.18859    0.41727
     0.20374    0.39662
     0.21912    0.37512
     0.23456    0.35969
     0.25009    0.34267
     0.26568    0.32967
     0.28139    0.31880
     0.29715    0.30717
     0.31293    0.29854
     0.32880    0.29204
     0.34471    0.28481
     0.36066    0.28136
     0.37678    0.28115
     0.39312    0.28007
     0.40958    0.27726
     0.42607    0.27398
     0.44256    0.27031
     0.45906    0.26618
     0.47555    0.26149
     0.49205    0.25694
     0.50855    0.25303
     0.52504    0.24910
     0.54154    0.24455
     0.55803    0.23999
     0.57452    0.23618
     0.59102    0.23259
     0.60751    0.22841
     0.62400    0.22401
     0.64050    0.22029
     0.65699    0.21704
     0.67349    0.21333
     0.68998    0.20921
     0.70647    0.20560
     0.72297    0.20264
     0.73946    0.19940
     0.75596    0.19558
     0.77245    0.19206
     0.78894    0.18936
     0.80544    0.18666
     0.82194    0.18336
     0.83844    0.18010
     0.85493    0.17749
     0.87142    0.17530
     0.88790    0.17342
     0.90433    0.17178
     0.92057    0.17011
     0.93648    0.16893
     0.95202    0.16944
     0.96699    0.17243
     0.98047    0.17866
     0.99179    0.19000
     1.00000    0.24506
