#      x          Cp  
     1.00000    0.37651
     0.99083    0.20554
     0.97885    0.13599
     0.96527    0.07932
     0.95019    0.02999
     0.93387   -0.01549
     0.91665   -0.05793
     0.89881   -0.09520
     0.88052   -0.12549
     0.86189   -0.15082
     0.84298   -0.17158
     0.82380   -0.18881
     0.80437   -0.20212
     0.78466   -0.21002
     0.76461   -0.21449
     0.74426   -0.21755
     0.72375   -0.22146
     0.70326   -0.22812
     0.68278   -0.24374
     0.66219   -0.26529
     0.64147   -0.28913
     0.62074   -0.31363
     0.60010   -0.33555
     0.57952   -0.34910
     0.55901   -0.36032
     0.53875   -0.37270
     0.51880   -0.38997
     0.49914   -0.41727
     0.47962   -0.46709
     0.46026   -0.52729
     0.44136   -0.58821
     0.42303   -0.64302
     0.40519   -0.68400
     0.38757   -0.68494
     0.36984   -0.65793
     0.35220   -0.62568
     0.33527   -0.59888
     0.31930   -0.58654
     0.30421   -0.60029
     0.28996   -0.62691
     0.27645   -0.73325
     0.26321   -0.98804
     0.25015   -1.24539
     0.23737   -1.39623
     0.22419   -1.35424
     0.21010   -1.28102
     0.19537   -1.26774
     0.18025   -1.36338
     0.16530   -1.51357
     0.15105   -1.66803
     0.13764   -1.80698
     0.12513   -1.92997
     0.11353   -2.05203
     0.10285   -2.19413
     0.09323   -2.43202
     0.08466   -2.70004
     0.07695   -2.87209
     0.06986   -2.93255
     0.06331   -2.96946
     0.05725   -2.98396
     0.05166   -3.02049
     0.04651   -3.24343
     0.04177   -3.59854
     0.03743   -4.02543
     0.03345   -4.47235
     0.02980   -4.82558
     0.02646   -4.97494
     0.02338   -5.01198
     0.02054   -4.96284
     0.01792   -4.78935
     0.01549   -4.57082
     0.01321   -4.37585
     0.01106   -4.16333
     0.00900   -4.04010
     0.00697   -4.81832
     0.00504   -6.63654
     0.00341   -7.70052
     0.00215   -7.20568
     0.00123   -6.25652
     0.00061   -5.24277
     0.00021   -4.36469
     0.00002   -3.59963
    -0.00001   -2.95485
     0.00013   -2.46416
     0.00043   -2.03208
     0.00093   -1.63477
     0.00168   -1.20442
     0.00273   -0.79304
     0.00414   -0.31123
     0.00598    0.26018
     0.00815    0.60256
     0.01048    0.77035
     0.01294    0.86669
     0.01554    0.92597
     0.01830    0.96553
     0.02126    0.98971
     0.02445    0.99962
     0.02790    0.99651
     0.03166    0.98275
     0.03581    0.96266
     0.04038    0.94012
     0.04546    0.91728
     0.05113    0.89438
     0.05748    0.86853
     0.06460    0.83928
     0.07259    0.80572
     0.08154    0.76677
     0.09145    0.72059
     0.10226    0.67051
     0.11398    0.62264
     0.12661    0.57654
     0.14010    0.53256
     0.15431    0.48975
     0.16907    0.44802
     0.18420    0.40922
     0.19957    0.37848
     0.21528    0.36507
     0.23111    0.36164
     0.24653    0.34066
     0.26168    0.28171
     0.27624    0.18916
     0.29032    0.13556
     0.30453    0.11437
     0.31907    0.10220
     0.33405    0.10188
     0.34967    0.10971
     0.36608    0.12342
     0.38340    0.14116
     0.40173    0.15878
     0.42096    0.16949
     0.44082    0.17673
     0.46115    0.18241
     0.48175    0.18612
     0.50245    0.18799
     0.52324    0.18599
     0.54410    0.18262
     0.56493    0.17869
     0.58569    0.17484
     0.60636    0.17281
     0.62704    0.17313
     0.64778    0.17467
     0.66861    0.17687
     0.68949    0.17931
     0.71038    0.18168
     0.73123    0.18364
     0.75201    0.18544
     0.77271    0.18643
     0.79333    0.18668
     0.81392    0.18468
     0.83449    0.18106
     0.85498    0.17773
     0.87520    0.17515
     0.89495    0.17449
     0.91406    0.17789
     0.93229    0.18466
     0.94933    0.19452
     0.96488    0.20848
     0.97871    0.22840
     0.99080    0.26255
     1.00000    0.37651
