#      x          Cp  
     1.00000    0.38176
     0.99115    0.25211
     0.98065    0.21038
     0.96980    0.18232
     0.95860    0.16059
     0.94701    0.14203
     0.93502    0.12527
     0.92260    0.10956
     0.90972    0.09440
     0.89638    0.07944
     0.88254    0.06441
     0.86820    0.04909
     0.85332    0.03328
     0.83791    0.01677
     0.82197   -0.00061
     0.80550   -0.01907
     0.78855   -0.03878
     0.77143   -0.05964
     0.75465   -0.08118
     0.73813   -0.10367
     0.72180   -0.12742
     0.70558   -0.15278
     0.68938   -0.18018
     0.67316   -0.21020
     0.65682   -0.24364
     0.64029   -0.28164
     0.62350   -0.32614
     0.60642   -0.37994
     0.58965   -0.45165
     0.57339   -0.53912
     0.55759   -0.63124
     0.54220   -0.72292
     0.52713   -0.80830
     0.51229   -0.88030
     0.49754   -0.92369
     0.48278   -0.91507
     0.46788   -0.88065
     0.45276   -0.83337
     0.43736   -0.78138
     0.42164   -0.73253
     0.40562   -0.69516
     0.38937   -0.69382
     0.37299   -0.72704
     0.35657   -0.77526
     0.34018   -0.83242
     0.32386   -0.89177
     0.30761   -0.94627
     0.29140   -0.96824
     0.27523   -0.95875
     0.25916   -0.96085
     0.24338   -1.02736
     0.22809   -1.18413
     0.21329   -1.36163
     0.19871   -1.51557
     0.18388   -1.55907
     0.16836   -1.56191
     0.15219   -1.58614
     0.13619   -1.75931
     0.12133   -1.99900
     0.10775   -2.20327
     0.09517   -2.21164
     0.08323   -1.99584
     0.07179   -2.03814
     0.06109   -2.61440
     0.05149   -3.31462
     0.04314   -3.89070
     0.03607   -4.29424
     0.03014   -4.49484
     0.02519   -4.39020
     0.02105   -3.69322
     0.01742   -3.03965
     0.01414   -2.73248
     0.01110   -3.13643
     0.00839   -4.41321
     0.00616   -5.13840
     0.00434   -5.00280
     0.00280   -5.14045
     0.00158   -5.33241
     0.00070   -5.52077
     0.00013   -5.61122
    -0.00011   -5.44669
    -0.00000   -4.72397
     0.00047   -3.20871
     0.00129   -1.81936
     0.00241   -0.83197
     0.00378   -0.19531
     0.00528    0.13613
     0.00682    0.12329
     0.00881    0.47377
     0.01154    0.83472
     0.01488    0.94143
     0.01871    0.98107
     0.02314    0.99863
     0.02836    0.99517
     0.03466    0.97002
     0.04228    0.92859
     0.05139    0.88038
     0.06197    0.83918
     0.07381    0.80669
     0.08649    0.75436
     0.09979    0.68397
     0.11374    0.63315
     0.12850    0.59968
     0.14406    0.57457
     0.16018    0.54167
     0.17644    0.49722
     0.19260    0.45104
     0.20875    0.41173
     0.22518    0.38191
     0.24199    0.35399
     0.25896    0.31890
     0.27561    0.27526
     0.29173    0.23386
     0.30740    0.20465
     0.32290    0.19170
     0.33847    0.18605
     0.35431    0.18512
     0.37051    0.18660
     0.38714    0.18817
     0.40414    0.18490
     0.42133    0.17099
     0.43851    0.15293
     0.45555    0.13333
     0.47238    0.11403
     0.48899    0.09665
     0.50545    0.08458
     0.52185    0.08040
     0.53828    0.08003
     0.55483    0.08215
     0.57152    0.08579
     0.58839    0.09009
     0.60544    0.09345
     0.62261    0.09464
     0.63985    0.09516
     0.65711    0.09540
     0.67433    0.09556
     0.69144    0.09579
     0.70841    0.09616
     0.72517    0.09674
     0.74168    0.09758
     0.75791    0.09871
     0.77383    0.10016
     0.78941    0.10196
     0.80464    0.10412
     0.81950    0.10667
     0.83400    0.10964
     0.84812    0.11307
     0.86187    0.11699
     0.87526    0.12145
     0.88830    0.12653
     0.90098    0.13232
     0.91333    0.13894
     0.92535    0.14658
     0.93706    0.15551
     0.94846    0.16614
     0.95957    0.17918
     0.97040    0.19594
     0.98096    0.21943
     0.99127    0.25721
     1.00000    0.38176
