#      x          Cp  
     1.00000    0.35520
     0.99293    0.21109
     0.98429    0.15877
     0.97507    0.11966
     0.96521    0.08753
     0.95462    0.05860
     0.94324    0.03138
     0.93101    0.00497
     0.91790   -0.02119
     0.90396   -0.04745
     0.88954   -0.07368
     0.87543   -0.09877
     0.86150   -0.12319
     0.84757   -0.14739
     0.83352   -0.17174
     0.81929   -0.19650
     0.80484   -0.22191
     0.79033   -0.24805
     0.77592   -0.27456
     0.76158   -0.30136
     0.74725   -0.32846
     0.73290   -0.35590
     0.71851   -0.38365
     0.70407   -0.41162
     0.68959   -0.43959
     0.67507   -0.46756
     0.66055   -0.49567
     0.64603   -0.52391
     0.63151   -0.55232
     0.61702   -0.58094
     0.60254   -0.60987
     0.58809   -0.63949
     0.57365   -0.66947
     0.55924   -0.69940
     0.54484   -0.72905
     0.53045   -0.75811
     0.51607   -0.78620
     0.50169   -0.81265
     0.48731   -0.83580
     0.47292   -0.85681
     0.45851   -0.87662
     0.44409   -0.89565
     0.42964   -0.91431
     0.41517   -0.93296
     0.40069   -0.95211
     0.38619   -0.97255
     0.37167   -0.99403
     0.35715   -1.01656
     0.34262   -1.04028
     0.32809   -1.06545
     0.31357   -1.09239
     0.29906   -1.12172
     0.28456   -1.15434
     0.27009   -1.19012
     0.25563   -1.22950
     0.24117   -1.27387
     0.22669   -1.32382
     0.21222   -1.37958
     0.19782   -1.44348
     0.18360   -1.51855
     0.16957   -1.60067
     0.15564   -1.68925
     0.14163   -1.78465
     0.12733   -1.89132
     0.11288   -2.01496
     0.09893   -2.18000
     0.08617   -2.42832
     0.07442   -2.55874
     0.06267   -2.35864
     0.05064   -2.30611
     0.04003   -2.95562
     0.03145   -3.73986
     0.02407   -4.01343
     0.01730   -3.33510
     0.01186   -4.09376
     0.00813   -7.56614
     0.00550   -6.63855
     0.00329   -7.39414
     0.00168   -9.90955
     0.00065  -12.56977
     0.00009  -14.20688
     0.00001  -11.91421
     0.00035   -8.08299
     0.00110   -5.13159
     0.00229   -3.00220
     0.00400   -1.50673
     0.00636   -0.13596
     0.00962    0.62202
     0.01443    0.90486
     0.02203    0.99594
     0.03331    0.98823
     0.04699    0.94543
     0.06097    0.89704
     0.07525    0.85223
     0.08974    0.81348
     0.10416    0.77879
     0.11849    0.74415
     0.13284    0.71058
     0.14726    0.67876
     0.16176    0.65162
     0.17630    0.62809
     0.19086    0.60626
     0.20540    0.58338
     0.21990    0.55785
     0.23435    0.53222
     0.24877    0.50798
     0.26320    0.48825
     0.27769    0.47135
     0.29225    0.45588
     0.30688    0.44040
     0.32156    0.42438
     0.33626    0.40858
     0.35096    0.39311
     0.36564    0.37804
     0.38028    0.36339
     0.39489    0.34920
     0.40945    0.33534
     0.42398    0.32194
     0.43848    0.30919
     0.45294    0.29726
     0.46738    0.28633
     0.48181    0.27664
     0.49624    0.26860
     0.51068    0.26339
     0.52514    0.26041
     0.53963    0.25878
     0.55416    0.25814
     0.56873    0.25813
     0.58336    0.25844
     0.59803    0.25864
     0.61273    0.25788
     0.62742    0.25656
     0.64209    0.25498
     0.65675    0.25320
     0.67141    0.25122
     0.68609    0.24900
     0.70079    0.24644
     0.71545    0.24328
     0.73004    0.23989
     0.74458    0.23643
     0.75907    0.23302
     0.77356    0.22976
     0.78808    0.22678
     0.80271    0.22435
     0.81732    0.22278
     0.83173    0.22171
     0.84593    0.22099
     0.86002    0.22055
     0.87410    0.22034
     0.88833    0.22035
     0.90288    0.22050
     0.91699    0.22078
     0.93025    0.22153
     0.94263    0.22300
     0.95415    0.22547
     0.96486    0.22940
     0.97483    0.23575
     0.98414    0.24631
     0.99286    0.26862
     1.00000    0.35520
