#      x          Cp  
     1.00000    0.37859
     0.99207    0.20915
     0.97991    0.12966
     0.96637    0.06864
     0.95249    0.01881
     0.93859   -0.02414
     0.92473   -0.06182
     0.91089   -0.09447
     0.89707   -0.12027
     0.88320   -0.13732
     0.86925   -0.14981
     0.85521   -0.15950
     0.84110   -0.16784
     0.82699   -0.17640
     0.81297   -0.18657
     0.79902   -0.20124
     0.78508   -0.22505
     0.77109   -0.25406
     0.75703   -0.28646
     0.74296   -0.32104
     0.72890   -0.35689
     0.71491   -0.39275
     0.70097   -0.42681
     0.68706   -0.45567
     0.67312   -0.48162
     0.65915   -0.50609
     0.64517   -0.52975
     0.63116   -0.55323
     0.61714   -0.57715
     0.60309   -0.60237
     0.58904   -0.63138
     0.57502   -0.66288
     0.56103   -0.69525
     0.54706   -0.72777
     0.53313   -0.75981
     0.51923   -0.79020
     0.50535   -0.81693
     0.49147   -0.83858
     0.47756   -0.85633
     0.46362   -0.87266
     0.44965   -0.88778
     0.43565   -0.90243
     0.42163   -0.91740
     0.40758   -0.93340
     0.39351   -0.95255
     0.37945   -0.97531
     0.36540   -0.99988
     0.35138   -1.02566
     0.33736   -1.05224
     0.32337   -1.07924
     0.30939   -1.10606
     0.29543   -1.13031
     0.28144   -1.15131
     0.26739   -1.17354
     0.25328   -1.20464
     0.23918   -1.24917
     0.22516   -1.30754
     0.21123   -1.37209
     0.19741   -1.43845
     0.18364   -1.50438
     0.16990   -1.57294
     0.15619   -1.65253
     0.14259   -1.75089
     0.12915   -1.86624
     0.11593   -1.99090
     0.10305   -2.11253
     0.09017   -2.16859
     0.07698   -2.28898
     0.06431   -2.59863
     0.05294   -2.90657
     0.04219   -2.80011
     0.03196   -2.52151
     0.02304   -3.39632
     0.01606   -5.31625
     0.01142   -6.17232
     0.00795   -4.94942
     0.00514   -5.79430
     0.00301   -7.57545
     0.00149   -9.97568
     0.00049  -12.49657
     0.00002  -13.42159
     0.00006  -10.27540
     0.00055   -6.67080
     0.00147   -3.95758
     0.00284   -2.19138
     0.00473   -0.88624
     0.00729    0.11738
     0.01080    0.76588
     0.01621    0.95857
     0.02439    0.99993
     0.03528    0.97854
     0.04824    0.93649
     0.06187    0.89095
     0.07580    0.84497
     0.08975    0.80474
     0.10389    0.77020
     0.11810    0.73883
     0.13221    0.71084
     0.14624    0.68386
     0.16027    0.65582
     0.17435    0.62602
     0.18841    0.59673
     0.20235    0.57111
     0.21631    0.55193
     0.23040    0.53602
     0.24454    0.52017
     0.25868    0.50157
     0.27282    0.47947
     0.28693    0.45651
     0.30096    0.43538
     0.31494    0.41819
     0.32896    0.40327
     0.34301    0.38988
     0.35708    0.37760
     0.37119    0.36608
     0.38533    0.35494
     0.39950    0.34355
     0.41367    0.33068
     0.42780    0.31732
     0.44189    0.30410
     0.45595    0.29137
     0.46997    0.27955
     0.48396    0.26891
     0.49790    0.26005
     0.51182    0.25495
     0.52577    0.25325
     0.53977    0.25408
     0.55384    0.25599
     0.56797    0.25859
     0.58216    0.26127
     0.59636    0.26314
     0.61054    0.26249
     0.62473    0.26002
     0.63895    0.25675
     0.65318    0.25305
     0.66741    0.24917
     0.68164    0.24536
     0.69584    0.24197
     0.71003    0.23968
     0.72424    0.23824
     0.73846    0.23720
     0.75269    0.23636
     0.76692    0.23556
     0.78113    0.23466
     0.79534    0.23344
     0.80954    0.23128
     0.82374    0.22840
     0.83797    0.22531
     0.85220    0.22222
     0.86644    0.21932
     0.88066    0.21685
     0.89487    0.21511
     0.90907    0.21472
     0.92327    0.21580
     0.93748    0.21840
     0.95168    0.22303
     0.96583    0.23110
     0.97962    0.24553
     0.99196    0.27693
     1.00000    0.37859
