#      x          Cp  
     1.00000    0.39224
     0.99283    0.22377
     0.98366    0.18072
     0.97331    0.14162
     0.96153    0.10683
     0.94819    0.07113
     0.93381    0.03182
     0.91991   -0.00676
     0.90611   -0.04474
     0.89205   -0.08244
     0.87753   -0.11883
     0.86325   -0.14808
     0.84934   -0.17162
     0.83567   -0.19194
     0.82216   -0.20987
     0.80871   -0.22602
     0.79527   -0.24083
     0.78178   -0.25463
     0.76820   -0.26774
     0.75449   -0.28043
     0.74063   -0.29295
     0.72660   -0.30562
     0.71239   -0.31873
     0.69801   -0.33269
     0.68348   -0.34802
     0.66884   -0.36541
     0.65415   -0.38746
     0.63948   -0.41643
     0.62488   -0.44547
     0.61038   -0.46830
     0.59595   -0.47117
     0.58160   -0.46852
     0.56735   -0.47291
     0.55329   -0.49475
     0.53951   -0.56905
     0.52607   -0.68269
     0.51296   -0.80253
     0.50006   -0.91004
     0.48721   -0.95487
     0.47421   -0.89886
     0.46091   -0.81835
     0.44728   -0.75173
     0.43339   -0.76976
     0.41941   -0.83808
     0.40541   -0.91813
     0.39134   -0.96846
     0.37711   -0.98337
     0.36264   -0.99014
     0.34796   -0.99922
     0.33319   -1.02886
     0.31848   -1.06917
     0.30390   -1.11312
     0.28943   -1.15491
     0.27501   -1.19329
     0.26058   -1.23219
     0.24614   -1.27308
     0.23170   -1.31727
     0.21729   -1.36494
     0.20290   -1.41751
     0.18853   -1.47746
     0.17417   -1.54443
     0.15987   -1.61924
     0.14570   -1.70752
     0.13174   -1.81138
     0.11803   -1.92375
     0.10451   -2.04429
     0.09106   -2.16488
     0.07763   -2.31055
     0.06469   -2.53460
     0.05244   -2.79496
     0.04050   -3.11506
     0.02919   -3.49238
     0.01994   -4.02561
     0.01322   -4.65400
     0.00852   -5.23764
     0.00534   -6.59013
     0.00317   -7.04945
     0.00164   -7.55945
     0.00062   -8.95824
     0.00008  -10.16417
    -0.00001   -9.93338
     0.00037   -7.16396
     0.00122   -4.51234
     0.00260   -2.27790
     0.00450   -0.51537
     0.00684    0.13192
     0.00969    0.68373
     0.01323    0.89561
     0.01772    0.95317
     0.02401    0.99608
     0.03396    0.98372
     0.04731    0.93604
     0.05990    0.90018
     0.07233    0.85704
     0.08604    0.80870
     0.10071    0.76604
     0.11534    0.72784
     0.12988    0.69223
     0.14446    0.65896
     0.15911    0.62742
     0.17379    0.59718
     0.18845    0.56848
     0.20306    0.54153
     0.21766    0.51688
     0.23230    0.49369
     0.24699    0.47120
     0.26169    0.44807
     0.27636    0.42477
     0.29098    0.40199
     0.30554    0.38026
     0.32006    0.35971
     0.33456    0.34029
     0.34904    0.32218
     0.36351    0.30583
     0.37798    0.29135
     0.39244    0.27863
     0.40690    0.26813
     0.42137    0.25985
     0.43585    0.25333
     0.45036    0.24854
     0.46494    0.24608
     0.47959    0.24489
     0.49431    0.24316
     0.50906    0.23958
     0.52381    0.23578
     0.53853    0.23237
     0.55322    0.23040
     0.56789    0.22954
     0.58256    0.22896
     0.59725    0.22831
     0.61196    0.22720
     0.62669    0.22493
     0.64145    0.22020
     0.65625    0.21416
     0.67106    0.20746
     0.68589    0.20041
     0.70071    0.19331
     0.71550    0.18644
     0.73024    0.18009
     0.74491    0.17471
     0.75947    0.17065
     0.77398    0.16793
     0.78854    0.16738
     0.80325    0.16933
     0.81761    0.17257
     0.83153    0.17664
     0.84501    0.18123
     0.85815    0.18616
     0.87104    0.19133
     0.88381    0.19671
     0.89662    0.20229
     0.90967    0.20810
     0.92324    0.21424
     0.93762    0.22072
     0.95116    0.22678
     0.96328    0.23332
     0.97414    0.24166
     0.98395    0.25405
     0.99287    0.27258
     1.00000    0.39224
