#      x          Cp  
     1.00000    0.41457
     0.98589    0.15155
     0.96490   -0.00215
     0.93573   -0.06777
     0.89995   -0.21589
     0.85899   -0.33628
     0.79066   -0.45982
     0.74217   -0.53782
     0.69250   -0.58796
     0.66751   -0.62577
     0.64252   -0.64732
     0.61764   -0.66052
     0.59294   -0.68325
     0.56849   -0.72140
     0.54435   -0.74535
     0.52057   -0.76182
     0.49721   -0.78105
     0.47430   -0.80920
     0.45188   -0.83779
     0.42998   -0.85981
     0.40863   -0.87543
     0.38786   -0.90004
     0.36767   -0.92997
     0.34809   -0.95955
     0.32912   -0.99034
     0.31078   -1.02372
     0.29306   -1.05811
     0.27598   -1.09315
     0.25953   -1.12904
     0.24371   -1.16705
     0.22853   -1.20607
     0.21396   -1.24810
     0.20001   -1.29208
     0.18666   -1.33873
     0.17392   -1.38810
     0.16176   -1.43927
     0.15018   -1.49470
     0.13917   -1.55400
     0.12870   -1.62253
     0.11878   -1.69630
     0.10938   -1.77497
     0.10049   -1.85782
     0.09209   -1.94738
     0.08418   -2.04683
     0.07673   -2.15671
     0.06973   -2.27798
     0.06316   -2.40240
     0.05701   -2.54445
     0.05126   -2.70692
     0.04590   -2.89700
     0.04090   -3.10361
     0.03626   -3.30854
     0.03197   -3.53709
     0.02799   -3.81507
     0.02431   -4.13753
     0.02093   -4.49968
     0.01783   -4.91984
     0.01498   -5.41475
     0.01239   -6.02839
     0.01004   -6.59552
     0.00792   -7.28463
     0.00602   -8.11813
     0.00434   -8.83393
     0.00284  -10.04573
     0.00153  -12.46809
     0.00047  -21.46009
     0.00008  -17.02725
     0.00017  -19.64174
     0.00104   -7.15453
     0.00212   -3.86853
     0.00323   -2.94545
     0.00445   -1.56281
     0.00576   -0.76651
     0.00713   -0.28521
     0.00856    0.05559
     0.01007    0.30616
     0.01168    0.49173
     0.01340    0.63177
     0.01524    0.73830
     0.01722    0.81896
     0.01936    0.87947
     0.02166    0.92419
     0.02415    0.95677
     0.02685    0.97899
     0.02977    0.99267
     0.03293    0.99910
     0.03635    0.99950
     0.04004    0.99480
     0.04402    0.98585
     0.04831    0.97340
     0.05293    0.95805
     0.05788    0.94029
     0.06320    0.92053
     0.06889    0.89912
     0.07497    0.87662
     0.08146    0.85337
     0.08838    0.82909
     0.09574    0.80457
     0.10355    0.77954
     0.11183    0.75435
     0.12061    0.72928
     0.12988    0.70412
     0.13967    0.67925
     0.15000    0.65432
     0.16086    0.62977
     0.17228    0.60548
     0.18427    0.58156
     0.19684    0.55782
     0.21000    0.53445
     0.22376    0.51113
     0.23813    0.48830
     0.25311    0.46562
     0.26870    0.44302
     0.28492    0.42062
     0.30176    0.39832
     0.31922    0.37624
     0.33731    0.35456
     0.35600    0.33317
     0.37530    0.31199
     0.39520    0.29145
     0.41568    0.27149
     0.43671    0.25271
     0.45828    0.23681
     0.48035    0.22502
     0.50289    0.21705
     0.52587    0.21303
     0.57292    0.21423
     0.62111    0.23007
     0.66997    0.25872
     0.71894    0.28899
     0.76738    0.28940
     0.81437    0.29778
     0.85888    0.30663
     0.89969    0.31877
     0.93548    0.31303
     0.96471    0.31737
     0.98579    0.32853
     0.99723    0.41457
