#      x          Cp  
     1.00000    0.51849
     0.99315    0.26831
     0.98429    0.19548
     0.97417    0.12869
     0.96255    0.07043
     0.94937    0.01472
     0.93507   -0.03907
     0.92064   -0.08833
     0.90619   -0.13343
     0.89205   -0.17278
     0.87803   -0.20754
     0.86396   -0.23959
     0.84976   -0.26958
     0.83542   -0.29789
     0.82102   -0.32497
     0.80661   -0.35134
     0.79222   -0.37881
     0.77789   -0.40702
     0.76361   -0.43372
     0.74935   -0.45684
     0.73505   -0.47294
     0.72067   -0.48598
     0.70617   -0.49826
     0.69160   -0.51341
     0.67698   -0.53158
     0.66238   -0.55063
     0.64782   -0.57023
     0.63330   -0.59013
     0.61882   -0.60937
     0.60435   -0.62705
     0.58986   -0.64024
     0.57529   -0.65053
     0.56065   -0.66067
     0.54594   -0.67340
     0.53122   -0.69068
     0.51652   -0.70973
     0.50185   -0.72958
     0.48718   -0.74873
     0.47249   -0.76828
     0.45777   -0.78929
     0.44306   -0.81381
     0.42839   -0.84186
     0.41378   -0.87084
     0.39921   -0.89866
     0.38462   -0.92203
     0.36995   -0.94555
     0.35520   -0.97235
     0.34044   -1.00901
     0.32576   -1.05397
     0.31118   -1.10238
     0.29669   -1.15100
     0.28222   -1.19726
     0.26771   -1.24585
     0.25320   -1.29954
     0.23875   -1.36481
     0.22446   -1.43827
     0.21033   -1.51592
     0.19627   -1.59455
     0.18214   -1.67261
     0.16792   -1.75733
     0.15378   -1.85411
     0.14006   -1.98589
     0.12687   -2.12446
     0.11366   -2.19737
     0.10003   -2.29289
     0.08704   -2.55309
     0.07522   -2.80967
     0.06359   -2.90953
     0.05166   -3.02248
     0.04093   -3.44965
     0.03167   -3.65103
     0.02341   -4.05326
     0.01719   -4.64598
     0.01242   -4.75343
     0.00864   -5.00262
     0.00580   -5.25957
     0.00372   -5.76659
     0.00222   -6.34333
     0.00116   -6.83141
     0.00044   -7.35293
     0.00004   -8.00146
    -0.00002   -8.12698
     0.00031   -6.75729
     0.00112   -4.62895
     0.00246   -2.30549
     0.00436   -0.54363
     0.00685    0.22560
     0.01003    0.60234
     0.01403    0.82821
     0.01926    0.95189
     0.02658    0.99729
     0.03630    0.99108
     0.04838    0.95501
     0.06186    0.90807
     0.07604    0.85996
     0.09030    0.81215
     0.10441    0.76796
     0.11869    0.72927
     0.13322    0.69110
     0.14768    0.65293
     0.16198    0.61791
     0.17623    0.58540
     0.19053    0.55465
     0.20489    0.52537
     0.21928    0.49740
     0.23367    0.47083
     0.24805    0.44565
     0.26240    0.42183
     0.27674    0.39939
     0.29107    0.37841
     0.30540    0.35917
     0.31974    0.34180
     0.33410    0.32592
     0.34848    0.31140
     0.36288    0.29810
     0.37729    0.28600
     0.39172    0.27505
     0.40614    0.26513
     0.42056    0.25625
     0.43497    0.24864
     0.44938    0.24260
     0.46382    0.23881
     0.47830    0.23648
     0.49283    0.23506
     0.50742    0.23388
     0.52202    0.23279
     0.53663    0.23215
     0.55126    0.23210
     0.56593    0.23287
     0.58065    0.23388
     0.59541    0.23468
     0.61020    0.23413
     0.62496    0.23277
     0.63970    0.23160
     0.65439    0.23176
     0.66907    0.23381
     0.68374    0.23598
     0.69842    0.23716
     0.71311    0.23508
     0.72779    0.23174
     0.74245    0.22879
     0.75709    0.22879
     0.77171    0.23186
     0.78634    0.23542
     0.80098    0.23800
     0.81568    0.23762
     0.83044    0.23622
     0.84525    0.23478
     0.86001    0.23438
     0.87468    0.23512
     0.88928    0.23680
     0.90398    0.23983
     0.91857    0.24454
     0.93291    0.25089
     0.94745    0.25971
     0.96127    0.27152
     0.97339    0.28718
     0.98386    0.31019
     0.99298    0.34131
     1.00000    0.51849
