#      x          Cp  
     1.00000    0.61103
     0.99285    0.36426
     0.98355    0.26197
     0.97287    0.18071
     0.96050    0.11217
     0.94640    0.05397
     0.93137    0.00939
     0.91647   -0.02496
     0.90131   -0.05484
     0.88625   -0.08484
     0.87139   -0.11413
     0.85656   -0.14256
     0.84167   -0.17062
     0.82667   -0.19883
     0.81152   -0.22775
     0.79625   -0.25883
     0.78092   -0.29325
     0.76559   -0.32886
     0.75031   -0.36465
     0.73509   -0.39971
     0.71993   -0.43298
     0.70484   -0.46303
     0.68976   -0.48525
     0.67467   -0.50134
     0.65953   -0.51504
     0.64433   -0.52790
     0.62906   -0.54156
     0.61373   -0.55780
     0.59835   -0.58037
     0.58296   -0.61434
     0.56758   -0.65473
     0.55222   -0.69940
     0.53691   -0.74709
     0.52164   -0.79685
     0.50642   -0.84754
     0.49124   -0.89708
     0.47610   -0.94500
     0.46099   -0.99208
     0.44589   -1.03789
     0.43082   -1.08212
     0.41576   -1.12393
     0.40072   -1.16183
     0.38569   -1.19232
     0.37067   -1.21841
     0.35566   -1.24211
     0.34063   -1.26451
     0.32559   -1.28684
     0.31049   -1.31016
     0.29531   -1.33749
     0.28003   -1.37073
     0.26464   -1.40737
     0.24915   -1.44691
     0.23365   -1.48906
     0.21823   -1.53383
     0.20303   -1.58104
     0.18820   -1.63108
     0.17377   -1.68426
     0.15949   -1.74199
     0.14486   -1.80367
     0.13014   -1.87292
     0.11628   -1.96799
     0.10202   -2.14251
     0.08844   -2.57490
     0.07729   -2.94655
     0.06648   -2.63119
     0.05433   -2.22274
     0.04420   -2.96091
     0.03733   -4.23172
     0.03227   -5.46951
     0.02829   -6.49127
     0.02510   -6.50535
     0.02251   -4.33706
     0.02006   -2.13307
     0.01699   -0.84878
     0.01334   -0.57278
     0.00998   -1.06474
     0.00724   -1.83587
     0.00507   -2.77435
     0.00335   -3.95807
     0.00200   -5.45556
     0.00099   -7.25013
     0.00031   -8.98248
    -0.00003   -9.28589
    -0.00003   -7.26697
     0.00030   -4.84476
     0.00097   -2.87951
     0.00201   -1.47449
     0.00350   -0.50999
     0.00558    0.14624
     0.00862    0.59165
     0.01359    0.88292
     0.02216    0.99954
     0.03152    0.97049
     0.04164    0.90870
     0.05362    0.84414
     0.06670    0.80871
     0.07944    0.77053
     0.09184    0.69167
     0.10430    0.61815
     0.11711    0.59175
     0.13048    0.58770
     0.14453    0.59423
     0.15921    0.58702
     0.17432    0.56436
     0.18962    0.53757
     0.20499    0.51261
     0.22040    0.49408
     0.23583    0.47827
     0.25129    0.46440
     0.26677    0.45191
     0.28228    0.44036
     0.29780    0.42923
     0.31333    0.41759
     0.32887    0.40574
     0.34442    0.39396
     0.35998    0.38230
     0.37553    0.37084
     0.39110    0.35961
     0.40666    0.34875
     0.42223    0.33831
     0.43780    0.32813
     0.45337    0.31817
     0.46894    0.30838
     0.48451    0.29874
     0.50008    0.28928
     0.51565    0.28007
     0.53120    0.27089
     0.54675    0.26154
     0.56229    0.25186
     0.57782    0.24161
     0.59335    0.23048
     0.60887    0.21753
     0.62439    0.20276
     0.63992    0.18687
     0.65545    0.16999
     0.67096    0.15212
     0.68645    0.13315
     0.70189    0.11199
     0.71725    0.08701
     0.73250    0.06178
     0.74761    0.03854
     0.76256    0.01944
     0.77733    0.00710
     0.79190    0.00451
     0.80628    0.02170
     0.82046    0.05796
     0.83448    0.09918
     0.84838    0.14059
     0.86224    0.17855
     0.87613    0.20982
     0.89014    0.23105
     0.90439    0.22771
     0.91897    0.19113
     0.93371    0.14856
     0.94807    0.12007
     0.96137    0.13375
     0.97322    0.17886
     0.98365    0.25009
     0.99285    0.35197
     1.00000    0.61103
