#      x          Cp  
     1.00000    0.24639
     0.99212    0.09834
     0.98025    0.03887
     0.96680   -0.01854
     0.95293   -0.06349
     0.93892   -0.10399
     0.92490   -0.14040
     0.91087   -0.17275
     0.89681   -0.20352
     0.88276   -0.23273
     0.86869   -0.25984
     0.85461   -0.28571
     0.84051   -0.31132
     0.82642   -0.33613
     0.81232   -0.35918
     0.79820   -0.38111
     0.78405   -0.40323
     0.76990   -0.42579
     0.75575   -0.44794
     0.74160   -0.46909
     0.72743   -0.48986
     0.71324   -0.51081
     0.69905   -0.53213
     0.68484   -0.55364
     0.67064   -0.57556
     0.65645   -0.59766
     0.64225   -0.61967
     0.62804   -0.64140
     0.61383   -0.66333
     0.59960   -0.68588
     0.58537   -0.70915
     0.57115   -0.73309
     0.55692   -0.75800
     0.54271   -0.78355
     0.52851   -0.80937
     0.51431   -0.83517
     0.50011   -0.86115
     0.48592   -0.88725
     0.47172   -0.91352
     0.45753   -0.94007
     0.44333   -0.96689
     0.42914   -0.99408
     0.41495   -1.02160
     0.40075   -1.04928
     0.38653   -1.07809
     0.37230   -1.10919
     0.35808   -1.14320
     0.34385   -1.18010
     0.32965   -1.22102
     0.31546   -1.26559
     0.30131   -1.31401
     0.28719   -1.36663
     0.27311   -1.42293
     0.25908   -1.48338
     0.24510   -1.54786
     0.23118   -1.61754
     0.21734   -1.69245
     0.20359   -1.77093
     0.18993   -1.85261
     0.17635   -1.93769
     0.16288   -2.02730
     0.14953   -2.12097
     0.13631   -2.21986
     0.12323   -2.32390
     0.11034   -2.43569
     0.09766   -2.55423
     0.08521   -2.68033
     0.07304   -2.81696
     0.06124   -2.97220
     0.04988   -3.15066
     0.03914   -3.36479
     0.02944   -3.63736
     0.02115   -3.99859
     0.01461   -4.45776
     0.00995   -5.04505
     0.00665   -5.65621
     0.00419   -6.54553
     0.00239   -7.58242
     0.00117   -8.35853
     0.00041   -9.37354
     0.00004  -10.12343
     0.00005   -9.23220
     0.00046   -7.18713
     0.00132   -4.83202
     0.00274   -2.30727
     0.00477   -0.63886
     0.00741    0.20342
     0.01079    0.66216
     0.01532    0.89701
     0.02157    0.98864
     0.02996    0.99535
     0.04058    0.95854
     0.05284    0.90772
     0.06598    0.85836
     0.07961    0.81484
     0.09351    0.77737
     0.10757    0.74548
     0.12175    0.71818
     0.13602    0.69434
     0.15036    0.67341
     0.16475    0.65471
     0.17917    0.63770
     0.19360    0.62188
     0.20803    0.60744
     0.22245    0.59438
     0.23688    0.58238
     0.25132    0.57111
     0.26576    0.56060
     0.28019    0.55075
     0.29461    0.54162
     0.30902    0.53346
     0.32343    0.52648
     0.33785    0.52032
     0.35228    0.51481
     0.36671    0.50991
     0.38112    0.50565
     0.39551    0.50210
     0.40987    0.49901
     0.42420    0.49630
     0.43850    0.49382
     0.45277    0.49130
     0.46703    0.48833
     0.48128    0.48510
     0.49553    0.48179
     0.50978    0.47844
     0.52402    0.47492
     0.53825    0.47097
     0.55248    0.46660
     0.56673    0.46202
     0.58098    0.45741
     0.59524    0.45270
     0.60949    0.44773
     0.62375    0.44240
     0.63801    0.43683
     0.65229    0.43115
     0.66657    0.42539
     0.68086    0.41948
     0.69515    0.41338
     0.70944    0.40711
     0.72374    0.40071
     0.73805    0.39420
     0.75235    0.38757
     0.76667    0.38078
     0.78098    0.37386
     0.79530    0.36688
     0.80962    0.35987
     0.82394    0.35266
     0.83826    0.34509
     0.85259    0.33740
     0.86691    0.32994
     0.88121    0.32227
     0.89551    0.31375
     0.90983    0.30515
     0.92412    0.29727
     0.93837    0.28819
     0.95259    0.27862
     0.96662    0.27064
     0.98011    0.25796
     0.99205    0.24996
     1.00000    0.24639
