#      x          Cp  
     1.00000    0.53908
     0.99198    0.27997
     0.98162    0.21712
     0.96983    0.15946
     0.95641    0.10960
     0.94143    0.06189
     0.92546    0.01598
     0.90920   -0.02741
     0.89307   -0.06800
     0.87708   -0.10637
     0.86116   -0.14350
     0.84522   -0.17990
     0.82925   -0.21592
     0.81322   -0.25181
     0.79713   -0.28774
     0.78099   -0.32382
     0.76484   -0.36005
     0.74870   -0.39644
     0.73259   -0.43302
     0.71651   -0.46983
     0.70048   -0.50698
     0.68450   -0.54473
     0.66858   -0.58280
     0.65270   -0.62097
     0.63687   -0.65907
     0.62105   -0.69690
     0.60525   -0.73412
     0.58942   -0.76955
     0.57356   -0.80365
     0.55765   -0.83752
     0.54169   -0.87166
     0.52569   -0.90663
     0.50966   -0.94308
     0.49365   -0.98289
     0.47770   -1.02673
     0.46182   -1.07246
     0.44605   -1.11939
     0.43036   -1.16695
     0.41475   -1.21465
     0.39917   -1.26155
     0.38360   -1.30610
     0.36798   -1.35011
     0.35231   -1.39457
     0.33661   -1.44028
     0.32091   -1.48818
     0.30528   -1.53966
     0.28982   -1.60013
     0.27460   -1.66712
     0.25968   -1.73539
     0.24505   -1.80276
     0.23067   -1.86708
     0.21646   -1.92589
     0.20232   -1.97472
     0.18814   -1.99866
     0.17378   -2.01178
     0.15923   -2.02921
     0.14459   -2.07617
     0.13009   -2.16431
     0.11600   -2.26834
     0.10257   -2.38240
     0.08995   -2.50933
     0.07819   -2.64111
     0.06720   -2.76939
     0.05699   -2.89527
     0.04792   -3.04724
     0.04022   -3.24680
     0.03376   -3.43660
     0.02827   -3.60333
     0.02353   -3.73650
     0.01935   -3.80582
     0.01567   -3.80473
     0.01250   -3.77347
     0.00978   -3.78370
     0.00747   -3.91543
     0.00555   -4.08609
     0.00398   -4.27023
     0.00269   -4.45380
     0.00167   -4.62066
     0.00088   -4.74803
     0.00031   -4.80386
    -0.00006   -4.74554
    -0.00021   -4.52245
    -0.00015   -4.09246
     0.00014   -3.39117
     0.00067   -2.53171
     0.00143   -1.72728
     0.00243   -1.03595
     0.00367   -0.47234
     0.00519   -0.02800
     0.00700    0.31333
     0.00915    0.56878
     0.01167    0.75314
     0.01460    0.87910
     0.01797    0.95608
     0.02185    0.99247
     0.02633    0.99969
     0.03158    0.98815
     0.03784    0.96338
     0.04536    0.92950
     0.05437    0.88807
     0.06473    0.83938
     0.07610    0.78976
     0.08850    0.74757
     0.10224    0.71106
     0.11731    0.67647
     0.13325    0.64571
     0.14954    0.61784
     0.16584    0.58864
     0.18201    0.56004
     0.19803    0.53370
     0.21394    0.51185
     0.22985    0.49336
     0.24584    0.47719
     0.26195    0.46290
     0.27822    0.45004
     0.29465    0.43823
     0.31121    0.42665
     0.32786    0.41531
     0.34454    0.40448
     0.36123    0.39415
     0.37791    0.38429
     0.39457    0.37484
     0.41122    0.36563
     0.42786    0.35665
     0.44451    0.34793
     0.46116    0.33945
     0.47782    0.33117
     0.49447    0.32302
     0.51110    0.31474
     0.52768    0.30647
     0.54421    0.29854
     0.56068    0.29110
     0.57710    0.28435
     0.59349    0.27855
     0.60986    0.27455
     0.62625    0.27214
     0.64268    0.27052
     0.65916    0.26940
     0.67571    0.26849
     0.69232    0.26746
     0.70900    0.26553
     0.72573    0.26268
     0.74248    0.25955
     0.75922    0.25629
     0.77597    0.25305
     0.79271    0.24995
     0.80938    0.24708
     0.82595    0.24457
     0.84243    0.24254
     0.85882    0.24113
     0.87516    0.24050
     0.89150    0.24090
     0.90790    0.24266
     0.92436    0.24638
     0.94051    0.25289
     0.95565    0.26320
     0.96927    0.27838
     0.98126    0.30178
     0.99181    0.33269
     1.00000    0.53908
