#      x          Cp  
     1.00000    0.33886
     0.99212    0.20079
     0.98078    0.14443
     0.96740    0.10213
     0.95282    0.06808
     0.93771    0.03883
     0.92239    0.01308
     0.90700   -0.01034
     0.89158   -0.03225
     0.87615   -0.05305
     0.86072   -0.07291
     0.84528   -0.09224
     0.82985   -0.11123
     0.81441   -0.12987
     0.79898   -0.14844
     0.78355   -0.16721
     0.76813   -0.18643
     0.75271   -0.20644
     0.73729   -0.22722
     0.72189   -0.24890
     0.70652   -0.27110
     0.69118   -0.29358
     0.67587   -0.31631
     0.66058   -0.33916
     0.64531   -0.36215
     0.63006   -0.38529
     0.61482   -0.40859
     0.59961   -0.43194
     0.58441   -0.45536
     0.56922   -0.47889
     0.55403   -0.50252
     0.53886   -0.52639
     0.52370   -0.55066
     0.50856   -0.57524
     0.49342   -0.60001
     0.47830   -0.62491
     0.46319   -0.65003
     0.44809   -0.67535
     0.43300   -0.70098
     0.41791   -0.72701
     0.40283   -0.75354
     0.38775   -0.78073
     0.37269   -0.80870
     0.35763   -0.83756
     0.34258   -0.86747
     0.32755   -0.89859
     0.31252   -0.93120
     0.29752   -0.96545
     0.28253   -1.00163
     0.26757   -1.04003
     0.25263   -1.08120
     0.23772   -1.12560
     0.22284   -1.17379
     0.20801   -1.22647
     0.19324   -1.28459
     0.17854   -1.34922
     0.16392   -1.42228
     0.14941   -1.50507
     0.13506   -1.59978
     0.12090   -1.70795
     0.10697   -1.83280
     0.09337   -1.97897
     0.08022   -2.15198
     0.06773   -2.35952
     0.05619   -2.60807
     0.04590   -2.90053
     0.03707   -3.24147
     0.02973   -3.62238
     0.02373   -4.04605
     0.01883   -4.50837
     0.01481   -5.02984
     0.01148   -5.56025
     0.00872   -6.17318
     0.00643   -6.76278
     0.00450   -7.42370
     0.00292   -8.21824
     0.00170   -8.73599
     0.00083   -8.61410
     0.00029   -8.04762
     0.00003   -7.28849
     0.00003   -6.20709
     0.00029   -4.92091
     0.00083   -3.66652
     0.00170   -2.43083
     0.00292   -1.31029
     0.00450   -0.47105
     0.00643    0.08220
     0.00872    0.45481
     0.01148    0.70641
     0.01481    0.86403
     0.01883    0.95473
     0.02373    0.99465
     0.02973    0.99719
     0.03707    0.97223
     0.04590    0.92850
     0.05619    0.87420
     0.06773    0.81634
     0.08022    0.75974
     0.09337    0.70690
     0.10697    0.65879
     0.12090    0.61542
     0.13506    0.57647
     0.14941    0.54143
     0.16392    0.50963
     0.17854    0.48064
     0.19324    0.45399
     0.20801    0.42949
     0.22284    0.40687
     0.23772    0.38594
     0.25263    0.36653
     0.26757    0.34847
     0.28253    0.33163
     0.29752    0.31597
     0.31252    0.30138
     0.32755    0.28780
     0.34258    0.27513
     0.35763    0.26334
     0.37269    0.25238
     0.38775    0.24222
     0.40283    0.23282
     0.41791    0.22414
     0.43300    0.21620
     0.44809    0.20897
     0.46319    0.20245
     0.47830    0.19663
     0.49342    0.19148
     0.50856    0.18698
     0.52370    0.18309
     0.53886    0.17968
     0.55403    0.17670
     0.56922    0.17417
     0.58441    0.17216
     0.59961    0.17063
     0.61482    0.16958
     0.63006    0.16899
     0.64531    0.16879
     0.66058    0.16893
     0.67587    0.16941
     0.69118    0.17021
     0.70652    0.17123
     0.72189    0.17241
     0.73729    0.17356
     0.75271    0.17437
     0.76813    0.17491
     0.78355    0.17510
     0.79898    0.17512
     0.81441    0.17509
     0.82985    0.17516
     0.84528    0.17549
     0.86072    0.17603
     0.87615    0.17685
     0.89158    0.17820
     0.90700    0.18009
     0.92239    0.18274
     0.93771    0.18664
     0.95282    0.19261
     0.96740    0.20173
     0.98078    0.21669
     0.99212    0.24554
     1.00000    0.33886
