#      x          Cp  
     1.00000    0.97704
     0.99948    0.60693
     0.99826   -0.32503
     0.99675   -0.92641
     0.99506   -1.17270
     0.99319   -1.19269
     0.99111   -1.10256
     0.98884   -0.96731
     0.98637   -0.81947
     0.98364   -0.67007
     0.98059   -0.52353
     0.97716   -0.38157
     0.97323   -0.24294
     0.96864   -0.10516
     0.96280    0.04404
     0.95074    0.28015
     0.93812    0.37261
     0.93007    0.37064
     0.92299    0.33852
     0.91565    0.27152
     0.90510    0.11653
     0.89232   -0.02151
     0.88284   -0.05890
     0.87433   -0.08059
     0.86612   -0.09116
     0.85785   -0.09535
     0.84926   -0.09489
     0.84002   -0.09079
     0.82973   -0.08366
     0.81766   -0.07398
     0.80188   -0.06433
     0.78504   -0.07213
     0.77037   -0.08867
     0.75634   -0.10892
     0.74218   -0.13284
     0.72729   -0.16054
     0.71107   -0.19233
     0.69340   -0.22502
     0.67631   -0.25282
     0.65955   -0.27949
     0.64271   -0.30647
     0.62550   -0.33496
     0.60780   -0.36605
     0.58975   -0.40195
     0.57188   -0.44166
     0.55406   -0.48374
     0.53617   -0.52794
     0.51811   -0.57389
     0.50010   -0.62002
     0.48220   -0.66427
     0.46434   -0.70847
     0.44646   -0.75384
     0.42854   -0.80137
     0.41057   -0.85219
     0.39257   -0.91027
     0.37458   -0.97674
     0.35662   -1.04678
     0.33873   -1.11827
     0.32093   -1.18884
     0.30323   -1.25547
     0.28564   -1.31177
     0.26814   -1.35854
     0.25064   -1.39357
     0.23298   -1.40478
     0.21505   -1.41510
     0.19695   -1.46044
     0.17905   -1.57608
     0.16158   -1.71162
     0.14448   -1.82779
     0.12748   -1.90449
     0.11045   -1.97640
     0.09354   -2.07042
     0.07699   -2.20275
     0.06050   -2.36600
     0.04451   -2.63268
     0.03034   -3.02409
     0.01648   -3.99678
     0.00783   -5.04681
     0.00329   -6.00598
     0.00139   -5.67209
     0.00011  -15.34850
     0.00008  -14.59502
     0.00154   -2.41308
     0.00413   -0.61735
     0.01051    0.78811
     0.02411    1.00000
     0.03925    0.95345
     0.05616    0.87868
     0.07405    0.80701
     0.09171    0.74457
     0.10945    0.68956
     0.12723    0.64211
     0.14497    0.60258
     0.16272    0.57402
     0.18056    0.55354
     0.19853    0.53512
     0.21656    0.51016
     0.23457    0.48278
     0.25257    0.45825
     0.27059    0.44109
     0.28871    0.42726
     0.30693    0.41405
     0.32511    0.40018
     0.34327    0.38653
     0.36142    0.37302
     0.37960    0.35944
     0.39783    0.34542
     0.41601    0.33004
     0.43411    0.31408
     0.45214    0.29817
     0.47014    0.28274
     0.48813    0.26827
     0.50619    0.25619
     0.52437    0.24725
     0.54246    0.23961
     0.56042    0.23247
     0.57836    0.22499
     0.59645    0.21600
     0.61454    0.20261
     0.63208    0.18707
     0.64912    0.17137
     0.66585    0.15628
     0.68258    0.14257
     0.69980    0.13207
     0.71740    0.12970
     0.73335    0.13085
     0.74813    0.13239
     0.76235    0.13295
     0.77667    0.13105
     0.79210    0.12453
     0.80972    0.09968
     0.82360    0.06862
     0.83491    0.04242
     0.84479    0.02025
     0.85381    0.00219
     0.86232   -0.01127
     0.87061   -0.01896
     0.87898   -0.01817
     0.88790   -0.00307
     0.89849    0.05055
     0.91201    0.23842
     0.92012    0.33581
     0.92743    0.38691
     0.93522    0.40683
     0.94579    0.37989
     0.96050    0.16600
     0.96703    0.01646
     0.97205   -0.11575
     0.97625   -0.24696
     0.97987   -0.37947
     0.98307   -0.51496
     0.98592   -0.65138
     0.98849   -0.78434
     0.99085   -0.90282
     0.99300   -0.97743
     0.99493   -0.95210
     0.99667   -0.72941
     0.99822   -0.20452
     0.99947    0.62813
     1.00000    0.97704
