#      x          Cp  
     1.00000    0.49983
     0.99759    0.36312
     0.99039    0.26172
     0.97847    0.17113
     0.96194    0.08648
     0.94096   -0.02781
     0.91574   -0.10213
     0.88651   -0.20251
     0.85355   -0.26545
     0.81720   -0.33736
     0.77779   -0.42522
     0.73570   -0.49281
     0.69134   -0.55903
     0.64514   -0.62718
     0.59755   -0.69494
     0.54901   -0.75923
     0.50000   -0.82850
     0.45099   -0.89464
     0.40246   -0.96388
     0.35486   -1.02847
     0.30866   -1.10868
     0.26430   -1.20969
     0.22222   -1.32146
     0.18280   -1.46790
     0.14645   -1.67695
     0.11349   -1.91776
     0.08427   -2.22541
     0.05904   -2.77518
     0.03806   -3.56730
     0.02153   -4.48797
     0.00961   -5.88293
     0.00241   -7.54891
     0.00000   -4.69458
     0.00241   -1.57677
     0.00961    0.66995
     0.02153    0.99257
     0.03806    0.95988
     0.05904    0.86113
     0.08427    0.77715
     0.11349    0.68610
     0.14645    0.61996
     0.18280    0.55395
     0.22222    0.49974
     0.26430    0.44898
     0.30866    0.40422
     0.35486    0.36272
     0.40246    0.32518
     0.45099    0.29516
     0.50000    0.26928
     0.54901    0.24511
     0.59755    0.23430
     0.64514    0.22193
     0.69134    0.21767
     0.73570    0.21576
     0.77779    0.21249
     0.81720    0.20462
     0.85355    0.20558
     0.88651    0.21323
     0.91574    0.22619
     0.94096    0.24232
     0.96194    0.26356
     0.97847    0.29957
     0.99039    0.33824
     0.99759    0.40055
     1.00000    0.49983
