#      x          Cp  
     1.00000    0.48967
     0.99759    0.35737
     0.99039    0.25555
     0.97847    0.16537
     0.96194    0.06653
     0.94096   -0.02887
     0.91574   -0.12583
     0.88651   -0.22347
     0.85355   -0.29501
     0.81720   -0.35159
     0.77779   -0.43735
     0.73570   -0.50597
     0.69134   -0.57278
     0.64514   -0.64159
     0.59755   -0.70851
     0.54901   -0.77438
     0.50000   -0.84321
     0.45099   -0.90954
     0.40246   -0.97857
     0.35486   -1.04278
     0.30866   -1.12140
     0.26430   -1.22208
     0.22222   -1.33940
     0.18280   -1.49544
     0.14645   -1.73798
     0.11349   -2.02685
     0.08427   -2.27559
     0.05904   -2.80923
     0.03806   -3.58242
     0.02153   -4.43822
     0.00961   -6.38626
     0.00241   -7.12538
     0.00000   -4.33123
     0.00241   -1.35562
     0.00961    0.62130
     0.02153    0.99532
     0.03806    0.95334
     0.05904    0.85479
     0.08427    0.77016
     0.11349    0.69578
     0.14645    0.63340
     0.18280    0.56759
     0.22222    0.51666
     0.26430    0.46688
     0.30866    0.42334
     0.35486    0.38242
     0.40246    0.34437
     0.45099    0.31387
     0.50000    0.28838
     0.54901    0.26524
     0.59755    0.25255
     0.64514    0.24412
     0.69134    0.23797
     0.73570    0.23333
     0.77779    0.22653
     0.81720    0.21892
     0.85355    0.21996
     0.88651    0.22584
     0.91574    0.23551
     0.94096    0.24993
     0.96194    0.26859
     0.97847    0.29531
     0.99039    0.33362
     0.99759    0.39531
     1.00000    0.48967
