#      x          Cp  
     1.00000    0.45088
     0.99233    0.24904
     0.98205    0.17586
     0.97008    0.10547
     0.95644    0.04116
     0.94144   -0.02223
     0.92548   -0.08451
     0.90917   -0.15778
     0.89333   -0.24173
     0.87798   -0.30168
     0.86255   -0.33615
     0.84657   -0.35821
     0.82983   -0.37162
     0.81241   -0.39059
     0.79475   -0.42476
     0.77722   -0.46031
     0.75977   -0.49059
     0.74226   -0.51866
     0.72465   -0.54642
     0.70698   -0.57396
     0.68931   -0.60087
     0.67162   -0.62710
     0.65389   -0.65290
     0.63615   -0.67858
     0.61839   -0.70417
     0.60063   -0.72940
     0.58285   -0.75404
     0.56506   -0.77833
     0.54726   -0.80267
     0.52945   -0.82740
     0.51165   -0.85217
     0.49385   -0.87670
     0.47605   -0.90091
     0.45824   -0.92521
     0.44043   -0.95008
     0.42264   -0.97539
     0.40486   -1.00045
     0.38704   -1.02401
     0.36915   -1.04756
     0.35118   -1.07284
     0.33315   -1.10115
     0.31510   -1.13242
     0.29704   -1.16755
     0.27899   -1.20715
     0.26101   -1.25228
     0.24316   -1.30437
     0.22550   -1.36300
     0.20801   -1.42781
     0.19077   -1.50480
     0.17409   -1.61242
     0.15836   -1.74639
     0.14374   -1.88574
     0.13015   -2.02393
     0.11750   -2.15479
     0.10567   -2.26109
     0.09461   -2.35644
     0.08435   -2.46553
     0.07496   -2.60813
     0.06650   -2.77615
     0.05900   -2.98145
     0.05239   -3.26169
     0.04657   -3.54696
     0.04140   -3.80490
     0.03674   -4.00109
     0.03250   -4.12318
     0.02862   -4.22581
     0.02504   -4.32949
     0.02176   -4.45948
     0.01873   -4.66713
     0.01595   -4.90109
     0.01341   -5.13503
     0.01108   -5.36584
     0.00896   -5.64692
     0.00704   -6.01342
     0.00534   -6.34528
     0.00389   -6.56554
     0.00269   -6.57922
     0.00174   -6.19208
     0.00102   -5.57662
     0.00051   -4.91604
     0.00018   -4.26909
     0.00001   -3.66936
     0.00000   -3.14377
     0.00014   -2.71293
     0.00044   -2.30672
     0.00091   -1.89621
     0.00158   -1.46691
     0.00247   -1.00386
     0.00361   -0.51463
     0.00498   -0.08848
     0.00657    0.25411
     0.00838    0.51582
     0.01038    0.70776
     0.01257    0.84156
     0.01496    0.92702
     0.01757    0.97519
     0.02039    0.99639
     0.02345    0.99945
     0.02678    0.99092
     0.03042    0.97533
     0.03443    0.95599
     0.03888    0.93462
     0.04385    0.91059
     0.04940    0.88468
     0.05562    0.85770
     0.06264    0.83113
     0.07069    0.80612
     0.08008    0.78254
     0.09112    0.75736
     0.10393    0.72952
     0.11824    0.70272
     0.13355    0.67922
     0.14943    0.65490
     0.16580    0.62461
     0.18277    0.59418
     0.20034    0.57176
     0.21847    0.55308
     0.23700    0.53220
     0.25576    0.51026
     0.27466    0.49042
     0.29373    0.47289
     0.31293    0.45602
     0.33217    0.43910
     0.35135    0.42265
     0.37041    0.40667
     0.38934    0.39141
     0.40816    0.37733
     0.42692    0.36472
     0.44566    0.35318
     0.46441    0.34273
     0.48320    0.33321
     0.50201    0.32430
     0.52083    0.31575
     0.53963    0.30787
     0.55843    0.30095
     0.57722    0.29511
     0.59607    0.29045
     0.61505    0.28767
     0.63421    0.28560
     0.65354    0.28235
     0.67292    0.27749
     0.69228    0.27265
     0.71166    0.26858
     0.73106    0.26476
     0.75045    0.26049
     0.76977    0.25627
     0.78902    0.25312
     0.80827    0.25103
     0.82751    0.24927
     0.84668    0.24802
     0.86578    0.24861
     0.88477    0.25058
     0.90349    0.25240
     0.92165    0.25538
     0.93891    0.26047
     0.95483    0.26831
     0.96909    0.28148
     0.98150    0.30180
     0.99211    0.33068
     1.00000    0.45088
