#      x          Cp  
     1.00000    0.48644
     0.94992   -0.06417
     0.89986   -0.19296
     0.84981   -0.31465
     0.79977   -0.38952
     0.74973   -0.47088
     0.69970   -0.53545
     0.64968   -0.60225
     0.59966   -0.65034
     0.54964   -0.72615
     0.49963   -0.77627
     0.44963   -0.90602
     0.39963   -0.92668
     0.34963   -1.02867
     0.29965   -1.11448
     0.24966   -1.21230
     0.19969   -1.41014
     0.17970   -1.40012
     0.15971   -1.56572
     0.13973   -1.65721
     0.11974   -1.71155
     0.09976   -2.09033
     0.07978   -2.26449
     0.05981   -2.72254
     0.03984   -3.03578
     0.01988   -4.90474
     0.00992   -5.73479
     0.00743   -6.13990
     0.00495   -6.60070
     0.00247   -6.98605
     0.00000   -7.84005
     0.00256   -1.81073
     0.00507   -0.43336
     0.00758    0.24090
     0.01009    0.56433
     0.02012    0.95733
     0.04016    0.98079
     0.06019    0.90050
     0.08022    0.81443
     0.10024    0.73001
     0.12026    0.68652
     0.14028    0.61818
     0.16029    0.56411
     0.18031    0.53192
     0.20032    0.46655
     0.25034    0.39059
     0.30036    0.31638
     0.35037    0.25517
     0.40037    0.20945
     0.45036    0.17365
     0.50035    0.15270
     0.55033    0.14032
     0.60030    0.13342
     0.65027    0.15042
     0.70023    0.16784
     0.75019    0.18293
     0.80015    0.21319
     0.85011    0.25234
     0.90007    0.28531
     0.95003    0.31348
     1.00000    0.48644
