#      x          Cp  
     1.00000    0.48247
     0.94992   -0.05522
     0.89985   -0.17958
     0.84980   -0.33519
     0.79975   -0.42421
     0.74971   -0.51249
     0.69968   -0.57804
     0.64965   -0.64084
     0.59964   -0.69331
     0.54962   -0.76267
     0.49961   -0.83320
     0.44961   -0.89236
     0.39961   -0.96100
     0.34962   -1.04301
     0.29963   -1.13016
     0.24965   -1.23781
     0.19967   -1.43056
     0.17969   -1.42643
     0.15970   -1.58632
     0.13971   -1.69670
     0.11973   -1.80181
     0.09975   -1.98971
     0.07977   -2.35762
     0.05980   -2.73460
     0.03984   -3.08932
     0.01988   -4.86447
     0.00992   -5.61294
     0.00743   -6.61931
     0.00495   -6.23787
     0.00247   -6.98136
     0.00000   -8.04847
     0.00256   -1.61827
     0.00507   -0.53874
     0.00759    0.26021
     0.01009    0.58360
     0.02012    0.97203
     0.04016    0.96874
     0.06018    0.88276
     0.08020    0.79912
     0.10022    0.72350
     0.12023    0.68174
     0.14024    0.62640
     0.16025    0.57833
     0.18025    0.55235
     0.20026    0.50530
     0.25027    0.43595
     0.30028    0.38220
     0.35028    0.33207
     0.40028    0.29447
     0.45027    0.26008
     0.50026    0.23725
     0.55025    0.21818
     0.60023    0.20593
     0.65021    0.19743
     0.70018    0.21358
     0.75015    0.21783
     0.80012    0.23188
     0.85009    0.23719
     0.90006    0.25630
     0.95003    0.26881
     1.00000    0.48247
