#      x          Cp  
     1.00000    0.49613
     0.99239    0.27652
     0.98249    0.20226
     0.97115    0.13182
     0.95819    0.06706
     0.94381   -0.00145
     0.92880   -0.07430
     0.91392   -0.14364
     0.89940   -0.20307
     0.88498   -0.24371
     0.87032   -0.27548
     0.85528   -0.30422
     0.83996   -0.33915
     0.82463   -0.37904
     0.80946   -0.41789
     0.79442   -0.45156
     0.77938   -0.47822
     0.76425   -0.50197
     0.74899   -0.52473
     0.73368   -0.54890
     0.71839   -0.57210
     0.70312   -0.59272
     0.68780   -0.60697
     0.67232   -0.61779
     0.65667   -0.62905
     0.64090   -0.64688
     0.62518   -0.67090
     0.60956   -0.69586
     0.59404   -0.71802
     0.57852   -0.73578
     0.56293   -0.75271
     0.54728   -0.77073
     0.53160   -0.79183
     0.51594   -0.81398
     0.50033   -0.83626
     0.48475   -0.85774
     0.46919   -0.87868
     0.45363   -0.89910
     0.43806   -0.91820
     0.42247   -0.93670
     0.40685   -0.95559
     0.39119   -0.97581
     0.37550   -0.99787
     0.35979   -1.02188
     0.34411   -1.04940
     0.32851   -1.08092
     0.31300   -1.11406
     0.29753   -1.14688
     0.28202   -1.17728
     0.26643   -1.20977
     0.25082   -1.24833
     0.23539   -1.30121
     0.22026   -1.35826
     0.20538   -1.41198
     0.19050   -1.42595
     0.17549   -1.46486
     0.16071   -1.59263
     0.14613   -1.67185
     0.13164   -1.77703
     0.11764   -1.87801
     0.10376   -1.88780
     0.08991   -2.06127
     0.07692   -2.36257
     0.06538   -2.67970
     0.05494   -2.87006
     0.04516   -2.96482
     0.03653   -3.31259
     0.02956   -3.91246
     0.02400   -4.46013
     0.01945   -4.89074
     0.01564   -5.16767
     0.01242   -5.41237
     0.00968   -5.75242
     0.00738   -6.31774
     0.00546   -6.67241
     0.00389   -6.68281
     0.00259   -6.60294
     0.00151   -7.03649
     0.00069   -7.55987
     0.00014   -7.79106
    -0.00010   -7.13045
    -0.00007   -5.85473
     0.00021   -4.56933
     0.00074   -3.40865
     0.00151   -2.42409
     0.00255   -1.63111
     0.00385   -1.02865
     0.00550   -0.35097
     0.00757    0.26346
     0.00998    0.54368
     0.01280    0.75461
     0.01617    0.89209
     0.02026    0.96655
     0.02529    0.99674
     0.03148    0.99678
     0.03896    0.97509
     0.04775    0.93849
     0.05792    0.89134
     0.06943    0.83970
     0.08198    0.78857
     0.09512    0.73965
     0.10875    0.70367
     0.12316    0.67417
     0.13799    0.63305
     0.15274    0.59602
     0.16752    0.57207
     0.18262    0.55464
     0.19794    0.52421
     0.21331    0.49897
     0.22878    0.47820
     0.24439    0.45943
     0.26011    0.44154
     0.27589    0.42431
     0.29168    0.40813
     0.30746    0.39300
     0.32325    0.37886
     0.33906    0.36551
     0.35490    0.35275
     0.37074    0.34041
     0.38659    0.32861
     0.40243    0.31727
     0.41827    0.30632
     0.43410    0.29585
     0.44992    0.28584
     0.46568    0.27618
     0.48138    0.26731
     0.49705    0.25973
     0.51277    0.25487
     0.52862    0.25143
     0.54460    0.24780
     0.56059    0.24096
     0.57645    0.23210
     0.59213    0.22403
     0.60769    0.21980
     0.62328    0.21974
     0.63900    0.22110
     0.65486    0.22237
     0.67079    0.22251
     0.68673    0.22269
     0.70265    0.22334
     0.71858    0.22484
     0.73455    0.22680
     0.75057    0.22905
     0.76660    0.23149
     0.78263    0.23390
     0.79865    0.23595
     0.81469    0.23700
     0.83077    0.23763
     0.84688    0.23832
     0.86294    0.23927
     0.87887    0.24092
     0.89473    0.24380
     0.91065    0.24925
     0.92672    0.25737
     0.94254    0.26787
     0.95736    0.28064
     0.97056    0.29658
     0.98211    0.31954
     0.99220    0.35141
     1.00000    0.49613
