#      x          Cp  
     1.00000    0.38522
     0.97009    0.16436
     0.93581    0.02401
     0.91504   -0.01030
     0.89827   -0.04065
     0.88361   -0.06399
     0.87029   -0.08401
     0.85790   -0.10167
     0.84621   -0.11767
     0.83504   -0.13240
     0.82430   -0.14616
     0.81389   -0.15915
     0.80376   -0.17152
     0.79385   -0.18339
     0.78413   -0.19484
     0.77455   -0.20595
     0.76509   -0.21678
     0.75573   -0.22740
     0.74643   -0.23783
     0.73720   -0.24812
     0.72799   -0.25831
     0.71881   -0.26844
     0.70962   -0.27853
     0.70042   -0.28860
     0.69119   -0.29871
     0.68192   -0.30888
     0.67258   -0.31911
     0.66317   -0.32947
     0.65367   -0.33997
     0.64407   -0.35065
     0.63433   -0.36155
     0.62445   -0.37271
     0.61440   -0.38417
     0.60416   -0.39599
     0.59371   -0.40821
     0.58301   -0.42092
     0.57204   -0.43419
     0.56074   -0.44810
     0.54909   -0.46280
     0.53702   -0.47839
     0.52447   -0.49507
     0.51136   -0.51305
     0.49759   -0.53262
     0.48304   -0.55417
     0.46755   -0.57822
     0.45090   -0.60553
     0.43277   -0.63723
     0.41273   -0.67508
     0.39007   -0.72217
     0.36362   -0.78412
     0.33121   -0.87469
     0.28819   -1.02342
     0.23140   -1.38780
     0.18439   -2.01091
     0.14697   -2.59133
     0.11613   -3.02690
     0.09055   -3.35117
     0.06965   -3.70160
     0.05271   -3.93633
     0.03895   -4.06893
     0.02799   -4.19801
     0.01944   -3.95177
     0.01271   -3.37402
     0.00739   -3.05296
     0.00351   -2.89497
     0.00108   -2.60821
     0.00003   -2.06733
     0.00045   -1.11725
     0.00233   -0.21373
     0.00569    0.40880
     0.01066    0.77975
     0.01723    0.95833
     0.02556    0.99900
     0.03600    0.94596
     0.04901    0.83773
     0.06500    0.70071
     0.08459    0.55433
     0.10852    0.41175
     0.13750    0.31387
     0.17322    0.29263
     0.21836    0.32522
     0.27447    0.32027
     0.31781    0.30516
     0.34779    0.29675
     0.37115    0.29012
     0.39063    0.28481
     0.40755    0.28033
     0.42265    0.27645
     0.43637    0.27302
     0.44901    0.26994
     0.46079    0.26714
     0.47185    0.26457
     0.48232    0.26220
     0.49227    0.25999
     0.50178    0.25792
     0.51091    0.25598
     0.51970    0.25414
     0.52819    0.25241
     0.53642    0.25075
     0.54440    0.24918
     0.55217    0.24768
     0.55975    0.24624
     0.56714    0.24486
     0.57438    0.24354
     0.58147    0.24227
     0.58842    0.24104
     0.59525    0.23986
     0.60197    0.23872
     0.60858    0.23762
     0.61509    0.23655
     0.62152    0.23552
     0.62787    0.23452
     0.63414    0.23355
     0.64035    0.23260
     0.64649    0.23169
     0.65258    0.23080
     0.65861    0.22994
     0.66460    0.22910
     0.67055    0.22830
     0.67646    0.22750
     0.68234    0.22674
     0.68818    0.22600
     0.69401    0.22527
     0.69981    0.22457
     0.70560    0.22389
     0.71138    0.22323
     0.71715    0.22260
     0.72291    0.22198
     0.72868    0.22138
     0.73445    0.22081
     0.74023    0.22025
     0.74602    0.21973
     0.75184    0.21922
     0.75767    0.21873
     0.76354    0.21827
     0.76944    0.21784
     0.77539    0.21743
     0.78138    0.21706
     0.78743    0.21670
     0.79354    0.21639
     0.79973    0.21611
     0.80600    0.21587
     0.81237    0.21567
     0.81884    0.21552
     0.82545    0.21543
     0.83219    0.21540
     0.83910    0.21544
     0.84620    0.21557
     0.85353    0.21580
     0.86113    0.21617
     0.86905    0.21669
     0.87736    0.21742
     0.88616    0.21842
     0.89561    0.21981
     0.90594    0.22180
     0.91755    0.22424
     0.93130    0.23102
     0.94981    0.22992
     0.98360    0.38892
     0.99890    0.38522
