#      x          Cp  
     1.00000    0.40411
     0.97739    0.13656
     0.94980    0.03491
     0.91969   -0.05828
     0.87454   -0.20791
     0.81435   -0.38882
     0.75419   -0.55517
     0.69407   -0.67018
     0.63398   -0.75554
     0.57393   -0.79424
     0.51390   -0.84916
     0.45389   -0.90413
     0.39390   -0.97414
     0.33403   -1.06651
     0.27407   -1.21149
     0.21413   -1.40960
     0.15422   -1.71987
     0.11431   -2.06081
     0.08689   -2.44064
     0.06447   -2.79349
     0.04706   -3.28534
     0.03464   -3.59461
     0.02471   -3.87593
     0.01728   -4.18344
     0.01233   -5.01651
     0.00739   -6.05587
     0.00248   -7.47843
     0.00083   -7.35242
     0.00000   -6.55152
     0.00118   -3.77711
     0.00271   -1.91456
     0.00776    0.30428
     0.01279    0.80199
     0.01781    0.93769
     0.02533    0.99598
     0.03537    0.99334
     0.04790    0.95620
     0.06545    0.89589
     0.08800    0.81769
     0.11555    0.73934
     0.15562    0.64466
     0.21571    0.53263
     0.27578    0.43931
     0.33583    0.35532
     0.39577    0.27842
     0.45577    0.21773
     0.51574    0.18722
     0.57567    0.18593
     0.63558    0.20664
     0.69547    0.23297
     0.75536    0.25915
     0.81526    0.28185
     0.87517    0.29454
     0.92012    0.30982
     0.95009    0.30965
     0.97756    0.33085
     1.00000    0.40411
