#      x          Cp  
     1.00000    0.62445
     0.99347    0.10775
     0.98477    0.00543
     0.97442   -0.03768
     0.96191   -0.05964
     0.94784   -0.12117
     0.93317   -0.18954
     0.91814   -0.24900
     0.90280   -0.30691
     0.88734   -0.37096
     0.87192   -0.43717
     0.85654   -0.50497
     0.84121   -0.57367
     0.82594   -0.64273
     0.81069   -0.71097
     0.79543   -0.77899
     0.78018   -0.84788
     0.76494   -0.91728
     0.74969   -0.98596
     0.73442   -1.05376
     0.71911   -1.12257
     0.70379   -1.19371
     0.68848   -1.26597
     0.67318   -1.33859
     0.65789   -1.41145
     0.64260   -1.48449
     0.62731   -1.55764
     0.61204   -1.63052
     0.59678   -1.70296
     0.58154   -1.77447
     0.56631   -1.84402
     0.55107   -1.91045
     0.53583   -1.97510
     0.52059   -2.03880
     0.50536   -2.10098
     0.49015   -2.15963
     0.47494   -2.21359
     0.45970   -2.26477
     0.44446   -2.31596
     0.42925   -2.36608
     0.41407   -2.41290
     0.39891   -2.45444
     0.38375   -2.49325
     0.36861   -2.53118
     0.35349   -2.56812
     0.33843   -2.60281
     0.32340   -2.63489
     0.30843   -2.66550
     0.29351   -2.69556
     0.27865   -2.72497
     0.26389   -2.75521
     0.24924   -2.78605
     0.23471   -2.81586
     0.22032   -2.84443
     0.20607   -2.87325
     0.19201   -2.90583
     0.17818   -2.93764
     0.16459   -2.96466
     0.15123   -2.98738
     0.13813   -3.00883
     0.12533   -3.02736
     0.11284   -3.03928
     0.10067   -3.04446
     0.08886   -3.04401
     0.07743   -3.04143
     0.06650   -3.04837
     0.05621   -3.06658
     0.04676   -3.10572
     0.03832   -3.15667
     0.03103   -3.22141
     0.02487   -3.29474
     0.01974   -3.39357
     0.01553   -3.50003
     0.01212   -3.63147
     0.00934   -3.78926
     0.00708   -3.94089
     0.00521   -4.11861
     0.00366   -4.36421
     0.00241   -4.59496
     0.00145   -4.78800
     0.00074   -5.02029
     0.00027   -5.29672
     0.00003   -5.42776
     0.00003   -5.35046
     0.00030   -5.08347
     0.00089   -4.47514
     0.00189   -3.17715
     0.00329   -1.88379
     0.00504   -0.89867
     0.00709   -0.18463
     0.00945    0.31641
     0.01215    0.63657
     0.01523    0.81876
     0.01873    0.92098
     0.02276    0.97548
     0.02744    0.99753
     0.03297    0.99811
     0.03967    0.98439
     0.04791    0.96126
     0.05803    0.93283
     0.07030    0.90239
     0.08459    0.87247
     0.10024    0.84448
     0.11662    0.81855
     0.13337    0.79636
     0.15033    0.77756
     0.16737    0.76135
     0.18439    0.74767
     0.20135    0.73618
     0.21824    0.72618
     0.23509    0.71745
     0.25190    0.70989
     0.26867    0.70327
     0.28540    0.69739
     0.30211    0.69213
     0.31880    0.68740
     0.33549    0.68316
     0.35216    0.67941
     0.36881    0.67611
     0.38544    0.67312
     0.40205    0.67041
     0.41866    0.66798
     0.43525    0.66586
     0.45181    0.66398
     0.46835    0.66232
     0.48486    0.66083
     0.50133    0.65948
     0.51777    0.65821
     0.53417    0.65694
     0.55054    0.65562
     0.56689    0.65424
     0.58320    0.65283
     0.59947    0.65133
     0.61571    0.64961
     0.63192    0.64767
     0.64811    0.64555
     0.66426    0.64327
     0.68037    0.64067
     0.69646    0.63745
     0.71256    0.63377
     0.72868    0.62995
     0.74477    0.62604
     0.76085    0.62184
     0.77692    0.61731
     0.79297    0.61281
     0.80896    0.60868
     0.82484    0.60436
     0.84062    0.59953
     0.85629    0.59431
     0.87183    0.58882
     0.88719    0.58243
     0.90235    0.57483
     0.91726    0.56630
     0.93180    0.55732
     0.94565    0.54837
     0.95871    0.52828
     0.97103    0.48307
     0.98240    0.41607
     0.99236    0.35858
     1.00000    0.62445
