#      x          Cp  
     1.00000    0.69834
     0.99417   -0.15986
     0.98779    0.34588
     0.98147   -0.01228
     0.97422   -0.09220
     0.96513   -0.00134
     0.95408   -0.04658
     0.94110   -0.04496
     0.92603   -0.04541
     0.90972   -0.06235
     0.89294   -0.07775
     0.87590   -0.07667
     0.85858   -0.09121
     0.84110   -0.10600
     0.82373   -0.11466
     0.80650   -0.13814
     0.78922   -0.16191
     0.77201   -0.16651
     0.75490   -0.17764
     0.73768   -0.20631
     0.72028   -0.22830
     0.70298   -0.23915
     0.68580   -0.26009
     0.66849   -0.29273
     0.65103   -0.31786
     0.63369   -0.33457
     0.61651   -0.36083
     0.59923   -0.39875
     0.58176   -0.43440
     0.56433   -0.46504
     0.54704   -0.49989
     0.52983   -0.54188
     0.51258   -0.59158
     0.49523   -0.64992
     0.47783   -0.70606
     0.46056   -0.75581
     0.44348   -0.82205
     0.42648   -0.91386
     0.40951   -0.99766
     0.39270   -1.06594
     0.37615   -1.17390
     0.35986   -1.32801
     0.34418   -1.42867
     0.32957   -1.52318
     0.31607   -1.87043
     0.30341   -2.43165
     0.29145   -2.94322
     0.28002   -3.32297
     0.26856   -3.38772
     0.25633   -3.25634
     0.24325   -3.21208
     0.22985   -3.20812
     0.21632   -3.19926
     0.20267   -3.18195
     0.18897   -3.15277
     0.17526   -3.10940
     0.16156   -3.06674
     0.14797   -3.03680
     0.13462   -3.03044
     0.12165   -3.01426
     0.10904   -2.95787
     0.09662   -2.85853
     0.08463   -2.87805
     0.07342   -2.82880
     0.06273   -2.72533
     0.05282   -2.69126
     0.04383   -2.58118
     0.03582   -2.54562
     0.02901   -2.50039
     0.02327   -2.35729
     0.01848   -2.32381
     0.01459   -2.29644
     0.01146   -2.19640
     0.00892   -2.08464
     0.00686   -1.98174
     0.00517   -1.89205
     0.00379   -1.86162
     0.00270   -1.82976
     0.00188   -1.70903
     0.00129   -1.41853
     0.00082   -1.18363
     0.00037   -1.19239
    -0.00001   -1.77229
    -0.00006   -1.37204
     0.00013   -0.86075
     0.00041   -0.74861
     0.00090   -0.65097
     0.00179   -0.21507
     0.00314    0.28306
     0.00488    0.64085
     0.00699    0.86391
     0.00945    0.96987
     0.01226    0.99947
     0.01544    0.99136
     0.01903    0.96565
     0.02310    0.92826
     0.02773    0.88508
     0.03308    0.84703
     0.03942    0.81367
     0.04696    0.77811
     0.05577    0.74916
     0.06604    0.73298
     0.07780    0.73317
     0.09069    0.73090
     0.10478    0.70935
     0.11993    0.70159
     0.13529    0.71147
     0.15003    0.72517
     0.16458    0.72454
     0.17946    0.72012
     0.19455    0.71658
     0.20961    0.71211
     0.22462    0.70595
     0.23972    0.69494
     0.25513    0.68020
     0.27094    0.66278
     0.28715    0.64322
     0.30373    0.62274
     0.32058    0.60212
     0.33759    0.58158
     0.35466    0.56033
     0.37188    0.53499
     0.38936    0.50623
     0.40681    0.47624
     0.42397    0.44966
     0.44099    0.42889
     0.45806    0.41171
     0.47527    0.39866
     0.49263    0.38834
     0.51010    0.38059
     0.52762    0.37163
     0.54514    0.35434
     0.56262    0.33363
     0.57997    0.31510
     0.59718    0.30037
     0.61448    0.29429
     0.63211    0.29128
     0.65000    0.28385
     0.66793    0.27447
     0.68585    0.26473
     0.70380    0.25384
     0.72174    0.24139
     0.73962    0.22790
     0.75740    0.21342
     0.77518    0.19890
     0.79284    0.17688
     0.80986    0.14295
     0.82633    0.12767
     0.84289    0.12964
     0.85980    0.13498
     0.87676    0.12929
     0.89333    0.12107
     0.90963    0.12816
     0.92575    0.13892
     0.94117    0.13703
     0.95548    0.16129
     0.96889    0.23955
     0.98113    0.32334
     0.99193    0.20415
     1.00000    0.69834
