#      x          Cp  
     1.00000    0.46969
     0.99195    0.24043
     0.98208    0.17490
     0.97147    0.11659
     0.96005    0.06808
     0.94772    0.02342
     0.93441   -0.01906
     0.92006   -0.06047
     0.90471   -0.10132
     0.88851   -0.14186
     0.87178   -0.18175
     0.85507   -0.21998
     0.83834   -0.25707
     0.82151   -0.29343
     0.80486   -0.32860
     0.78841   -0.36268
     0.77205   -0.39605
     0.75572   -0.42908
     0.73937   -0.46207
     0.72295   -0.49528
     0.70648   -0.52894
     0.68995   -0.56370
     0.67342   -0.59963
     0.65690   -0.63603
     0.64042   -0.67261
     0.62398   -0.70911
     0.60758   -0.74526
     0.59122   -0.78028
     0.57486   -0.81381
     0.55849   -0.84689
     0.54210   -0.87988
     0.52568   -0.91316
     0.50924   -0.94708
     0.49278   -0.98253
     0.47633   -1.02024
     0.45989   -1.05917
     0.44348   -1.09898
     0.42711   -1.13942
     0.41079   -1.18032
     0.39452   -1.22136
     0.37830   -1.26219
     0.36214   -1.30333
     0.34603   -1.34507
     0.32996   -1.38774
     0.31390   -1.43173
     0.29785   -1.47770
     0.28176   -1.52695
     0.26563   -1.57926
     0.24946   -1.63474
     0.23330   -1.69403
     0.21723   -1.75829
     0.20135   -1.82977
     0.18581   -1.91799
     0.17071   -2.01766
     0.15612   -2.12048
     0.14201   -2.22347
     0.12834   -2.32428
     0.11503   -2.42099
     0.10198   -2.51186
     0.08908   -2.58940
     0.07647   -2.65945
     0.06496   -2.75589
     0.05499   -2.87668
     0.04603   -3.00645
     0.03732   -3.10167
     0.02932   -3.15925
     0.02303   -3.29685
     0.01825   -3.58094
     0.01453   -3.88381
     0.01154   -4.19735
     0.00909   -4.52045
     0.00705   -4.85085
     0.00533   -5.18298
     0.00391   -5.50579
     0.00273   -5.80094
     0.00178   -6.04020
     0.00104   -6.18432
     0.00050   -6.18434
     0.00015   -5.98779
    -0.00000   -5.55671
     0.00004   -4.84298
     0.00029   -3.94765
     0.00072   -3.05885
     0.00134   -2.24691
     0.00214   -1.54326
     0.00312   -0.95344
     0.00430   -0.47006
     0.00568   -0.08042
     0.00727    0.22934
     0.00910    0.47206
     0.01120    0.65878
     0.01360    0.79850
     0.01634    0.89814
     0.01951    0.96264
     0.02317    0.99511
     0.02742    0.99750
     0.03233    0.97540
     0.03804    0.94324
     0.04463    0.91730
     0.05219    0.89991
     0.06092    0.87479
     0.07116    0.84138
     0.08295    0.79548
     0.09574    0.73593
     0.10900    0.68037
     0.12268    0.63847
     0.13689    0.60516
     0.15169    0.57985
     0.16714    0.56131
     0.18327    0.54799
     0.20001    0.53725
     0.21715    0.52373
     0.23414    0.50959
     0.25106    0.49592
     0.26803    0.48279
     0.28512    0.47026
     0.30226    0.45857
     0.31931    0.44805
     0.33632    0.43836
     0.35334    0.42930
     0.37040    0.42075
     0.38751    0.41259
     0.40467    0.40463
     0.42186    0.39671
     0.43906    0.38898
     0.45624    0.38149
     0.47344    0.37425
     0.49064    0.36727
     0.50783    0.36062
     0.52501    0.35430
     0.54219    0.34825
     0.55936    0.34243
     0.57654    0.33681
     0.59372    0.33137
     0.61092    0.32608
     0.62811    0.32092
     0.64527    0.31593
     0.66243    0.31110
     0.67958    0.30644
     0.69676    0.30194
     0.71394    0.29762
     0.73105    0.29350
     0.74810    0.28958
     0.76510    0.28587
     0.78212    0.28237
     0.79922    0.27911
     0.81633    0.27612
     0.83321    0.27349
     0.84988    0.27126
     0.86648    0.26946
     0.88323    0.26819
     0.90024    0.26767
     0.91652    0.26816
     0.93171    0.26991
     0.94573    0.27324
     0.95864    0.27869
     0.97054    0.28731
     0.98153    0.30189
     0.99172    0.32433
     1.00000    0.46969
