#      x          Cp  
     1.00000    0.52833
     0.99253    0.27388
     0.98290    0.18918
     0.97200    0.11014
     0.95965    0.04014
     0.94590   -0.02765
     0.93123   -0.09374
     0.91632   -0.15538
     0.90160   -0.21073
     0.88712   -0.25750
     0.87272   -0.29842
     0.85830   -0.33555
     0.84377   -0.36988
     0.82908   -0.40226
     0.81419   -0.43340
     0.79912   -0.46433
     0.78392   -0.49651
     0.76864   -0.52886
     0.75334   -0.56096
     0.73805   -0.59258
     0.72279   -0.62359
     0.70756   -0.65389
     0.69236   -0.68313
     0.67717   -0.71137
     0.66196   -0.73903
     0.64674   -0.76631
     0.63149   -0.79338
     0.61620   -0.82041
     0.60088   -0.84770
     0.58554   -0.87572
     0.57018   -0.90419
     0.55481   -0.93298
     0.53944   -0.96202
     0.52408   -0.99135
     0.50873   -1.02099
     0.49340   -1.05119
     0.47810   -1.08200
     0.46283   -1.11307
     0.44758   -1.14431
     0.43235   -1.17559
     0.41714   -1.20678
     0.40193   -1.23761
     0.38670   -1.26720
     0.37145   -1.29647
     0.35616   -1.32626
     0.34084   -1.35718
     0.32552   -1.38997
     0.31020   -1.42550
     0.29493   -1.46652
     0.27974   -1.51446
     0.26468   -1.56610
     0.24974   -1.62053
     0.23494   -1.67721
     0.22024   -1.73580
     0.20561   -1.79614
     0.19101   -1.85664
     0.17641   -1.91969
     0.16184   -1.98996
     0.14743   -2.07778
     0.13337   -2.19419
     0.11977   -2.31798
     0.10662   -2.44041
     0.09382   -2.54009
     0.08126   -2.62524
     0.06908   -2.77732
     0.05769   -2.98949
     0.04752   -3.18074
     0.03881   -3.35073
     0.03146   -3.52332
     0.02518   -3.71013
     0.01974   -3.90645
     0.01513   -4.03836
     0.01144   -4.25589
     0.00853   -4.64397
     0.00627   -5.06559
     0.00447   -5.51162
     0.00305   -5.96947
     0.00193   -6.41729
     0.00107   -6.81411
     0.00046   -7.09126
     0.00008   -7.14745
    -0.00008   -6.86380
    -0.00000   -6.11443
     0.00033   -4.87323
     0.00090   -3.58933
     0.00172   -2.45717
     0.00280   -1.52689
     0.00416   -0.79239
     0.00584   -0.22609
     0.00791    0.20278
     0.01046    0.52048
     0.01358    0.74835
     0.01740    0.89940
     0.02212    0.97739
     0.02793    0.99980
     0.03509    0.98948
     0.04372    0.95738
     0.05376    0.91344
     0.06543    0.86772
     0.07891    0.82193
     0.09326    0.77241
     0.10752    0.72957
     0.12189    0.69556
     0.13673    0.66671
     0.15214    0.64047
     0.16788    0.61347
     0.18360    0.58791
     0.19914    0.56472
     0.21450    0.54478
     0.22978    0.52732
     0.24507    0.51177
     0.26043    0.49784
     0.27588    0.48529
     0.29146    0.47395
     0.30716    0.46358
     0.32294    0.45405
     0.33879    0.44532
     0.35468    0.43731
     0.37059    0.42989
     0.38650    0.42293
     0.40242    0.41621
     0.41834    0.40946
     0.43426    0.40288
     0.45018    0.39649
     0.46611    0.39031
     0.48204    0.38432
     0.49797    0.37850
     0.51391    0.37281
     0.52985    0.36726
     0.54578    0.36187
     0.56172    0.35665
     0.57765    0.35159
     0.59359    0.34669
     0.60953    0.34197
     0.62546    0.33742
     0.64138    0.33304
     0.65730    0.32882
     0.67322    0.32477
     0.68914    0.32087
     0.70507    0.31714
     0.72099    0.31358
     0.73688    0.31021
     0.75274    0.30703
     0.76859    0.30406
     0.78446    0.30130
     0.80037    0.29878
     0.81625    0.29652
     0.83203    0.29460
     0.84770    0.29307
     0.86331    0.29201
     0.87891    0.29153
     0.89462    0.29180
     0.91048    0.29318
     0.92618    0.29602
     0.94195    0.30108
     0.95695    0.30926
     0.97032    0.32164
     0.98198    0.34149
     0.99215    0.37047
     1.00000    0.52833
