#      x          Cp  
     1.00000    0.51016
     0.99190    0.25626
     0.98150    0.18069
     0.96977    0.11162
     0.95656    0.05204
     0.94196   -0.00371
     0.92643   -0.05578
     0.91056   -0.10369
     0.89471   -0.14720
     0.87891   -0.18690
     0.86309   -0.22413
     0.84720   -0.25968
     0.83121   -0.29412
     0.81511   -0.32798
     0.79892   -0.36192
     0.78268   -0.39692
     0.76642   -0.43223
     0.75017   -0.46753
     0.73396   -0.50265
     0.71780   -0.53740
     0.70167   -0.57159
     0.68557   -0.60473
     0.66948   -0.63719
     0.65337   -0.66925
     0.63725   -0.70107
     0.62112   -0.73276
     0.60497   -0.76442
     0.58882   -0.79632
     0.57267   -0.82840
     0.55653   -0.86049
     0.54041   -0.89254
     0.52430   -0.92450
     0.50819   -0.95629
     0.49207   -0.98738
     0.47593   -1.01790
     0.45976   -1.04870
     0.44355   -1.08024
     0.42732   -1.11308
     0.41107   -1.14783
     0.39483   -1.18622
     0.37863   -1.22934
     0.36249   -1.27533
     0.34643   -1.32380
     0.33046   -1.37458
     0.31457   -1.42778
     0.29877   -1.48413
     0.28304   -1.54505
     0.26739   -1.60890
     0.25183   -1.67484
     0.23639   -1.74236
     0.22112   -1.81112
     0.20608   -1.88101
     0.19133   -1.95445
     0.17691   -2.02953
     0.16279   -2.10190
     0.14885   -2.16638
     0.13495   -2.21504
     0.12101   -2.26395
     0.10722   -2.32474
     0.09399   -2.43246
     0.08172   -2.58376
     0.07050   -2.72240
     0.06025   -2.83899
     0.05102   -2.95343
     0.04290   -3.08840
     0.03591   -3.24008
     0.02995   -3.40686
     0.02486   -3.61398
     0.02049   -3.90471
     0.01671   -4.14305
     0.01346   -4.30609
     0.01066   -4.46975
     0.00829   -4.66088
     0.00631   -4.85724
     0.00466   -5.05068
     0.00330   -5.22914
     0.00219   -5.37571
     0.00132   -5.46686
     0.00066   -5.47125
     0.00021   -5.35080
    -0.00003   -5.06453
    -0.00006   -4.58258
     0.00012   -3.85091
     0.00054   -2.99692
     0.00117   -2.19063
     0.00201   -1.47858
     0.00309   -0.87606
     0.00439   -0.37984
     0.00596    0.02057
     0.00781    0.33765
     0.00997    0.58280
     0.01250    0.76622
     0.01543    0.89491
     0.01883    0.96777
     0.02283    0.99661
     0.02753    0.99842
     0.03303    0.98373
     0.03941    0.95566
     0.04663    0.91674
     0.05470    0.87237
     0.06386    0.82819
     0.07450    0.78575
     0.08680    0.74366
     0.10045    0.70427
     0.11501    0.66719
     0.13018    0.63381
     0.14567    0.60469
     0.16133    0.57931
     0.17714    0.55737
     0.19308    0.53871
     0.20917    0.52323
     0.22544    0.51063
     0.24189    0.50046
     0.25852    0.49238
     0.27530    0.48611
     0.29218    0.48134
     0.30906    0.47785
     0.32587    0.47528
     0.34254    0.47322
     0.35904    0.47128
     0.37537    0.46905
     0.39156    0.46605
     0.40768    0.46100
     0.42379    0.45367
     0.43996    0.44517
     0.45623    0.43578
     0.47262    0.42572
     0.48917    0.41521
     0.50585    0.40471
     0.52264    0.39448
     0.53952    0.38417
     0.55645    0.37369
     0.57340    0.36296
     0.59032    0.35187
     0.60720    0.33996
     0.62398    0.32719
     0.64066    0.31435
     0.65723    0.30181
     0.67371    0.28997
     0.69014    0.27927
     0.70656    0.27102
     0.72302    0.26566
     0.73958    0.26179
     0.75625    0.25897
     0.77302    0.25683
     0.78987    0.25501
     0.80674    0.25261
     0.82354    0.24940
     0.84022    0.24641
     0.85677    0.24403
     0.87321    0.24265
     0.88961    0.24270
     0.90606    0.24533
     0.92263    0.25122
     0.93899    0.25975
     0.95448    0.27086
     0.96847    0.28525
     0.98079    0.30686
     0.99162    0.33675
     1.00000    0.51016
